municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square_meters,square_meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
167,Villa,Hellbergsvej 28,2650, Hvidovre,3830000 ,09-12-2022,Alm. Salg,84,45595,3,1925,-9%
167,Villa,Langerødvej 3,2650, Hvidovre,7450000 ,29-11-2022,Alm. Salg,165,45152,6,2020,-7%
167,Villa,Ejstrupvej 2,2650, Hvidovre,6500000 ,18-11-2022,Alm. Salg,149,43624,5,2016,-7%
167,Villa,Strandhavevej 47,2650, Hvidovre,9995000 ,16-11-2022,Alm. Salg,228,43838,5,1960,
167,Villa,Kløverprisvej 117,2650, Hvidovre,5500000 ,15-11-2022,Alm. Salg,126,43651,5,1951,-11%
167,Villa,Doktor Willesvej 6,2650, Hvidovre,6000000 ,10-11-2022,Alm. Salg,136,44118,4,1934,-4%
167,Villa,Valorevej 3,2650, Hvidovre,3640000 ,02-11-2022,Alm. Salg,80,45500,3,1956,-9%
167,Villa,Vestkærs Alle 45,2650, Hvidovre,5500000 ,29-10-2022,Alm. Salg,93,59140,3,1934,-5%
167,Rækkehus,Krogstens Alle 66B,2650, Hvidovre,4900000 ,21-10-2022,Alm. Salg,99,49495,3,1953,-2%
167,Villa,Helenas Alle 3,2650, Hvidovre,6300000 ,29-09-2022,Alm. Salg,127,49606,3,1939,-3%
167,Villa,Bjergagervej 11,2650, Hvidovre,5750000 ,14-09-2022,Alm. Salg,130,44231,5,1943,-3%
167,Villa,Sønderkær 43,2650, Hvidovre,3825000 ,07-09-2022,Alm. Salg,84,45536,4,1931,-10%
167,Villa,Ulsevej 4,2650, Hvidovre,4050000 ,28-08-2022,Alm. Salg,75,54000,4,1955,-12%
167,Rækkehus,Snedkerhaven 6,2650, Hvidovre,5500000 ,24-08-2022,Alm. Salg,114,48246,5,2019,-2%
167,Villa,Strandholms Alle 36,2650, Hvidovre,3999000 ,21-08-2022,Alm. Salg,82,48768,3,1958,
167,Villa,Priamos Alle 4,2650, Hvidovre,4525000 ,19-08-2022,Alm. Salg,102,44363,4,1963,-7%
167,Ejerlejlighed,"Hvidovrevej 120, st. tv",2650, Hvidovre,3020000 ,10-08-2022,Alm. Salg,69,43768,2,1987,1%
167,Villa,Solagervej 5,2650, Hvidovre,4000000 ,13-07-2022,Fam. Salg,75,53333,3,1948,
167,Villa,Grænsevej 15,2650, Hvidovre,3900000 ,12-07-2022,Alm. Salg,67,58209,2,1941,-7%
167,Villa,Ærtebjergvej 66,2650, Hvidovre,4400000 ,11-07-2022,Alm. Salg,92,47826,4,1964,-2%
167,Villa,Kirkebroen 56,2650, Hvidovre,6400000 ,04-07-2022,Alm. Salg,109,58716,4,1953,-5%
167,Rækkehus,Brostykkevej 99B,2650, Hvidovre,4595000 ,29-06-2022,Alm. Salg,98,46888,5,1954,
167,Villa,Krogstens Alle 38,2650, Hvidovre,6550000 ,27-06-2022,Alm. Salg,116,56466,4,1940,-2%
167,Villa,Paris Boulevard 46,2650, Hvidovre,5775000 ,24-06-2022,Alm. Salg,123,46951,5,1959,-4%
167,Rækkehus,Sydkærsvej 61,2650, Hvidovre,7700000 ,19-06-2022,Alm. Salg,116,66379,5,1939,3%
167,Villa,Konkylievej 1,2650, Hvidovre,5900000 ,19-06-2022,Alm. Salg,129,45736,5,1954,-6%
167,Villa,Tavlekærsvej 16,2650, Hvidovre,8800000 ,09-06-2022,Alm. Salg,167,52695,7,1968,
167,Villa,Parallelvej 39,2650, Hvidovre,4100000 ,07-06-2022,Alm. Salg,88,46591,4,1959,-2%
167,Rækkehus,Rebæk Alle 43A,2650, Hvidovre,5465000 ,05-06-2022,Alm. Salg,105,52048,4,1951,
167,Villa,Vestkærs Alle 50,2650, Hvidovre,6015000 ,29-05-2022,Alm. Salg,138,43587,4,1952,0%
167,Villa,Hvidovre Strandvej 82,2650, Hvidovre,4750000 ,24-05-2022,Alm. Salg,97,48969,3,1960,-5%
167,Villa,Kløverprisvej 115,2650, Hvidovre,6300000 ,24-05-2022,Alm. Salg,117,53846,5,1950,-3%
167,Villa,Kærstykkevej 23,2650, Hvidovre,5225000 ,18-05-2022,Alm. Salg,73,71575,3,1954,-2%
167,Villa,Bjergagervej 15,2650, Hvidovre,7900000 ,15-05-2022,Alm. Salg,169,46746,6,2014,1%
167,Villa,Bjeverskov Alle 45,2650, Hvidovre,6725000 ,13-05-2022,Alm. Salg,127,52953,4,1973,-4%
167,Ejerlejlighed,"Gammel Køge Landevej 310, st. th",2650, Hvidovre,21850000 ,08-05-2022,Alm. Salg,64,341406,2,1964,
167,Villa,Lunagervej 33,2650, Hvidovre,6495000 ,06-05-2022,Alm. Salg,127,51142,5,1959,
167,Ejerlejlighed,"Sydkærsvej 43, 1",2650, Hvidovre,3698000 ,05-05-2022,Alm. Salg,72,51361,3,1957,
167,Villa,Nordlundsvej 28,2650, Hvidovre,7245000 ,21-04-2022,Alm. Salg,120,60375,5,1974,
167,Rækkehus,Koralvej 6B,2650, Hvidovre,3600000 ,20-04-2022,Alm. Salg,66,54545,4,1949,-10%
