municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square_meters,square_meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
163,Villa,Hededammen 1,2730, Herlev,5175000 ,21-07-2022,Alm. Salg,108,47917,3,1962,-6%
163,Villa,Meteorvej 4,2730, Herlev,5080000 ,19-07-2022,Alm. Salg,102,49804,5,1959,-6%
163,Villa,Snedronningvej 30,2730, Herlev,5860000 ,21-02-2022,Alm. Salg,102,57451,4,1938,-5%
163,Villa,Hanevangen 9,2730, Herlev,9000000 ,16-02-2022,Alm. Salg,182,49451,6,1972,0%
163,Rækkehus,Pusterholmen 19A,2730, Herlev,4325000 ,09-02-2022,Alm. Salg,90,48056,3,1979,-1%
163,Ejerlejlighed,"Herlev Hovedgade 100, 1",2730, Herlev,6250000 ,05-01-2022,Alm. Salg,104,60096,2,1928,
163,Villa,Borgerdiget 30,2730, Herlev,4600000 ,10-11-2021,Alm. Salg,95,48421,4,1962,
163,Villa,Rørbækvej 5,2730, Herlev,5185000 ,29-10-2021,Alm. Salg,95,54579,5,1954,
163,Villa,Skinderskovvej 65,2730, Herlev,6610000 ,12-10-2021,Alm. Salg,100,66100,5,1937,2%
163,Villa,J E Pitznersvej 50,2730, Herlev,5495000 ,09-10-2021,Alm. Salg,111,49505,5,1948,
163,Villa,Violinvej 14,2730, Herlev,5375000 ,10-08-2021,Alm. Salg,110,48864,5,1939,
163,Villa,Avnedevej 19,2730, Herlev,6800000 ,04-08-2021,Alm. Salg,135,50370,4,1953,-3%
163,Villa,Jordbjergvej 7A,2730, Herlev,5295000 ,29-03-2021,Alm. Salg,109,48578,4,1955,
163,Villa,Åfaldet 22,2730, Herlev,7750000 ,23-03-2021,Alm. Salg,162,47840,5,1979,-1%
163,Villa,Kastagervej 1B,2730, Herlev,5516551 ,15-03-2018,Andet,109,50611,4,1964,
163,Villa,Gammel Klausdalsbrovej 589,2730, Herlev,13495000 ,02-10-2017,Andet,151,89371,5,1900,
163,Rækkehus,Klausdalshave 21,2730, Herlev,32885500 ,23-03-2017,Alm. Salg,129,254926,4,2017,
163,Villa,Gammel Klausdalsbrovej 589,2730, Herlev,7950000 ,25-10-2011,Alm. Salg,151,52649,5,1900,
163,Ejerlejlighed,"Herlev Hovedgade 125, 3",2730, Herlev,13755753 ,22-11-2010,Auktion,202,68098,8,1962,
163,Villa,Højsletten 39,2730, Herlev,46409997 ,04-07-2010,Alm. Salg,137,338759,5,1976,
163,Rækkehus,Hjortespring Have 1,2730, Herlev,9600000 ,07-10-2008,Alm. Salg,105,91429,4,2009,
163,Villa,Marielundvej 27,2730, Herlev,3700000 ,14-12-2005,Alm. Salg,71,48052,4,1944,
