municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square_meters,square_meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
400,Rækkehus,Johnsens Tværvej 3,3700, Rønne,875000 ,30-12-2022,Alm. Salg,85,10294.0,4,1887,-2%
400,Rækkehus,Grønnegade 24,3730, Nexø,645000 ,28-12-2022,Alm. Salg,86,7500.0,3,1880,
400,Villa,Myregårdsvej 4,3751, Østermarie,595000 ,27-12-2022,Alm. Salg,109,5459.0,4,1845,
400,Villa,Kirkestræde 27,3700, Rønne,975000 ,26-12-2022,Alm. Salg,84,11607.0,2,1800,-2%
400,Villa,Søndre Smålyngsvej 5,3720, Aakirkeby,1300000 ,26-12-2022,Alm. Salg,233,5579.0,7,1973,-18%
400,Rækkehus,Harbovej 6,3700, Rønne,1325000 ,20-12-2022,Alm. Salg,107,12383.0,5,1953,-5%
400,Villa,Lindebergvej 14,3730, Nexø,1200000 ,20-12-2022,Alm. Salg,100,12000.0,4,1948,-6%
400,Villa,Søndergade 20,3740, Svaneke,900000 ,20-12-2022,Alm. Salg,183,4918.0,6,1858,
400,Villa,Ølenevej 71,3720, Aakirkeby,730000 ,20-12-2022,Alm. Salg,192,3802.0,6,1892,-5%
400,Villa,Gadegårdsvejen 7,3730, Nexø,425000 ,19-12-2022,Fam. Salg,197,2157.0,5,1900,
400,Villa,Solvænget 14,3700, Rønne,377000 ,19-12-2022,Auktion,183,2060.0,6,1964,
400,Rækkehus,Nørregade 19,3790, Hasle,1195000 ,18-12-2022,Alm. Salg,102,11716.0,4,1872,
400,Rækkehus,Stengade 8,3700, Rønne,925000 ,18-12-2022,Alm. Salg,75,12333.0,2,1877,-7%
400,Villa,Pihls Alle 1A,3782, Klemensker,290331 ,17-12-2022,Alm. Salg,62,4683.0,3,1971,
400,Villa,Svanekevej 65,3740, Svaneke,408000 ,16-12-2022,Fam. Salg,124,3290.0,8,1861,
400,Villa,Balkalyngen 1,3730, Nexø,2200000 ,15-12-2022,Alm. Salg,173,12717.0,5,1973,-15%
400,Villa,Dr. Glavens Vej 17,3720, Aakirkeby,1295000 ,15-12-2022,Alm. Salg,158,8196.0,6,1980,
400,Villa,Almindingsvej 64,3700, Rønne,1035000 ,14-12-2022,Alm. Salg,144,7188.0,4,1958,
400,Rækkehus,Dampmøllegade 13,3700, Rønne,1500000 ,13-12-2022,Alm. Salg,102,14706.0,4,1890,
400,Rækkehus,Jernbanegade 42D,3720, Aakirkeby,698000 ,12-12-2022,Alm. Salg,100,6980.0,2,1947,
400,Villa,Pluggegårdsvej 29,3700, Rønne,1700000 ,12-12-2022,Alm. Salg,229,7424.0,8,1906,
400,Villa,Gl Postvej 35,3730, Nexø,1710000 ,11-12-2022,Fam. Salg,270,6333.0,7,1972,
400,Villa,Gl Rønnevej 2,3730, Nexø,815086 ,08-12-2022,Fam. Salg,203,4015.0,5,1907,
400,Rækkehus,Bager Sonnes Gade 20,3730, Nexø,1250000 ,07-12-2022,Alm. Salg,137,9124.0,3,1877,-14%
400,Rækkehus,Kannikestræde 11,3720, Aakirkeby,370000 ,07-12-2022,Alm. Salg,97,3814.0,4,1922,-6%
400,Rækkehus,Kajstræde 14,3700, Rønne,300000 ,07-12-2022,Andet,74,4054.0,3,1880,
400,Villa,Kirkemarksvej 37,3700, Rønne,825000 ,07-12-2022,Alm. Salg,139,5935.0,4,1910,-8%
400,Villa,Birgersvej 26,3720, Aakirkeby,433500 ,05-12-2022,Fam. Salg,109,3977.0,4,1968,
400,Villa,Pluggegårdsvej 2,3700, Rønne,1035000 ,05-12-2022,Alm. Salg,145,7138.0,5,1954,-6%
400,Rækkehus,Aasen 23,3730, Nexø,1195000 ,04-12-2022,Alm. Salg,123,9715.0,4,1947,
400,Rækkehus,Smedegårdsparken 10,3700, Rønne,603500 ,01-12-2022,Fam. Salg,87,6937.0,3,1955,
400,Villa,Hasle Nygade 3,3790, Hasle,2375000 ,01-12-2022,Alm. Salg,191,12435.0,5,1856,-8%
400,Villa,Bedegadevej 25,3782, Klemensker,860000 ,01-12-2022,Fam. Salg,192,4479.0,6,1870,
400,Rækkehus,Møllegade 49,3700, Rønne,795000 ,30-11-2022,Alm. Salg,85,9353.0,3,1879,
400,Rækkehus,Torvegade 30,3730, Nexø,895000 ,29-11-2022,Alm. Salg,100,8950.0,3,1777,
400,Rækkehus,Doktorbakken 29,3720, Aakirkeby,960000 ,29-11-2022,Alm. Salg,134,7164.0,6,1900,-4%
400,Villa,Bedegadevej 47,3782, Klemensker,1442669 ,29-11-2022,Alm. Salg,252,5725.0,5,1800,-62%
400,Villa,Søndre Alle 38A,3700, Rønne,900000 ,29-11-2022,Alm. Salg,206,4369.0,4,1940,
400,Villa,Grevens Dal 4,3760, Gudhjem,459000 ,28-11-2022,Fam. Salg,98,4684.0,5,1907,
400,Villa,Svanekevej 3,3751, Østermarie,431552 ,26-11-2022,Fam. Salg,186,2320.0,9,1903,
400,Rækkehus,Kirkegade 13,3790, Hasle,755000 ,24-11-2022,Alm. Salg,74,10203.0,3,1785,1%
400,Villa,Frydenlundsvej 7,3700, Rønne,1850000 ,24-11-2022,Andet,194,9536.0,6,1943,
400,Rækkehus,Ny Østergade 36,3700, Rønne,1047500 ,23-11-2022,Alm. Salg,105,9976.0,4,1900,-4%
400,Rækkehus,Andr Riis Vej 11,3700, Rønne,300000 ,22-11-2022,Alm. Salg,92,3261.0,4,1920,-57%
400,Rækkehus,Møllegade 40,3700, Rønne,1500000 ,22-11-2022,Alm. Salg,144,10417.0,7,1900,-6%
400,Rækkehus,Lillegade 16,3700, Rønne,900000 ,22-11-2022,Alm. Salg,134,6522.0,5,1908,-10%
400,Villa,Glentevangen 7,3700, Rønne,1595000 ,22-11-2022,Alm. Salg,128,12461.0,4,1968,
400,Rækkehus,Paradisvej 11,3730, Nexø,700000 ,21-11-2022,Alm. Salg,86,8140.0,2,1890,-7%
400,Rækkehus,Almegade 37,3700, Rønne,825000 ,21-11-2022,Alm. Salg,81,10185.0,2,1894,-6%
400,Villa,Langebjergvej 8C,3770, Allinge,535500 ,21-11-2022,Fam. Salg,126,4250.0,4,1977,
400,Villa,Olesvej 2,3720, Aakirkeby,1300000 ,20-11-2022,Alm. Salg,167,7784.0,7,1905,
400,Villa,Hammershusvej 16,3770, Allinge,1400000 ,20-11-2022,Alm. Salg,175,8000.0,5,1890,-30%
400,Villa,Vestermarievej 20,3700, Rønne,975000 ,20-11-2022,Alm. Salg,110,8864.0,4,1964,-2%
400,Villa,Nybyvej 5,3720, Aakirkeby,1675000 ,19-11-2022,Alm. Salg,208,8053.0,5,1902,-4%
400,Villa,Kirkepladsen 7,3700, Rønne,900000 ,17-11-2022,Fam. Salg,119,7563.0,4,1900,
