municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square_meters,square_meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
330,Villa,Sørby Parkvej 34,4200, Slagelse,1675000 ,30-12-2022,Alm. Salg,162,10340.0,4,1972,-4%
330,Ejerlejlighed,"Kalundborgvej 96, 1. tv",4200, Slagelse,410000 ,29-12-2022,Alm. Salg,68,6029.0,2,1872,
330,Villa,Skovvejen 13,4200, Slagelse,2535000 ,28-12-2022,Alm. Salg,160,15844.0,5,1955,-2%
330,Villa,Kruusesvej 37,4220, Korsør,775000 ,27-12-2022,Alm. Salg,108,7176.0,4,1900,
330,Ejerlejlighed,"Byskov Alle 16, st. mf",4200, Slagelse,495000 ,21-12-2022,Fam. Salg,43,11512.0,2,1971,
330,Villa,Rosenkildevej 19,4200, Slagelse,1900000 ,21-12-2022,Alm. Salg,156,12179.0,4,1941,-7%
330,Villa,Hemmeshøjvej 9,4241, Vemmelev,165000 ,21-12-2022,Alm. Salg,75,2200.0,3,1900,
330,Villa,Bülowsvej 15,4230, Skælskør,700000 ,21-12-2022,Alm. Salg,114,6140.0,4,1930,-20%
330,Villa,Finlandsvej 8,4200, Slagelse,1650000 ,21-12-2022,Alm. Salg,149,11074.0,4,1964,-3%
330,Ejerlejlighed,"Slotsgade 2D, 1",4200, Slagelse,1115000 ,20-12-2022,Alm. Salg,102,10931.0,4,1910,-20%
330,Villa,Maglebyvej 50,4230, Skælskør,500000 ,20-12-2022,Andet,80,6250.0,4,1890,
330,Ejerlejlighed,"Tyreengen 34, 1. th",4220, Korsør,879000 ,19-12-2022,Alm. Salg,110,7991.0,4,1970,-2%
330,Villa,Pantholm 21,4200, Slagelse,1800000 ,19-12-2022,Alm. Salg,153,11765.0,5,1940,-10%
330,Rækkehus,Kalundborgvej 8,4200, Slagelse,952000 ,18-12-2022,Fam. Salg,89,10697.0,3,1900,
330,Ejerlejlighed,"Byskov Alle 38, 2. tv",4200, Slagelse,790000 ,18-12-2022,Alm. Salg,107,7383.0,3,1971,
330,Villa,Jørgensmindevej 8,4200, Slagelse,1400000 ,16-12-2022,Alm. Salg,156,8974.0,5,1777,-21%
330,Villa,Benediktevej 7,4200, Slagelse,2790000 ,16-12-2022,Alm. Salg,167,16707.0,6,1966,-5%
330,Rækkehus,Brydes Alle 52,4200, Slagelse,1500000 ,15-12-2022,Alm. Salg,92,16304.0,4,1965,-6%
330,Villa,Slotsalleen 32,4200, Slagelse,1080737 ,15-12-2022,Fam. Salg,145,7453.0,6,1920,
330,Villa,Lindevej 7,4241, Vemmelev,1100000 ,15-12-2022,Andet,114,9649.0,3,1964,
330,Villa,Søholmparken 53,4200, Slagelse,2650000 ,15-12-2022,Alm. Salg,198,13384.0,7,1969,-5%
330,Rækkehus,Koldingvej 15,4200, Slagelse,1425000 ,14-12-2022,Alm. Salg,82,17378.0,4,1984,-11%
330,Villa,Baunehøjvej 5,4242, Boeslunde,2375000 ,14-12-2022,Alm. Salg,200,11875.0,8,1777,-12%
330,Villa,Østre Alle 18,4200, Slagelse,1820000 ,14-12-2022,Alm. Salg,147,12381.0,5,1948,-9%
330,Villa,Bondesager 10,4220, Korsør,1795000 ,14-12-2022,Alm. Salg,137,13102.0,4,1976,
330,Villa,Tjørnevænget 55,4220, Korsør,1100000 ,14-12-2022,Alm. Salg,108,10185.0,4,1965,-10%
330,Villa,Astersvænget 5,4261, Dalmose,1160000 ,14-12-2022,Alm. Salg,120,9667.0,4,1973,-3%
330,Villa,Vestergade 7,4200, Slagelse,1800000 ,13-12-2022,Alm. Salg,96,18750.0,4,1910,-10%
330,Villa,Broholmvej 180,4220, Korsør,1220000 ,13-12-2022,Alm. Salg,185,6595.0,4,1965,-2%
330,Ejerlejlighed,"Oehlenschlægersgade 15B, 2",4200, Slagelse,3000000 ,12-12-2022,Alm. Salg,234,12821.0,5,1933,
330,Villa,Havnevej 54,4230, Skælskør,1005000 ,12-12-2022,Alm. Salg,132,7614.0,4,1910,-16%
330,Villa,Finlandsvej 5,4200, Slagelse,1510000 ,12-12-2022,Auktion,205,7366.0,7,1963,
330,Ejerlejlighed,"Byskov Alle 6, 2. tv",4200, Slagelse,950000 ,11-12-2022,Alm. Salg,107,8879.0,3,1971,
330,Villa,Lindevej 6,4241, Vemmelev,1455000 ,11-12-2022,Alm. Salg,138,10543.0,4,1967,-3%
330,Villa,Flakkebjerg Elmevej 18,4200, Slagelse,1680000 ,11-12-2022,Alm. Salg,136,12353.0,5,1972,-6%
330,Villa,Sørby Parkvej 28,4200, Slagelse,1500000 ,11-12-2022,Alm. Salg,158,9494.0,5,1973,-6%
