municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square_meters,square_meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
101,Ejerlejlighed,"Fadet 6, 21. 1",1799, København V,6750000 ,25-12-2022,Alm. Salg,96,70313,4,2022,-1%
101,Ejerlejlighed,"Brobergsgade 14, 2. tv",1427, København K,3400000 ,22-12-2022,Alm. Salg,50,68000,2,1902,-8%
101,Ejerlejlighed,A.F. Beyers Vej 25A,2720, Vanløse,32700000 ,22-12-2022,Alm. Salg,29,1127586,1,2022,
101,Ejerlejlighed,"Weidekampsgade 47, 2. 3",2300, København S,9200000 ,21-12-2022,Alm. Salg,130,70769,4,2007,-3%
101,Rækkehus,Eckersbergsgade 17,2100, København Ø,14000000 ,20-12-2022,Alm. Salg,135,103704,5,1882,-6%
101,Rækkehus,Jens Juels Gade 14,2100, København Ø,11000000 ,20-12-2022,Alm. Salg,141,78014,5,1881,-12%
101,Ejerlejlighed,"Islands Brygge 36C, 3. 2",2300, København S,10525880 ,20-12-2022,Andet,99,106322,3,2012,
101,Ejerlejlighed,"Sortedam Dossering 23, 4. tv",2200, København N,13500000 ,19-12-2022,Alm. Salg,184,73370,6,1892,
101,Ejerlejlighed,"Fjenneslevvej 14, 2. th",2700, Brønshøj,6000000 ,15-12-2022,Fam. Salg,51,117647,2,1935,
101,Ejerlejlighed,"Dronningens Tværgade 50, 3. 2",1302, København K,8550000 ,14-12-2022,Alm. Salg,124,68952,4,1956,-2%
101,Ejerlejlighed,"Holsteinsgade 12A, 1. th",2100, København Ø,4650000 ,13-12-2022,Alm. Salg,69,67391,3,1908,
101,Ejerlejlighed,"Kapselgade 4, 3. 30",1799, København V,3100000 ,11-12-2022,Alm. Salg,44,70455,1,1902,-11%
101,Ejerlejlighed,"Gernersgade 11, 1. tv",1319, København K,4900000 ,08-12-2022,Alm. Salg,69,71014,3,1854,-2%
101,Ejerlejlighed,"Vibekegade 14, st. tv",2100, København Ø,5375000 ,06-12-2022,Alm. Salg,80,67188,3,1926,-2%
101,Ejerlejlighed,"Wildersgade 3, 2. tv",1408, København K,7495000 ,05-12-2022,Andet,108,69398,3,2002,-6%
101,Ejerlejlighed,"Andrei Sakharovs Vej 25, 4. th",2450, København SV,8500000 ,05-12-2022,Alm. Salg,125,68000,4,2020,-1%
101,Ejerlejlighed,"Thorvald Bindesbølls Plads 20, st. mf",1799, København V,9000000 ,05-12-2022,Alm. Salg,122,73770,4,2019,
101,Ejerlejlighed,"Dunkerquegade 32, 3. th",2150, Nordhavn,4699000 ,04-12-2022,Alm. Salg,66,71197,2,0,
101,Ejerlejlighed,"Dunkerquegade 23, 5. tv",2150, Nordhavn,9499000 ,01-12-2022,Alm. Salg,92,103250,1,0,
101,Rækkehus,Toftøjevej 25A,2720, Vanløse,7100000 ,28-11-2022,Alm. Salg,100,71000,5,1943,-5%
101,Rækkehus,Teglholmens Østkaj 126,2450, København SV,11600000 ,28-11-2022,Alm. Salg,148,78378,4,2021,-3%
101,Ejerlejlighed,"Frederiksgade 6, 1. tv",1265, København K,12000000 ,28-11-2022,Alm. Salg,163,73620,4,1885,
101,Villa,Tryggevældevej 109,2700, Brønshøj,6525000 ,25-11-2022,Alm. Salg,96,67969,5,1929,-7%
101,Rækkehus,Teglholmens Østkaj 116,2450, København SV,10500000 ,24-11-2022,Alm. Salg,134,78358,4,2021,-5%
101,Ejerlejlighed,"Lille Strandstræde 14B, 2",1254, København K,13150000 ,24-11-2022,Alm. Salg,136,96691,3,1770,-5%
101,Ejerlejlighed,"Sandkaj 13, 2. th",2150, Nordhavn,11400000 ,24-11-2022,Alm. Salg,134,85075,4,2016,-8%
101,Ejerlejlighed,"Gustav Adolfs Gade 10, 4. tv",2100, København Ø,10600000 ,22-11-2022,Alm. Salg,132,80303,4,1904,-6%
101,Ejerlejlighed,"Røddinggade 12, 5. tv",1735, København V,6935000 ,21-11-2022,Alm. Salg,100,69350,5,1906,-8%
101,Ejerlejlighed,"Fadet 6, 24. 1",1799, København V,6495000 ,17-11-2022,Alm. Salg,96,67656,4,2022,
101,Ejerlejlighed,"Dybensgade 22, 3. th",1071, København K,2920000 ,15-11-2022,Alm. Salg,42,69524,2,1800,-6%
101,Ejerlejlighed,"Sundevedsgade 21, 4. tv",1751, København V,6795000 ,15-11-2022,Alm. Salg,97,70052,3,0,8%
101,Rækkehus,Kildevænget 33,2100, København Ø,14000000 ,08-11-2022,Alm. Salg,162,86420,4,1960,-7%
101,Ejerlejlighed,"Gothersgade 139, 5",1123, København K,12950000 ,06-11-2022,Alm. Salg,139,93165,4,1880,
101,Ejerlejlighed,"Dunkerquegade 37, 5. 4",2150, Nordhavn,10750000 ,06-11-2022,Alm. Salg,113,95133,4,0,
101,Ejerlejlighed,"Thorvald Bindesbølls Plads 20, 3. th",1799, København V,6600000 ,06-11-2022,Alm. Salg,78,84615,3,2019,-6%
101,Villa,Bjørnsonsvej 45C,2500, Valby,6100000 ,04-11-2022,Alm. Salg,53,115094,2,1920,22%
101,Villa,Kongshaven 74,2500, Valby,6750000 ,04-11-2022,Alm. Salg,96,70313,3,1952,-4%
101,Ejerlejlighed,"Landskronagade 56A, 2",2100, København Ø,5825000 ,03-11-2022,Alm. Salg,87,66954,3,1901,-3%
101,Ejerlejlighed,"Store Kongensgade 55, 3. tv",1264, København K,6900000 ,02-11-2022,Alm. Salg,98,70408,2,1860,
