municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square_meters,square_meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
173,Ejerlejlighed,"Frederiksdalsvej 12C, st. tv",2830, Virum,1700000 ,29-12-2022,Alm. Salg,57,29825,2,1939,-3%
173,Ejerlejlighed,"Mortonsvej 40, 2. tv",2800, Kongens Lyngby,6150000 ,28-12-2022,Alm. Salg,95,64737,4,2009,-5%
173,Rækkehus,Rosengårdsvej 2,2830, Virum,5750000 ,26-12-2022,Alm. Salg,132,43561,5,1947,-8%
173,Villa,Danmarksvej 35,2800, Kongens Lyngby,1300000 ,26-12-2022,Alm. Salg,176,7386,4,1930,
173,Ejerlejlighed,"Eremitageparken 375, 2. d",2800, Kongens Lyngby,547450 ,22-12-2022,Fam. Salg,41,13352,1,1972,
173,Rækkehus,Bygdevej 10,2830, Virum,5900000 ,21-12-2022,Alm. Salg,127,46457,6,1950,-2%
173,Rækkehus,"Kulsviervej 76, st. tv",2800, Kongens Lyngby,3050000 ,21-12-2022,Andet,109,21631,5,1959,
173,Ejerlejlighed,"Bredebovej 35, 1. tv",2800, Kongens Lyngby,2900000 ,21-12-2022,Alm. Salg,81,35802,3,1969,-3%
173,Ejerlejlighed,"Taarbæk Strandvej 95, 1. th",2930, Klampenborg,4900000 ,21-12-2022,Alm. Salg,92,53261,3,1937,-8%
173,Villa,Agnesvej 9,2800, Kongens Lyngby,3263691 ,21-12-2022,Fam. Salg,117,27895,5,1948,
173,Villa,Bakkevej 8B,2830, Virum,11500000 ,20-12-2022,Alm. Salg,180,63889,5,2012,-8%
173,Villa,Fortunfortvej 10B,2800, Kongens Lyngby,8400000 ,20-12-2022,Alm. Salg,177,47458,4,1972,
173,Rækkehus,Rosengårdsvej 36,2830, Virum,5525000 ,19-12-2022,Alm. Salg,131,42176,6,1947,-6%
173,Ejerlejlighed,"Stengårds Alle 6, 1. 10",2800, Kongens Lyngby,1395000 ,19-12-2022,Alm. Salg,41,34024,1,1958,
173,Ejerlejlighed,"Frederiksdalsvej 101C, 1. tv",2830, Virum,1800000 ,19-12-2022,Alm. Salg,52,34615,2,1946,
173,Villa,Kulsviervej 92B,2800, Kongens Lyngby,6300000 ,19-12-2022,Alm. Salg,139,45324,4,1980,-10%
173,Villa,Furesøvej 1A,2830, Virum,11700000 ,19-12-2022,Alm. Salg,204,57353,7,1926,-6%
173,Rækkehus,Lindevangen 95,2830, Virum,2900000 ,18-12-2022,Fam. Salg,94,30851,4,1949,
173,Villa,Geelsskovvej 23,2830, Virum,8400000 ,18-12-2022,Alm. Salg,181,46409,8,1951,-7%
173,Ejerlejlighed,"Eremitageparken 311, 2. b",2800, Kongens Lyngby,1000000 ,14-12-2022,Alm. Salg,33,30303,1,1972,-5%
173,Ejerlejlighed,"Carlshøjvej 5, 1. tv",2800, Kongens Lyngby,4200000 ,14-12-2022,Alm. Salg,115,36522,3,1931,-7%
173,Rækkehus,Kløverbakken 35,2830, Virum,1994983 ,13-12-2022,Fam. Salg,128,15586,5,1951,
173,Villa,Svendsvej 5,2830, Virum,4750000 ,13-12-2022,Alm. Salg,79,60127,3,1939,-5%
