municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square_meters,square_meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
169,Ejerlejlighed,"Taastrup Vænge 35, 2. 2",2630, Taastrup,442000 ,30-12-2022,Fam. Salg,42,10524,1,1973,
169,Villa,Løvtoften 21,2630, Taastrup,4700000 ,30-12-2022,Alm. Salg,198,23737,6,1969,
169,Ejerlejlighed,"Rønnevangshusene 41, 1. mf",2630, Taastrup,1160000 ,28-12-2022,Alm. Salg,47,24681,1,1970,-11%
169,Ejerlejlighed,"Vesterkøb 8, st. th",2640, Hedehusene,4800000 ,28-12-2022,Alm. Salg,55,87273,1,1935,
169,Rækkehus,Rønnevangshusene 194,2630, Taastrup,2500000 ,27-12-2022,Alm. Salg,93,26882,4,1969,-2%
169,Ejerlejlighed,"Spaden B 4, st. 4",2630, Taastrup,390000 ,26-12-2022,Fam. Salg,36,10833,1,1973,
169,Ejerlejlighed,"Saksen D 4, 1. 3",2630, Taastrup,2315000 ,23-12-2022,Alm. Salg,116,19957,4,1972,-3%
169,Ejerlejlighed,"Hedekæret 55, st. 1",2640, Hedehusene,975000 ,21-12-2022,Alm. Salg,49,19898,1,1970,-2%
169,Villa,Midtervej 27,2630, Taastrup,3300000 ,21-12-2022,Alm. Salg,133,24812,4,1969,-8%
169,Villa,Rødkælkevej 49,2630, Taastrup,3695000 ,21-12-2022,Alm. Salg,72,51319,3,1957,
169,Villa,Stenalderen 126,2640, Hedehusene,3550000 ,21-12-2022,Alm. Salg,174,20402,6,1978,-7%
169,Ejerlejlighed,"Hedekæret 3, 2. tv",2640, Hedehusene,1525000 ,15-12-2022,Alm. Salg,70,21786,3,1968,-10%
169,Ejerlejlighed,"Spaden C 1, 2. 2",2630, Taastrup,110500 ,14-12-2022,Fam. Salg,120,921,4,1973,
169,Ejerlejlighed,"Lindevangshusene 66, 2. th",2630, Taastrup,1925000 ,14-12-2022,Alm. Salg,79,24367,3,1968,
169,Villa,Digeager 13,2640, Hedehusene,1552245 ,14-12-2022,Fam. Salg,136,11414,4,1972,
169,Villa,Rødkælkevej 48,2630, Taastrup,2675000 ,12-12-2022,Alm. Salg,109,24541,4,1960,-23%
169,Ejerlejlighed,"Cikoriegade 17, 1. 3",2640, Hedehusene,2545000 ,11-12-2022,Alm. Salg,83,30663,4,2020,
169,Ejerlejlighed,"Spaden B 1, 3. 3",2630, Taastrup,2000000 ,10-12-2022,Alm. Salg,102,19608,4,1973,-4%
169,Villa,Hovedgaden 541,2640, Hedehusene,125125 ,08-12-2022,Alm. Salg,128,978,5,1900,
169,Villa,Nørrekær 13,2640, Hedehusene,1200000 ,06-12-2022,Alm. Salg,118,10169,5,1877,
169,Rækkehus,Baunevej 53,2630, Taastrup,2505000 ,05-12-2022,Alm. Salg,82,30549,4,1965,-3%
169,Ejerlejlighed,"Saven D 1, 1. 3",2630, Taastrup,2250000 ,05-12-2022,Alm. Salg,120,18750,4,1974,-6%
169,Villa,Solvang 64,2640, Hedehusene,3000000 ,05-12-2022,Fam. Salg,115,22222,4,1974,
169,Ejerlejlighed,"Murskeen 5, 2. 70",2630, Taastrup,1615000 ,03-12-2022,Alm. Salg,70,23071,2,1973,-5%
169,Rækkehus,Nordengen 5,2630, Taastrup,2750000 ,30-11-2022,Alm. Salg,104,26442,4,1963,-2%
169,Ejerlejlighed,"Saksen D 1, st. 1",2630, Taastrup,1400000 ,30-11-2022,Alm. Salg,57,24561,2,1972,-10%
169,Rækkehus,Ibsensvej 61,2630, Taastrup,2995000 ,29-11-2022,Alm. Salg,104,28798,4,1961,-3%
169,Villa,Birkemosen 2,2640, Hedehusene,2200000 ,29-11-2022,Alm. Salg,109,20183,4,1966,-12%
169,Ejerlejlighed,"Murskeen 7, 1. 97",2630, Taastrup,1450000 ,28-11-2022,Alm. Salg,70,20714,2,1973,-3%
169,Villa,Rødhøjgårdsvej 31,2630, Taastrup,3200000 ,27-11-2022,Alm. Salg,143,22378,4,1971,-11%
169,Villa,Sletteager 4,2640, Hedehusene,1667500 ,24-11-2022,Fam. Salg,155,10758,5,1979,
169,Rækkehus,Skagensgade 34,2630, Taastrup,2750000 ,23-11-2022,Alm. Salg,111,24775,4,1986,-5%
169,Ejerlejlighed,"Taastrup Have 49, st. th",2630, Taastrup,1300000 ,23-11-2022,Alm. Salg,57,22807,2,1964,
169,Ejerlejlighed,"Søbakkevej 4, 2. 2",2640, Hedehusene,2500000 ,23-11-2022,Alm. Salg,72,34722,3,2022,-4%
169,Ejerlejlighed,"Lindebo 29, 2. 178",2630, Taastrup,1050000 ,22-11-2022,Alm. Salg,42,25000,1,1975,-5%
169,Villa,Fredensvej 35,2630, Taastrup,3000000 ,21-11-2022,Fam. Salg,117,25641,4,1956,
169,Villa,Snebærvej 4,2640, Hedehusene,3420000 ,21-11-2022,Alm. Salg,130,26308,4,1963,-2%
169,Ejerlejlighed,"Lindebo 21, 1. 128",2630, Taastrup,2025000 ,20-11-2022,Alm. Salg,79,25633,3,1975,-7%
169,Ejerlejlighed,"Taastrup Have 16, 1. th",2630, Taastrup,1375000 ,20-11-2022,Alm. Salg,61,22541,2,1963,-8%
