municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square_meters,square_meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
492,Villa,Lille Risevej 2,5970, Ærøskøbing,875000 ,28-12-2022,Alm. Salg,175,5000,6,1911,-2%
492,Villa,Snaregade 10,5960, Marstal,399500 ,21-12-2022,Fam. Salg,71,5627,4,1800,
492,Villa,Vester Bregninge 14,5970, Ærøskøbing,275000 ,21-12-2022,Alm. Salg,150,1833,4,1827,
492,Villa,Mølledamsvej 1,5970, Ærøskøbing,1500000 ,21-12-2022,Alm. Salg,275,5455,9,1871,
492,Villa,Kongensgade 18,5960, Marstal,2000000 ,20-12-2022,Alm. Salg,195,10256,4,1898,
492,Villa,Skovgyden 2,5960, Marstal,950000 ,20-12-2022,Alm. Salg,74,12838,3,1893,
492,Villa,Hovedgaden 5,5960, Marstal,600000 ,18-12-2022,Alm. Salg,74,8108,3,1931,-8%
492,Ejerlejlighed,"Kirkestræde 27, 1",5960, Marstal,425000 ,13-12-2022,Alm. Salg,84,5060,2,1780,
492,Villa,Voderup 1,5970, Ærøskøbing,1200000 ,08-12-2022,Fam. Salg,160,7500,5,1910,
492,Villa,Vesterskovsvej 20,5960, Marstal,4500000 ,05-12-2022,Alm. Salg,248,18145,5,1930,
492,Villa,Kærvej 5,5985, Søby Ærø,192500 ,05-12-2022,Fam. Salg,110,1750,4,1880,
492,Villa,Østerbro 44,5985, Søby Ærø,1150000 ,30-11-2022,Alm. Salg,172,6686,5,1965,
492,Villa,Pilebækken 13,5970, Ærøskøbing,2250000 ,29-11-2022,Alm. Salg,194,11598,4,1880,-4%
492,Villa,Voderup 6,5970, Ærøskøbing,1650000 ,27-11-2022,Alm. Salg,140,11786,6,1825,-34%
492,Villa,Øster Bregninge 52,5970, Ærøskøbing,250000 ,23-11-2022,Alm. Salg,68,3676,3,1853,
492,Villa,Østerbro 46,5985, Søby Ærø,1575000 ,17-11-2022,Alm. Salg,172,9157,5,1936,
492,Villa,Tværby 12,5970, Ærøskøbing,850000 ,16-11-2022,Alm. Salg,96,8854,4,1964,
492,Villa,Søkildevej 7,5970, Ærøskøbing,1400000 ,15-11-2022,Alm. Salg,147,9524,4,1974,
492,Villa,Langebro 15,5985, Søby Ærø,475000 ,15-11-2022,Alm. Salg,123,3862,4,1970,
492,Villa,Søndergade 35,5970, Ærøskøbing,1500000 ,15-11-2022,Fam. Salg,108,13889,3,1868,
492,Villa,Strandvejen 33,5960, Marstal,1232500 ,14-11-2022,Fam. Salg,167,7380,5,1986,
492,Villa,Vester Bregninge 6A,5970, Ærøskøbing,400000 ,13-11-2022,Alm. Salg,105,3810,3,1980,
492,Villa,Vesterskovsvej 6,5960, Marstal,330000 ,09-11-2022,Alm. Salg,91,3626,3,1820,
492,Villa,Østerbro 18,5985, Søby Ærø,120000 ,08-11-2022,Alm. Salg,127,945,6,1908,20%
492,Villa,Øster Bregninge 42,5970, Ærøskøbing,125000 ,07-11-2022,Alm. Salg,102,1225,5,1920,
492,Villa,Smedegade 31,5970, Ærøskøbing,1950000 ,01-11-2022,Alm. Salg,73,26712,3,1863,-2%
492,Villa,Voderup 33,5970, Ærøskøbing,2500000 ,31-10-2022,Alm. Salg,197,12690,6,1904,
492,Villa,Willemoesgade 1,5960, Marstal,976000 ,31-10-2022,Alm. Salg,141,6922,7,1890,30%
492,Villa,Niels Juelsgade 2A,5960, Marstal,850000 ,13-10-2022,Alm. Salg,102,8333,3,1968,-13%
492,Rækkehus,Niels Juelsgade 13,5960, Marstal,795000 ,12-10-2022,Alm. Salg,104,7644,3,1916,
492,Villa,Øster Bregninge 43,5970, Ærøskøbing,650000 ,11-10-2022,Alm. Salg,132,4924,4,1954,
492,Villa,Alleen 22,5985, Søby Ærø,400000 ,11-10-2022,Alm. Salg,62,6452,5,1926,
492,Villa,Skelhave 1A,5985, Søby Ærø,1500000 ,10-10-2022,Alm. Salg,103,14563,4,1800,
492,Villa,Nørrebro 12,5985, Søby Ærø,210000 ,08-10-2022,Alm. Salg,131,1603,5,1900,-16%
492,Villa,Stokkeby Landevej 5,5970, Ærøskøbing,325000 ,04-10-2022,Alm. Salg,100,3250,4,1870,-18%
492,Villa,Birkholm 17,5965, Birkholm,725000 ,03-10-2022,Alm. Salg,157,4618,6,1937,-9%
492,Villa,Stokkeby Hovedgade 2,5970, Ærøskøbing,625000 ,02-10-2022,Alm. Salg,118,5297,3,1890,
492,Villa,Søtoften 6,5970, Ærøskøbing,1020000 ,02-10-2022,Alm. Salg,107,9533,3,1971,
492,Villa,Skovbygade 3,5985, Søby Ærø,400000 ,29-09-2022,Alm. Salg,79,5063,2,1752,
492,Rækkehus,Møllergade 18,5960, Marstal,1400000 ,19-09-2022,Fam. Salg,114,12281,3,1880,
492,Villa,Rolighedsvej 22,5960, Marstal,1200000 ,19-09-2022,Alm. Salg,115,10435,6,1954,-7%
492,Villa,Ronæsvej 2,5960, Marstal,1075000 ,19-09-2022,Alm. Salg,167,6437,3,1900,-10%
492,Villa,Kappelhøj 3,5985, Søby Ærø,995000 ,17-09-2022,Alm. Salg,104,9567,5,1983,
492,Villa,Harevej 5,5985, Søby Ærø,542500 ,15-09-2022,Fam. Salg,200,2713,6,1825,
492,Villa,Nørrevejen 3,5985, Søby Ærø,630000 ,14-09-2022,Alm. Salg,83,7590,3,1900,
492,Villa,Ny Møllergade 13,5960, Marstal,1150000 ,13-09-2022,Alm. Salg,110,10455,4,1853,
492,Villa,Vestballevej 4,5970, Ærøskøbing,185000 ,11-09-2022,Alm. Salg,92,2011,4,1830,
492,Villa,Nørrebro 9,5985, Søby Ærø,550000 ,08-09-2022,Alm. Salg,68,8088,3,1870,
492,Villa,Stærmose 4,5985, Søby Ærø,1800000 ,07-09-2022,Fam. Salg,215,8372,4,1906,
492,Rækkehus,Brøndstræde 19,5960, Marstal,533000 ,06-09-2022,Alm. Salg,114,4675,2,1900,7%
492,Villa,Vindeballegade 41,5970, Ærøskøbing,850000 ,06-09-2022,Alm. Salg,134,6343,5,1900,-3%
492,Villa,Trousløkkevej 1,5960, Marstal,845000 ,31-08-2022,Alm. Salg,117,7222,5,1875,
492,Villa,Nørrebro 10,5985, Søby Ærø,950000 ,30-08-2022,Alm. Salg,116,8190,5,1860,
492,Villa,Søndergade 52,5970, Ærøskøbing,2100000 ,30-08-2022,Alm. Salg,190,11053,5,1867,
492,Villa,Søkildevej 6,5970, Ærøskøbing,1100000 ,27-08-2022,Alm. Salg,100,11000,4,1964,
492,Villa,Havnegade 26,5960, Marstal,2195000 ,24-08-2022,Alm. Salg,145,15138,5,1865,
492,Villa,Skovbygade 2,5985, Søby Ærø,1500000 ,24-08-2022,Alm. Salg,250,6000,6,1777,-6%
492,Villa,Øster Bregninge 44,5970, Ærøskøbing,335000 ,22-08-2022,Alm. Salg,147,2279,9,1920,
492,Villa,Krovejen 7A,5960, Marstal,1195000 ,21-08-2022,Alm. Salg,175,6829,4,1972,-8%
492,Villa,Tjørnevej 2,5960, Marstal,550000 ,19-08-2022,Alm. Salg,67,8209,2,1850,-8%
492,Villa,Brigvej 2,5960, Marstal,1050000 ,18-08-2022,Alm. Salg,121,8678,3,1968,-5%
492,Villa,Møllevejen 18,5960, Marstal,1500000 ,17-08-2022,Alm. Salg,184,8152,5,1922,
492,Rækkehus,Sølvgade 17,5960, Marstal,1195000 ,16-08-2022,Alm. Salg,49,24388,2,1875,-8%
492,Rækkehus,Krovejen 13,5960, Marstal,325000 ,16-08-2022,Alm. Salg,99,3283,4,1903,-38%
492,Villa,Leby Kobbel 3,5985, Søby Ærø,2000000 ,16-08-2022,Alm. Salg,185,10811,5,1907,
492,Villa,Møllevejen 4,5960, Marstal,600000 ,13-08-2022,Alm. Salg,125,4800,5,1850,-11%
492,Villa,Søtoften 10,5970, Ærøskøbing,730775 ,11-08-2022,Alm. Salg,137,5334,5,1970,
492,Villa,Lærkegade 5,5960, Marstal,348500 ,11-08-2022,Fam. Salg,70,4979,4,1850,
492,Villa,Marstalsvejen 17,5960, Marstal,950000 ,07-08-2022,Alm. Salg,153,6209,5,1925,-10%
492,Villa,Vindeballevej 39,5970, Ærøskøbing,800000 ,04-08-2022,Alm. Salg,118,6780,5,1897,-11%
492,Villa,Enighedsstræde 1,5960, Marstal,2200000 ,02-08-2022,Alm. Salg,147,14966,3,1938,
492,Villa,Oldegade 8,5970, Ærøskøbing,200000 ,31-07-2022,Alm. Salg,206,971,6,1900,
492,Villa,Baggavle 10,5970, Ærøskøbing,1400000 ,29-07-2022,Alm. Salg,94,14894,4,1955,-3%
492,Villa,Nederste Skovbymark 1,5985, Søby Ærø,450000 ,24-07-2022,Alm. Salg,79,5696,2,1892,
492,Rækkehus,Sølvgade 1,5960, Marstal,450000 ,23-07-2022,Alm. Salg,99,4545,2,1890,
492,Villa,Møllevejen 31,5960, Marstal,700000 ,20-07-2022,Alm. Salg,143,4895,5,1900,-20%
492,Rækkehus,Kongensgade 24A,5960, Marstal,995000 ,14-07-2022,Alm. Salg,98,10153,5,1900,
492,Villa,Søkildevej 1,5970, Ærøskøbing,1125000 ,08-07-2022,Alm. Salg,132,8523,4,1967,-6%
