muni_code,year,gini_index
161,2001,21.32
161,2002,21.04
161,2003,21.17
161,2004,21.81
161,2005,22.03
161,2006,22.08
161,2007,22.46
161,2008,22.18
161,2009,22.61
161,2010,23.85
161,2011,24.1
161,2012,23.8
161,2013,24.3
161,2014,24.69
161,2015,25.59
161,2016,25.76
161,2017,25.99
161,2018,25.82
161,2019,25.8
161,2020,26.07
161,2021,26.55
163,1992,20.42
163,1993,21.04
163,1994,21.11
163,1995,21.13
163,1996,21.44
163,1997,21.94
163,1998,22.4
163,1999,22.21
163,2000,23.02
163,2001,22.55
163,2002,21.98
163,2003,22.17
163,2004,22.42
163,2005,23.23
163,2006,23.11
163,2007,23.57
163,2008,23.51
163,2009,22.56
163,2010,24.13
163,2011,24.43
163,2012,24.12
163,2013,25.05
163,2014,24.87
163,2015,24.96
163,2016,25.71
163,2017,25.53
163,2018,25.71
163,2019,25.55
163,2020,26.63
163,2021,25.97
167,1992,19.53
167,1993,20.14
167,1994,19.98
167,1995,20.19
167,1996,20.61
167,1997,20.82
167,1998,21.03
167,1999,20.96
167,2000,21.21
167,2001,21.1
167,2002,20.83
167,2003,21.13
167,2004,21.67
167,2005,22.1
167,2006,22.23
167,2007,22.51
167,2008,22.19
167,2009,22.35
167,2010,24.01
167,2011,23.86
167,2012,24.02
167,2013,24.09
167,2014,24.37
167,2015,24.75
167,2016,25.1
167,2017,25.3
167,2018,25.23
167,2019,25.39
167,2020,25.66
167,2021,25.91
169,1992,20.66
169,1993,21.26
169,1994,20.96
169,1995,21.13
169,1996,21.89
169,1997,22.06
169,1998,22.0
169,1999,21.92
169,2000,22.05
169,2001,22.23
169,2002,21.68
169,2003,22.14
169,2004,22.61
169,2005,22.95
169,2006,22.96
169,2007,22.94
169,2008,23.37
169,2009,23.29
169,2010,23.71
169,2011,24.03
169,2012,23.98
169,2013,24.55
169,2014,24.99
169,2015,25.38
169,2016,25.79
169,2017,26.54
169,2018,25.78
169,2019,25.7
169,2020,25.91
169,2021,26.07
183,1992,20.61
183,1993,21.01
183,1994,20.8
183,1995,20.83
183,1996,21.88
183,1997,21.95
183,1998,22.33
183,1999,22.39
183,2000,22.51
183,2001,22.17
183,2002,21.99
183,2003,22.13
183,2004,22.62
183,2005,23.06
183,2006,22.84
183,2007,22.45
183,2008,23.32
183,2009,22.95
183,2010,24.24
183,2011,24.03
183,2012,23.73
183,2013,24.63
183,2014,24.49
