municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square meters,square meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
165,Villa,Porsager 29,2620, Albertslund,765000,2006-12-16,Fam. Salg,103,7427,4,1965,
165,Villa,Kvædehaven 13,2600, Glostrup,2800000,2006-12-13,Alm. Salg,167,16766,4,1971,
165,Ejerlejlighed,"Topperne 9, 2. 21",2620, Albertslund,1850000,2006-12-12,Alm. Salg,97,19072,4,1972,
165,Ejerlejlighed,Mölndalsparken 10,2620, Albertslund,1830000,2006-11-30,Alm. Salg,69,26522,3,1986,
165,Ejerlejlighed,"Linde Alle 6, st. th",2620, Albertslund,860000,2006-11-27,Alm. Salg,68,12647,3,1935,
165,Ejerlejlighed,"Linde Alle 6, st. tv",2620, Albertslund,860000,2006-11-27,Alm. Salg,68,12647,3,1935,
165,Ejerlejlighed,"Linde Alle 6, 2. tv",2620, Albertslund,860000,2006-11-27,Alm. Salg,110,7818,4,1935,
165,Ejerlejlighed,"Linde Alle 6, 1. tv",2620, Albertslund,860000,2006-11-27,Alm. Salg,68,12647,3,1935,
165,Ejerlejlighed,"Linde Alle 6, 1. th",2620, Albertslund,860000,2006-11-27,Alm. Salg,68,12647,3,1935,
165,Ejerlejlighed,"Kanaltorvet 8, 3. 33",2620, Albertslund,1020000,2006-11-26,Alm. Salg,59,17288,2,1970,
165,Ejerlejlighed,"Tornegårdsvej 60, 1",2620, Albertslund,1395000,2006-11-23,Alm. Salg,78,17885,2,2008,
165,Rækkehus,Degnehusene 81,2620, Albertslund,3345000,2006-11-21,Alm. Salg,191,17513,4,1972,
165,Ejerlejlighed,"Tornegårdsvej 60, st",2620, Albertslund,1495000,2006-11-16,Alm. Salg,62,24113,2,2008,
165,Rækkehus,Tornegårdsvej 87,2620, Albertslund,2895000,2006-11-14,Alm. Salg,121,23926,4,2008,
165,Rækkehus,Robinievej 8,2620, Albertslund,2600000,2006-11-12,Alm. Salg,135,19259,5,2007,
165,Rækkehus,Poppelhusene 34,2600, Glostrup,2725000,2006-11-11,Alm. Salg,122,22336,5,1974,
165,Ejerlejlighed,"Topperne 16, 2. 21",2620, Albertslund,1975000,2006-11-07,Alm. Salg,97,20361,4,1971,
165,Rækkehus,Fiskerhusene 17,2620, Albertslund,2410000,2006-11-05,Alm. Salg,108,22315,4,1968,
165,Rækkehus,Poppelhusene 81,2600, Glostrup,3445000,2006-10-31,Alm. Salg,107,32196,4,1968,
165,Villa,Enighedsvej 8,2620, Albertslund,3340000,2006-10-30,Alm. Salg,120,27833,5,1947,
165,Villa,Kongsager 25,2620, Albertslund,3050000,2006-10-30,Alm. Salg,114,26754,4,1966,
