muni_code,year,unemployed
230,2001,1662
230,2002,1714
230,2003,2008
230,2004,2014
230,2005,1780
230,2006,1492
240,1992,3132
240,1993,3532
240,1994,3632
240,1995,3171
240,1996,2351
240,1997,2008
240,1998,1533
240,1999,1282
240,2000,1178
240,2001,1152
240,2002,1292
240,2003,1511
240,2004,1526
240,2005,1292
240,2006,973
250,1992,27417
250,1993,30820
250,1994,30487
250,1995,27724
250,1996,21821
250,1997,18355
250,1998,15235
250,1999,12520
250,2000,11745
250,2001,11146
250,2002,11608
250,2003,13594
250,2004,14048
250,2005,12201
250,2006,9511
253,1992,4539
253,1993,5333
253,1994,5514
253,1995,5104
253,1996,3906
253,1997,3097
253,1998,2377
253,1999,1934
253,2000,1931
253,2001,1904
253,2002,2038
253,2003,2478
253,2004,2670
253,2005,2384
253,2006,1890
259,1992,6138
259,1993,6837
259,1994,6632
259,1995,5664
259,1996,4638
259,1997,4191
259,1998,3517
259,1999,3011
259,2000,2575
259,2001,2431
259,2002,2380
259,2003,2748
259,2004,2946
259,2005,2559
259,2006,1887
260,1992,3881
260,1993,4388
260,1994,4732
260,1995,3888
260,1996,3066
260,1997,2563
260,1998,2004
260,1999,1670
260,2000,1452
260,2001,1424
260,2002,1533
260,2003,2013
260,2004,1815
260,2005,1573
260,2006,1185
265,1992,7589
265,1993,8293
265,1994,8049
265,1995,7755
265,1996,6056
265,1997,4702
265,1998,4035
265,1999,3302
265,2000,3144
265,2001,2975
265,2002,3195
265,2003,3602
265,2004,3542
265,2005,3116
265,2006,2502
269,1992,1952
269,1993,2230
269,1994,2223
269,1995,2032
269,1996,1579
269,1997,1352
269,1998,1092
269,1999,894
269,2000,902
269,2001,836
269,2002,856
269,2003,1006
269,2004,1068
269,2005,982
269,2006,828
270,1992,4510
270,1993,4861
270,1994,4902
270,1995,4060
270,1996,3218
270,1997,2793
270,1998,2248
270,1999,1874
270,2000,1736
270,2001,1684
270,2002,1744
270,2003,2170
270,2004,2216
270,2005,1882
270,2006,1396
306,1992,4326
306,1993,4693
306,1994,4588
306,1995,3929
306,1996,3075
306,1997,2575
306,1998,2164
306,1999,1711
306,2000,1697
306,2001,1715
306,2002,1701
306,2003,1897
306,2004,1937
306,2005,1809
306,2006,1438
316,1992,7996
316,1993,8487
316,1994,8350
316,1995,6973
316,1996,5492
316,1997,4966
316,1998,3958
316,1999,3468
316,2000,3673
316,2001,3514
316,2002,3188
316,2003,3677
316,2004,3881
316,2005,3405
316,2006,2712
320,1992,3567
320,1993,4053
320,1994,4160
320,1995,3248
320,1996,2617
320,1997,2432
320,1998,1937
320,1999,1782
320,2000,1665
320,2001,1628
320,2002,1646
320,2003,2030
320,2004,2010
320,2005,1658
320,2006,1352
326,1992,6682
326,1993,6922
326,1994,6618
326,1995,5488
326,1996,4769
326,1997,4436
326,1998,3803
326,1999,3172
326,2000,2806
326,2001,2417
326,2002,2418
326,2003,3257
326,2004,3186
326,2005,2862
326,2006,2139
329,1992,3196
329,1993,3454
329,1994,4064
329,1995,2972
329,1996,2328
329,1997,1997
329,1998,1621
329,1999,1545
329,2000,1375
329,2001,1364
329,2002,1336
329,2003,1863
329,2004,1966
329,2005,1660
329,2006,1274
330,1992,9490
330,1993,10175
330,1994,10327
330,1995,8943
330,1996,7775
330,1997,7284
330,1998,5862
330,1999,4947
330,2000,4782
330,2001,4432
330,2002,4605
330,2003,5935
330,2004,6194
330,2005,5428
330,2006,4403
336,1992,2249
336,1993,2546
336,1994,2560
336,1995,2194
336,1996,1876
336,1997,1764
336,1998,1523
336,1999,1289
336,2000,1250
336,2001,1318
336,2002,1279
336,2003,1254
336,2004,1278
336,2005,1097
336,2006,868
340,1992,2789
340,1993,3091
340,1994,2943
340,1995,2470
340,1996,2227
340,1997,1977
340,1998,1638
340,1999,1378
340,2000,1416
340,2001,1494
340,2002,1461
340,2003,1782
340,2004,1798
