,Train,Test,sample size,muni_code
1454,0.04720726840716459,0.30117582799906084,48,250
1455,0.0472850247461474,0.39765039380513206,51,250
1456,0.04624700283650218,0.3406664209431906,54,250
1457,0.04525628767833071,0.31655671922608386,57,250
1458,0.04472747023261263,0.29056806037819266,60,250
1459,0.04364255992623701,0.2232087468699647,64,250
1460,4.26585824896135e-10,3.211517612355061,3,240
1461,0.0005276038699671349,0.8501357786814058,6,240
1462,0.0008422502294428584,0.7051916190494947,9,240
1463,0.0013244658165788303,0.389745074195654,12,240
1464,0.001443705905054589,0.8319968335246337,16,240
1465,0.0025097944962110055,0.22714242275588853,19,240
1466,0.002847251851034764,1.1119277452985545,22,240
1467,0.004346600034315451,0.4683914042212064,25,240
1468,0.006403472432467983,0.4603296656185055,28,240
1469,0.008230380101074703,0.6002139300630007,32,240
1470,0.012069384509956815,2.555793491651219,35,240
1471,0.014847158786775288,1.9123407539620494,38,240
1472,0.018862171744326167,1.5755996586257317,41,240
1473,0.0229939679899934,1.5905789783965538,44,240
1474,0.034501107900939784,1.447266624910375,48,240
1475,0.03569841217897336,0.992712881544198,51,240
1476,0.04263397172878832,0.30212791484804546,54,240
1477,0.0450373859284374,0.1595343596691409,57,240
1478,0.04359754305005502,0.1011292058917705,60,240
1479,0.044743890310053554,0.08241651791224741,64,240
1480,0.0022090530698756117,3.02514610693467,3,230
1481,0.003688752081781961,2.3702729225175094,6,230
1482,0.003943722864510104,1.6405395537772685,9,230
1483,0.0045632676399269415,1.2942831857770665,12,230
1484,0.00707394158596493,0.7430429853190629,16,230
1485,0.008155567889432634,0.5976086657882883,19,230
1486,0.012241426802690551,0.5148148802692465,22,230
1487,0.015906481566304892,0.42316660842477516,25,230
1488,0.019230757806631825,0.3427056901923774,28,230
1489,0.024067521925658645,0.2549462899772382,32,230
1490,0.03595697913290904,0.18202689855236165,35,230
1491,0.039282123358168344,0.17553397347950586,38,230
1492,0.050759901112786776,0.22229120121883034,41,230
1493,0.0535308660755229,0.2540433294112592,44,230
1494,0.056528998499282966,0.2714325954624515,48,230
1495,0.06120989119325293,0.27397099263382263,51,230
1496,0.06993771280470176,0.25580159362807386,54,230
1497,0.08131719215623316,0.2501045640071967,57,230
1498,0.08847429513116437,0.21239459936649946,60,230
1499,0.0947658235591389,0.16255265503933594,64,230
1500,0.0038269078286920395,3.1060272823370205,3,223
1501,0.0031479153687998035,3.110072490005893,6,223
1502,0.0055044428509176836,2.2120611481627708,9,223
1503,0.006536726485779578,3.9902986983700948,12,223
1504,0.0072037874458107925,2.270436015645981,16,223
1505,0.010358374306436357,1.5124702784102837,19,223
