,Train,Test,sample size,muni_code
0,1.7060785886919564e-06,2.408670298149353,3,860
1,0.0017547007447857432,2.685152258959721,6,860
2,0.002092082401858325,0.452929536291461,9,860
3,0.002228466826408845,0.9571842731206743,12,860
4,0.007933451592781216,4.505689645453577,16,860
5,0.014885542588747854,0.34649472305591356,19,860
6,0.01472033192410586,0.37404761221994065,22,860
7,0.023166241128553956,6.643117367528729,25,860
8,0.03162505111224673,0.3511691165917078,28,860
9,0.03615607863894279,2.534781322634104,32,860
10,0.0336294600917551,0.22766635205154678,35,860
11,0.034729627256304574,0.2068223147091023,38,860
12,0.033269416499076124,0.7250552175026671,41,860
13,0.032580437758461846,0.6875405366924106,44,860
14,0.03276226319149364,0.21944444623741174,48,860
15,0.033068382893929125,0.3147895318956631,51,860
16,0.033776370007724134,0.39127962749370926,54,860
17,0.03779182153262663,0.6764270427908506,57,860
18,0.04556081961395082,0.2125505096919206,60,860
19,0.049796750277890524,0.3817719476004453,64,860
20,0.0013514947420310158,2.391671730589439,3,851
21,0.0018131408509799237,2.253269136742061,6,851
22,0.0023625541815280064,1.6297292487632693,9,851
23,0.0036048920285041163,0.48653042040609557,12,851
24,0.005528006623876389,0.13971045371806262,16,851
25,0.00757443419824399,0.08401397291690435,19,851
26,0.008314577000498155,0.09053689070960949,22,851
27,0.00921887132436668,0.09213608235755608,25,851
28,0.010122296326083371,0.08983540431446799,28,851
29,0.011840336225168753,0.08092795357403257,32,851
30,0.015434235038138813,0.09128072426959463,35,851
31,0.017901770539383095,0.06333301506946377,38,851
32,0.020194766651241234,0.0889370085704192,41,851
33,0.021658871970562564,0.21038185955353722,44,851
34,0.021723965628453974,0.1803776003321914,48,851
35,0.021570743469136615,0.1531710626278008,51,851
36,0.020946955206073238,0.10125005238722787,54,851
37,0.02143586472952289,0.03445930973198042,57,851
38,0.02125757403743792,0.03351607679896622,60,851
39,0.022685530610140336,0.03318830788380152,64,851
40,0.0013858002850427418,2.158256018486457,3,849
41,0.059572129593431854,3.7334512695960322,6,849
42,0.043448445297490056,1.5224317351694283,9,849
43,0.056870347247924245,3.091193526819725,12,849
44,0.04766457796694469,1.8988858345255266,16,849
45,0.04607307721942394,1.5859561104631716,19,849
46,0.07021670237807268,2.6970675085583586,22,849
47,0.07510853876508168,0.30662502860289503,25,849
48,0.07040699393010325,6.8716633078744565,28,849
49,0.07874279025174376,3.19013895448742,32,849
50,0.0748071180657364,1.0063975810683603,35,849
51,0.07184832035388661,0.7725397213757258,38,849
52,0.06865778355541649,0.3247153812929139,41,849
53,0.06800012087965433,0.2843838523638514,44,849
54,0.07780601609085475,0.5719469071257383,48,849
55,0.07875987078105191,0.4986196907952058,51,849
56,0.09394214821924866,0.3768513685007163,54,849
57,0.11365995697514444,0.22317076002848418,57,849
58,0.13038816541652493,0.34722537894444094,60,849
