,muni_code,rmse,r2
0,860,3030.2426974723553,-4.540488243375732
1,851,1890.6872129177577,0.37336978190724135
2,849,2662.767805147479,-1.0006689076233708
3,846,1049.466661783148,0.3224930546153113
4,840,1636.057075972165,-0.05744860884513914
5,825,2548.775408932736,-2.0907156592123948
6,820,1293.2632097110777,-0.6434886668649604
7,813,1307.1156707185066,-0.000136161520380762
8,810,2206.7863515715017,-8.46342153745949
9,791,2030.385327607864,-0.5221192573376192
10,787,1307.2956623852504,-0.9029456351267893
11,779,1116.8812498271225,-0.1936994459997814
12,773,1187.43780518924,-0.0019202533008313427
13,766,1838.7281280583352,-0.4843358772175599
14,760,1037.7763664234571,0.1353656115762607
15,756,1382.4062009060415,0.04157835881570637
16,751,3231.1955442198714,0.4844996139535712
17,746,2348.3526852888463,0.14038510819321692
18,741,2380.9093896213685,-0.961209773103572
19,740,1752.160753281733,0.6065411913185559
20,730,1980.429753057948,-0.03577347896062322
21,727,3519.5554596836387,-5.260225265175951
22,710,3854.0227460767273,-2.206461881863596
23,707,1901.796114898694,-1.6552263374310185
24,706,1890.890401613631,0.054058082156173026
25,671,1421.8748091075506,-0.1797504351788013
26,665,1084.1008876738888,-0.07035922292128172
27,661,1791.7418756264683,0.0014719698668114178
28,657,1470.5511070737612,0.3531175360180355
29,630,1860.539657619754,0.14811459184974562
30,621,2317.6883235635933,-1.1681751097949316
31,615,11925.850606669232,-52.867432584646586
32,607,3434.1798162247806,-18.577495220765297
33,580,2839.3073018600794,-9.006186788422326
34,575,1109.7036213067734,-0.08651281084020512
35,573,1329.7132813415537,-0.6562049509488204
36,563,2933.0789579450384,-0.09541542906524336
37,561,1110.3853068668768,0.62943228480643
38,550,1258.6610801137479,-0.12527105764651947
39,540,1214.1468419178848,0.3857394288789192
40,530,1369.5303739359929,0.10643376641962199
41,510,920.4628681216705,0.5327255483306423
42,492,1520.4967000548763,0.062395825186631226
43,482,1520.4085823476626,0.06825287815157899
44,480,1689.4713159112382,0.21976051487416148
45,479,1720.0912463921984,-0.22377197389918724
46,461,2430.560033407779,-0.2913109051243552
47,450,2223.253984265099,-2.7076750980578477
48,440,5749.2589476430885,-3.154710549045954
49,430,1396.8058104017796,-0.9076802448604713
50,420,1258.7357122093217,-0.3004247832252469
51,410,3866.816883568569,-1.1383773772754382
52,400,2800.920580375161,-3.55299466148814
53,390,794.6289295304382,0.6574766351373725
54,376,1869.232621428741,-2.4177679489457677
55,370,1902.2025306875155,0.08863986267623103
56,360,1035.8699794388874,0.1254498552379042
57,350,5149.325666820478,-1.8316220201561784
58,340,4400.364817734595,-4.144682211233145
59,336,2743.6175477454963,-0.43739851538603713
60,330,3129.0422784165435,-3.5112481452559443
61,329,4009.1802606827864,-1.6430439500028289
62,326,4547.3720380305895,-15.797580783123063
63,320,2773.8757380848974,-0.3485492054831887
64,316,3003.0295501856626,0.24100910216798588
65,306,2057.080852343239,-0.47215959587530776
66,270,2632.079294039797,-0.2918954168585002
67,269,2517.9766052787663,0.3011677955035851
68,265,4475.770498546221,-1.0454544865090267
69,260,5189.85606099029,-3.590721641266253
70,259,4200.259313339004,-0.908198682626103
71,253,2479.720493085474,0.32386382830108595
72,250,4505.410662906985,-1.7462953881343126
73,240,5689.609523419204,-4.60162897329035
74,230,2730.3861031518863,0.4149660647240411
75,223,2560.129593923984,0.3642464118757939
76,219,3785.0794522166916,-1.2959389211199595
77,217,11900.059576240674,-32.56381018453002
78,210,2154.6209209549093,0.5990016926374575
79,201,3128.996282216237,-0.5052216828838487
80,190,1185.8228045618434,0.7655675980464449
81,187,3110.426399054489,-0.3452981842323526
82,185,3196.2255621626177,0.16621844800558894
83,183,6464.73992748665,-10.630465217774706
84,175,14573.73032000139,-18.18363465750566
85,173,3049.70165241563,0.489006249164585
86,169,1383.8621463592058,0.7257179816181665
87,167,5021.568861988343,-2.203955795574921
88,165,1889.0277449710968,-0.032380737587224484
89,163,5563.839531033955,-2.8299388685002613
90,161,8703.294704984664,-6.667155266999054
91,159,4002.2229515392482,0.010538311812449463
92,157,7021.791172699809,-0.4053074066476401
93,155,2269.950845546871,0.629428701982292
94,153,3677.6961542239515,-1.1656520626764353
95,151,6284.190984191162,-5.256662496362561
96,147,11678.821438788878,-3.129797106205621
97,101,7996.681456936034,-2.9988179592554953
