,Train,Test,sample size,muni_code
0,1.3639614448159331e-09,30.408765661517766,3,860
1,2.2058471429265022e-06,1.726641441453857,6,860
2,0.006033106500052792,2.3979033816952673,9,860
3,0.010510950954911719,1.2893323792471136,12,860
4,0.017895256934723262,0.8995087255667296,16,860
5,0.02032899857086586,0.7254858268769662,19,860
6,0.021322710374827393,0.5888278451334534,22,860
7,0.030642665451766055,0.32959284543491013,25,860
8,0.03419109945251019,0.30413246260762783,28,860
9,0.036092782104830065,0.2601314001502535,32,860
10,0.0394291446334362,0.2376709358124558,35,860
11,0.04862407107654939,0.18646500000518568,38,860
12,0.05900851690841517,0.180985912251657,41,860
13,0.06333312456379613,0.18368350048329077,44,860
14,0.06443230200688438,0.1545493296607017,48,860
15,0.06782687633485154,0.15301107259361837,51,860
16,0.0661793398434762,0.14942885200549894,54,860
17,0.07378163020071074,0.15328777320023382,57,860
18,0.07506630578736981,0.1511165158625749,60,860
19,0.0748120951825307,0.1463821948310619,64,860
20,0.002821707759949557,0.438627750378455,3,851
21,0.017925688818405647,0.4390080815422924,6,851
22,0.016495440067980476,0.33973518192197727,9,851
23,0.021904573789381352,0.15657318815572036,12,851
24,0.02480738693407713,0.11954021765645986,16,851
25,0.026273953237673082,0.11220381347096405,19,851
26,0.024109105386558072,0.09739807230706284,22,851
27,0.0272806458996175,0.06365819904681247,25,851
28,0.027985060058527828,0.0649804402734955,28,851
29,0.027621060183374773,0.05726125383949674,32,851
30,0.028551099041073634,0.058461364238161465,35,851
31,0.02919934596018543,0.05155766047750371,38,851
32,0.03161123164414092,0.05271996795956382,41,851
33,0.031989743793455996,0.0524668536604592,44,851
34,0.03324083829019629,0.046211063238682196,48,851
35,0.03383983609330024,0.045492911512918496,51,851
36,0.03473312143240767,0.04587007505408873,54,851
37,0.03353099986040784,0.04545809844523124,57,851
38,0.03299699471615718,0.04483599247353633,60,851
39,0.033252932723204814,0.04526924865125443,64,851
40,0.08033493191940677,1.167135850886932,3,849
41,0.0685782907454905,1.4307645309983257,6,849
42,0.26745089540057104,0.8901745687891761,9,849
43,0.23988198281860615,0.676255868201834,12,849
44,0.25472154538420816,0.7427307765325518,16,849
45,0.24479102922511312,0.5939376893511294,19,849
46,0.24564687785946507,0.5387813792226703,22,849
47,0.2615515359049413,0.3857087544929513,25,849
48,0.2493215303559159,0.3829157899876247,28,849
49,0.24947145947991473,0.3230343901511168,32,849
50,0.24891039151638691,0.31447332436003705,35,849
51,0.2445844935588771,0.2897135514272801,38,849
52,0.24596140097579505,0.28804664564452964,41,849
53,0.25076844046715185,0.2936810110081179,44,849
54,0.2388750622905791,0.27834236065010853,48,849
55,0.23356001570409896,0.271022006801395,51,849
56,0.22619018649700656,0.2674827666648069,54,849
57,0.21804466738392225,0.2649034751533808,57,849
58,0.21143432087047312,0.2628344975592912,60,849
59,0.2006251995805779,0.25941140983108235,64,849
60,4.93895915586908e-08,0.6873846016735095,3,846
61,0.002299750017571356,1.6613411311231445,6,846
62,0.005416470539858173,2.0579865603165417,9,846
63,0.024969411794785006,1.1140652154653778,12,846
64,0.05390548594685744,0.47575379846496624,16,846
65,0.04493478906691793,0.5294792244892468,19,846
66,0.04546198623306359,0.49539232901064023,22,846
67,0.054721799186341055,0.30389516846561426,25,846
68,0.05429885941738906,0.3119759618554129,28,846
69,0.05670973462847253,0.2689204818561827,32,846
70,0.05869948939319093,0.26803166978186677,35,846
71,0.059228048032078026,0.23435171106473537,38,846
72,0.06569198196297044,0.19484150129604813,41,846
73,0.07387524083624605,0.20407796332126243,44,846
74,0.07436705040854308,0.18198218192230847,48,846
75,0.09053952533314183,0.18502751214602986,51,846
76,0.08915999771380692,0.18478721026116254,54,846
77,0.09069979119494667,0.18257155771682138,57,846
78,0.08964232050923462,0.18232605419549353,60,846
79,0.09054804944279812,0.18045593003607138,64,846
80,0.02610134354171348,0.44273801930365353,3,840
81,0.09881742441577793,0.6128997469050669,6,840
82,0.06664711325150477,0.6187635756710151,9,840
83,0.0921837081784768,0.3074416502887017,12,840
84,0.08995906512184976,0.29217390498982343,16,840
85,0.08497649188703296,0.26442439080203217,19,840
86,0.08648575059775372,0.23514188695128152,22,840
87,0.09569291728072223,0.18382868346168385,25,840
88,0.0987763511217182,0.1818079028292627,28,840
89,0.09320363515711154,0.16327182898850784,32,840
90,0.08720920254109778,0.16331712687865593,35,840
91,0.08508236950494198,0.15182594867125065,38,840
92,0.08849457339406672,0.1600008244804993,41,840
93,0.08402624979753308,0.15605432038756742,44,840
94,0.0840991077006534,0.13882388194271145,48,840
95,0.08176720870227354,0.13471953384213536,51,840
96,0.07908758291952955,0.1345292268461962,54,840
97,0.07662010491108094,0.13223203103721343,57,840
98,0.07476345813991234,0.13041320683808721,60,840
99,0.07744200274932124,0.13550925355536542,64,840
100,-0.0,1.5724252730187613,1,825
101,0.11601269194254726,1.0239675429556168,3,825
102,0.11994939131965339,0.8309620122334065,5,825
103,0.10389093973079908,0.8271221035333586,6,825
104,0.2733454167040717,0.6705146957224141,8,825
105,0.2911431376893579,0.6541984839361905,10,825
106,0.26858517509324564,0.6358981545275432,11,825
107,0.28796964363539795,0.6172246945253003,13,825
108,0.2530097917206892,0.6078240263991878,15,825
109,0.22230568336846704,0.6047331351828613,17,825
110,0.281783956344045,0.5899706557564406,18,825
111,0.26939931453271504,0.5778569305874266,20,825
112,0.2997026581346079,0.5954552321147648,22,825
113,0.2911911962750782,0.5994085253871135,23,825
114,0.29937536131419024,0.5946709221555642,25,825
115,0.3938183972089473,0.6223393048151158,27,825
116,0.39601619673329225,0.6095958031655353,28,825
117,0.40277177687591975,0.6317427481883111,30,825
118,0.3862922069682994,0.6204868424665523,32,825
119,0.4528115632779974,0.6227410748049668,34,825
