TAL;OMRÅDE;TID;INDHOLD
1 Berørte personer (antal);185 Tårnby;2018 2018;1184
1 Berørte personer (antal);185 Tårnby;2019 2019;1111
1 Berørte personer (antal);185 Tårnby;2020 2020;1141
1 Berørte personer (antal);185 Tårnby;2021 2021;1011
1 Berørte personer (antal);185 Tårnby;2022 2022;960
1 Berørte personer (antal);02 Landsdel Københavns omegn;2007 2007;15405
1 Berørte personer (antal);02 Landsdel Københavns omegn;2008 2008;15198
1 Berørte personer (antal);02 Landsdel Københavns omegn;2009 2009;17668
1 Berørte personer (antal);02 Landsdel Københavns omegn;2010 2010;19244
1 Berørte personer (antal);02 Landsdel Københavns omegn;2011 2011;20076
1 Berørte personer (antal);02 Landsdel Københavns omegn;2012 2012;21382
1 Berørte personer (antal);02 Landsdel Københavns omegn;2013 2013;24333
1 Berørte personer (antal);02 Landsdel Københavns omegn;2014 2014;24507
1 Berørte personer (antal);02 Landsdel Københavns omegn;2015 2015;23705
1 Berørte personer (antal);02 Landsdel Københavns omegn;2016 2016;21853
1 Berørte personer (antal);02 Landsdel Københavns omegn;2017 2017;19107
1 Berørte personer (antal);02 Landsdel Københavns omegn;2018 2018;16141
1 Berørte personer (antal);02 Landsdel Københavns omegn;2019 2019;14712
1 Berørte personer (antal);02 Landsdel Københavns omegn;2020 2020;14488
1 Berørte personer (antal);02 Landsdel Københavns omegn;2021 2021;12919
1 Berørte personer (antal);02 Landsdel Københavns omegn;2022 2022;12418
1 Berørte personer (antal);165 Albertslund;2007 2007;1429
1 Berørte personer (antal);165 Albertslund;2008 2008;1373
1 Berørte personer (antal);165 Albertslund;2009 2009;1523
1 Berørte personer (antal);165 Albertslund;2010 2010;1657
1 Berørte personer (antal);165 Albertslund;2011 2011;1735
1 Berørte personer (antal);165 Albertslund;2012 2012;1777
1 Berørte personer (antal);165 Albertslund;2013 2013;1973
1 Berørte personer (antal);165 Albertslund;2014 2014;2005
1 Berørte personer (antal);165 Albertslund;2015 2015;1853
1 Berørte personer (antal);165 Albertslund;2016 2016;1672
1 Berørte personer (antal);165 Albertslund;2017 2017;1431
1 Berørte personer (antal);165 Albertslund;2018 2018;1120
1 Berørte personer (antal);165 Albertslund;2019 2019;1000
1 Berørte personer (antal);165 Albertslund;2020 2020;999
1 Berørte personer (antal);165 Albertslund;2021 2021;916
1 Berørte personer (antal);165 Albertslund;2022 2022;813
1 Berørte personer (antal);151 Ballerup;2007 2007;1354
1 Berørte personer (antal);151 Ballerup;2008 2008;1371
1 Berørte personer (antal);151 Ballerup;2009 2009;1562
1 Berørte personer (antal);151 Ballerup;2010 2010;1676
1 Berørte personer (antal);151 Ballerup;2011 2011;1781
1 Berørte personer (antal);151 Ballerup;2012 2012;1977
1 Berørte personer (antal);151 Ballerup;2013 2013;2272
1 Berørte personer (antal);151 Ballerup;2014 2014;2265
1 Berørte personer (antal);151 Ballerup;2015 2015;2085
1 Berørte personer (antal);151 Ballerup;2016 2016;1905
1 Berørte personer (antal);151 Ballerup;2017 2017;1668
1 Berørte personer (antal);151 Ballerup;2018 2018;1480
1 Berørte personer (antal);151 Ballerup;2019 2019;1377
1 Berørte personer (antal);151 Ballerup;2020 2020;1352
1 Berørte personer (antal);151 Ballerup;2021 2021;1201
1 Berørte personer (antal);151 Ballerup;2022 2022;1117
1 Berørte personer (antal);153 Brøndby;2007 2007;1386
1 Berørte personer (antal);153 Brøndby;2008 2008;1335
1 Berørte personer (antal);153 Brøndby;2009 2009;1601
1 Berørte personer (antal);153 Brøndby;2010 2010;1744
1 Berørte personer (antal);153 Brøndby;2011 2011;1795
1 Berørte personer (antal);153 Brøndby;2012 2012;1858
1 Berørte personer (antal);153 Brøndby;2013 2013;2183
1 Berørte personer (antal);153 Brøndby;2014 2014;2243
1 Berørte personer (antal);153 Brøndby;2015 2015;2263
1 Berørte personer (antal);153 Brøndby;2016 2016;2098
1 Berørte personer (antal);153 Brøndby;2017 2017;1887
1 Berørte personer (antal);153 Brøndby;2018 2018;1735
1 Berørte personer (antal);153 Brøndby;2019 2019;1681
1 Berørte personer (antal);153 Brøndby;2020 2020;1611
1 Berørte personer (antal);153 Brøndby;2021 2021;1454
1 Berørte personer (antal);153 Brøndby;2022 2022;1434
1 Berørte personer (antal);157 Gentofte;2007 2007;1048
1 Berørte personer (antal);157 Gentofte;2008 2008;976
1 Berørte personer (antal);157 Gentofte;2009 2009;1171
1 Berørte personer (antal);157 Gentofte;2010 2010;1301
1 Berørte personer (antal);157 Gentofte;2011 2011;1431
1 Berørte personer (antal);157 Gentofte;2012 2012;1584
1 Berørte personer (antal);157 Gentofte;2013 2013;1802
1 Berørte personer (antal);157 Gentofte;2014 2014;1858
1 Berørte personer (antal);157 Gentofte;2015 2015;1842
1 Berørte personer (antal);157 Gentofte;2016 2016;1767
1 Berørte personer (antal);157 Gentofte;2017 2017;1549
1 Berørte personer (antal);157 Gentofte;2018 2018;1317
1 Berørte personer (antal);157 Gentofte;2019 2019;1183
1 Berørte personer (antal);157 Gentofte;2020 2020;1160
1 Berørte personer (antal);157 Gentofte;2021 2021;988
1 Berørte personer (antal);157 Gentofte;2022 2022;991
1 Berørte personer (antal);159 Gladsaxe;2007 2007;1846
1 Berørte personer (antal);159 Gladsaxe;2008 2008;1811
1 Berørte personer (antal);159 Gladsaxe;2009 2009;2079
1 Berørte personer (antal);159 Gladsaxe;2010 2010;2378
1 Berørte personer (antal);159 Gladsaxe;2011 2011;2458
1 Berørte personer (antal);159 Gladsaxe;2012 2012;2676
1 Berørte personer (antal);159 Gladsaxe;2013 2013;3018
1 Berørte personer (antal);159 Gladsaxe;2014 2014;3030
1 Berørte personer (antal);159 Gladsaxe;2015 2015;2905
1 Berørte personer (antal);159 Gladsaxe;2016 2016;2637
1 Berørte personer (antal);159 Gladsaxe;2017 2017;2263
1 Berørte personer (antal);159 Gladsaxe;2018 2018;1833
1 Berørte personer (antal);159 Gladsaxe;2019 2019;1534
1 Berørte personer (antal);159 Gladsaxe;2020 2020;1575
1 Berørte personer (antal);159 Gladsaxe;2021 2021;1404
1 Berørte personer (antal);159 Gladsaxe;2022 2022;1313
1 Berørte personer (antal);161 Glostrup;2007 2007;753
1 Berørte personer (antal);161 Glostrup;2008 2008;757
1 Berørte personer (antal);161 Glostrup;2009 2009;898
1 Berørte personer (antal);161 Glostrup;2010 2010;952
1 Berørte personer (antal);161 Glostrup;2011 2011;1003
1 Berørte personer (antal);161 Glostrup;2012 2012;1062
1 Berørte personer (antal);161 Glostrup;2013 2013;1209
1 Berørte personer (antal);161 Glostrup;2014 2014;1187
1 Berørte personer (antal);161 Glostrup;2015 2015;1129
