TAL;OMRÅDE;TID;INDHOLD
1 Berørte personer (antal);329 Ringsted;2013 2013;1609
1 Berørte personer (antal);329 Ringsted;2014 2014;1531
1 Berørte personer (antal);329 Ringsted;2015 2015;1433
1 Berørte personer (antal);329 Ringsted;2016 2016;1421
1 Berørte personer (antal);329 Ringsted;2017 2017;1320
1 Berørte personer (antal);329 Ringsted;2018 2018;1146
1 Berørte personer (antal);329 Ringsted;2019 2019;1031
1 Berørte personer (antal);329 Ringsted;2020 2020;983
1 Berørte personer (antal);329 Ringsted;2021 2021;854
1 Berørte personer (antal);329 Ringsted;2022 2022;865
1 Berørte personer (antal);330 Slagelse;2007 2007;3160
1 Berørte personer (antal);330 Slagelse;2008 2008;3207
1 Berørte personer (antal);330 Slagelse;2009 2009;3688
1 Berørte personer (antal);330 Slagelse;2010 2010;3842
1 Berørte personer (antal);330 Slagelse;2011 2011;3897
1 Berørte personer (antal);330 Slagelse;2012 2012;4097
1 Berørte personer (antal);330 Slagelse;2013 2013;4605
1 Berørte personer (antal);330 Slagelse;2014 2014;4691
1 Berørte personer (antal);330 Slagelse;2015 2015;4843
1 Berørte personer (antal);330 Slagelse;2016 2016;4575
1 Berørte personer (antal);330 Slagelse;2017 2017;4117
1 Berørte personer (antal);330 Slagelse;2018 2018;3570
1 Berørte personer (antal);330 Slagelse;2019 2019;3376
1 Berørte personer (antal);330 Slagelse;2020 2020;3311
1 Berørte personer (antal);330 Slagelse;2021 2021;2887
1 Berørte personer (antal);330 Slagelse;2022 2022;2644
1 Berørte personer (antal);340 Sorø;2007 2007;717
1 Berørte personer (antal);340 Sorø;2008 2008;761
1 Berørte personer (antal);340 Sorø;2009 2009;907
1 Berørte personer (antal);340 Sorø;2010 2010;997
1 Berørte personer (antal);340 Sorø;2011 2011;1066
1 Berørte personer (antal);340 Sorø;2012 2012;1119
1 Berørte personer (antal);340 Sorø;2013 2013;1262
1 Berørte personer (antal);340 Sorø;2014 2014;1276
1 Berørte personer (antal);340 Sorø;2015 2015;1273
1 Berørte personer (antal);340 Sorø;2016 2016;1165
1 Berørte personer (antal);340 Sorø;2017 2017;1033
1 Berørte personer (antal);340 Sorø;2018 2018;905
1 Berørte personer (antal);340 Sorø;2019 2019;835
1 Berørte personer (antal);340 Sorø;2020 2020;808
1 Berørte personer (antal);340 Sorø;2021 2021;671
1 Berørte personer (antal);340 Sorø;2022 2022;646
1 Berørte personer (antal);336 Stevns;2007 2007;507
1 Berørte personer (antal);336 Stevns;2008 2008;511
1 Berørte personer (antal);336 Stevns;2009 2009;615
1 Berørte personer (antal);336 Stevns;2010 2010;709
1 Berørte personer (antal);336 Stevns;2011 2011;711
1 Berørte personer (antal);336 Stevns;2012 2012;772
1 Berørte personer (antal);336 Stevns;2013 2013;876
1 Berørte personer (antal);336 Stevns;2014 2014;949
1 Berørte personer (antal);336 Stevns;2015 2015;1006
1 Berørte personer (antal);336 Stevns;2016 2016;982
1 Berørte personer (antal);336 Stevns;2017 2017;886
1 Berørte personer (antal);336 Stevns;2018 2018;734
1 Berørte personer (antal);336 Stevns;2019 2019;616
1 Berørte personer (antal);336 Stevns;2020 2020;582
1 Berørte personer (antal);336 Stevns;2021 2021;486
1 Berørte personer (antal);336 Stevns;2022 2022;473
1 Berørte personer (antal);390 Vordingborg;2007 2007;1574
1 Berørte personer (antal);390 Vordingborg;2008 2008;1656
1 Berørte personer (antal);390 Vordingborg;2009 2009;1750
1 Berørte personer (antal);390 Vordingborg;2010 2010;1757
1 Berørte personer (antal);390 Vordingborg;2011 2011;1741
1 Berørte personer (antal);390 Vordingborg;2012 2012;1765
1 Berørte personer (antal);390 Vordingborg;2013 2013;2023
1 Berørte personer (antal);390 Vordingborg;2014 2014;2142
1 Berørte personer (antal);390 Vordingborg;2015 2015;2325
1 Berørte personer (antal);390 Vordingborg;2016 2016;2341
1 Berørte personer (antal);390 Vordingborg;2017 2017;2108
1 Berørte personer (antal);390 Vordingborg;2018 2018;1939
1 Berørte personer (antal);390 Vordingborg;2019 2019;1749
1 Berørte personer (antal);390 Vordingborg;2020 2020;1614
1 Berørte personer (antal);390 Vordingborg;2021 2021;1403
1 Berørte personer (antal);390 Vordingborg;2022 2022;1382
1 Berørte personer (antal);083 Region Syddanmark;2007 2007;39078
1 Berørte personer (antal);083 Region Syddanmark;2008 2008;38294
1 Berørte personer (antal);083 Region Syddanmark;2009 2009;41770
1 Berørte personer (antal);083 Region Syddanmark;2010 2010;42978
1 Berørte personer (antal);083 Region Syddanmark;2011 2011;44101
1 Berørte personer (antal);083 Region Syddanmark;2012 2012;46166
1 Berørte personer (antal);083 Region Syddanmark;2013 2013;52587
1 Berørte personer (antal);083 Region Syddanmark;2014 2014;54494
1 Berørte personer (antal);083 Region Syddanmark;2015 2015;55896
1 Berørte personer (antal);083 Region Syddanmark;2016 2016;53086
1 Berørte personer (antal);083 Region Syddanmark;2017 2017;47617
1 Berørte personer (antal);083 Region Syddanmark;2018 2018;42238
1 Berørte personer (antal);083 Region Syddanmark;2019 2019;39019
1 Berørte personer (antal);083 Region Syddanmark;2020 2020;37444
1 Berørte personer (antal);083 Region Syddanmark;2021 2021;33168
1 Berørte personer (antal);083 Region Syddanmark;2022 2022;32096
1 Berørte personer (antal);07 Landsdel Fyn;2007 2007;17072
1 Berørte personer (antal);07 Landsdel Fyn;2008 2008;16547
1 Berørte personer (antal);07 Landsdel Fyn;2009 2009;17344
1 Berørte personer (antal);07 Landsdel Fyn;2010 2010;17465
1 Berørte personer (antal);07 Landsdel Fyn;2011 2011;18235
1 Berørte personer (antal);07 Landsdel Fyn;2012 2012;19390
1 Berørte personer (antal);07 Landsdel Fyn;2013 2013;22681
1 Berørte personer (antal);07 Landsdel Fyn;2014 2014;23508
1 Berørte personer (antal);07 Landsdel Fyn;2015 2015;24238
1 Berørte personer (antal);07 Landsdel Fyn;2016 2016;22832
1 Berørte personer (antal);07 Landsdel Fyn;2017 2017;20432
1 Berørte personer (antal);07 Landsdel Fyn;2018 2018;18213
1 Berørte personer (antal);07 Landsdel Fyn;2019 2019;16949
1 Berørte personer (antal);07 Landsdel Fyn;2020 2020;16487
1 Berørte personer (antal);07 Landsdel Fyn;2021 2021;14583
1 Berørte personer (antal);07 Landsdel Fyn;2022 2022;13880
1 Berørte personer (antal);420 Assens;2007 2007;1265
1 Berørte personer (antal);420 Assens;2008 2008;1147
1 Berørte personer (antal);420 Assens;2009 2009;1342
1 Berørte personer (antal);420 Assens;2010 2010;1312
1 Berørte personer (antal);420 Assens;2011 2011;1389
1 Berørte personer (antal);420 Assens;2012 2012;1463
1 Berørte personer (antal);420 Assens;2013 2013;1738
1 Berørte personer (antal);420 Assens;2014 2014;1759
1 Berørte personer (antal);420 Assens;2015 2015;1876
1 Berørte personer (antal);420 Assens;2016 2016;1790
1 Berørte personer (antal);420 Assens;2017 2017;1609
1 Berørte personer (antal);420 Assens;2018 2018;1413
1 Berørte personer (antal);420 Assens;2019 2019;1311
1 Berørte personer (antal);420 Assens;2020 2020;1272
1 Berørte personer (antal);420 Assens;2021 2021;1155
1 Berørte personer (antal);420 Assens;2022 2022;1127
1 Berørte personer (antal);430 Faaborg-Midtfyn;2007 2007;1380
1 Berørte personer (antal);430 Faaborg-Midtfyn;2008 2008;1454
1 Berørte personer (antal);430 Faaborg-Midtfyn;2009 2009;1546
1 Berørte personer (antal);430 Faaborg-Midtfyn;2010 2010;1542
1 Berørte personer (antal);430 Faaborg-Midtfyn;2011 2011;1447
1 Berørte personer (antal);430 Faaborg-Midtfyn;2012 2012;1500
1 Berørte personer (antal);430 Faaborg-Midtfyn;2013 2013;1807
1 Berørte personer (antal);430 Faaborg-Midtfyn;2014 2014;1918
1 Berørte personer (antal);430 Faaborg-Midtfyn;2015 2015;1976
1 Berørte personer (antal);430 Faaborg-Midtfyn;2016 2016;1882
1 Berørte personer (antal);430 Faaborg-Midtfyn;2017 2017;1684
1 Berørte personer (antal);430 Faaborg-Midtfyn;2018 2018;1516
1 Berørte personer (antal);430 Faaborg-Midtfyn;2019 2019;1424
1 Berørte personer (antal);430 Faaborg-Midtfyn;2020 2020;1381
1 Berørte personer (antal);430 Faaborg-Midtfyn;2021 2021;1245
1 Berørte personer (antal);430 Faaborg-Midtfyn;2022 2022;1195
1 Berørte personer (antal);440 Kerteminde;2007 2007;580
1 Berørte personer (antal);440 Kerteminde;2008 2008;555
1 Berørte personer (antal);440 Kerteminde;2009 2009;640
1 Berørte personer (antal);440 Kerteminde;2010 2010;775
1 Berørte personer (antal);440 Kerteminde;2011 2011;807
1 Berørte personer (antal);440 Kerteminde;2012 2012;909
1 Berørte personer (antal);440 Kerteminde;2013 2013;1073
1 Berørte personer (antal);440 Kerteminde;2014 2014;1079
1 Berørte personer (antal);440 Kerteminde;2015 2015;1091
1 Berørte personer (antal);440 Kerteminde;2016 2016;983
1 Berørte personer (antal);440 Kerteminde;2017 2017;796
1 Berørte personer (antal);440 Kerteminde;2018 2018;723
1 Berørte personer (antal);440 Kerteminde;2019 2019;637
1 Berørte personer (antal);440 Kerteminde;2020 2020;603
1 Berørte personer (antal);440 Kerteminde;2021 2021;513
1 Berørte personer (antal);440 Kerteminde;2022 2022;460
1 Berørte personer (antal);482 Langeland;2007 2007;415
1 Berørte personer (antal);482 Langeland;2008 2008;406
1 Berørte personer (antal);482 Langeland;2009 2009;428
1 Berørte personer (antal);482 Langeland;2010 2010;413
1 Berørte personer (antal);482 Langeland;2011 2011;426
1 Berørte personer (antal);482 Langeland;2012 2012;468
1 Berørte personer (antal);482 Langeland;2013 2013;543
1 Berørte personer (antal);482 Langeland;2014 2014;553
1 Berørte personer (antal);482 Langeland;2015 2015;576
1 Berørte personer (antal);482 Langeland;2016 2016;567
1 Berørte personer (antal);482 Langeland;2017 2017;533
1 Berørte personer (antal);482 Langeland;2018 2018;487
1 Berørte personer (antal);482 Langeland;2019 2019;477
1 Berørte personer (antal);482 Langeland;2020 2020;420
1 Berørte personer (antal);482 Langeland;2021 2021;377
1 Berørte personer (antal);482 Langeland;2022 2022;360
1 Berørte personer (antal);410 Middelfart;2007 2007;842
1 Berørte personer (antal);410 Middelfart;2008 2008;827
1 Berørte personer (antal);410 Middelfart;2009 2009;932
1 Berørte personer (antal);410 Middelfart;2010 2010;945
1 Berørte personer (antal);410 Middelfart;2011 2011;925
1 Berørte personer (antal);410 Middelfart;2012 2012;1060
1 Berørte personer (antal);410 Middelfart;2013 2013;1201
1 Berørte personer (antal);410 Middelfart;2014 2014;1224
1 Berørte personer (antal);410 Middelfart;2015 2015;1259
1 Berørte personer (antal);410 Middelfart;2016 2016;1235
1 Berørte personer (antal);410 Middelfart;2017 2017;1033
1 Berørte personer (antal);410 Middelfart;2018 2018;879
1 Berørte personer (antal);410 Middelfart;2019 2019;814
1 Berørte personer (antal);410 Middelfart;2020 2020;814
1 Berørte personer (antal);410 Middelfart;2021 2021;758
1 Berørte personer (antal);410 Middelfart;2022 2022;691
1 Berørte personer (antal);480 Nordfyns;2007 2007;758
1 Berørte personer (antal);480 Nordfyns;2008 2008;774
1 Berørte personer (antal);480 Nordfyns;2009 2009;869
1 Berørte personer (antal);480 Nordfyns;2010 2010;896
1 Berørte personer (antal);480 Nordfyns;2011 2011;956
1 Berørte personer (antal);480 Nordfyns;2012 2012;1063
1 Berørte personer (antal);480 Nordfyns;2013 2013;1334
1 Berørte personer (antal);480 Nordfyns;2014 2014;1338
1 Berørte personer (antal);480 Nordfyns;2015 2015;1354
1 Berørte personer (antal);480 Nordfyns;2016 2016;1272
1 Berørte personer (antal);480 Nordfyns;2017 2017;1070
1 Berørte personer (antal);480 Nordfyns;2018 2018;942
1 Berørte personer (antal);480 Nordfyns;2019 2019;879
1 Berørte personer (antal);480 Nordfyns;2020 2020;827
1 Berørte personer (antal);480 Nordfyns;2021 2021;728
1 Berørte personer (antal);480 Nordfyns;2022 2022;708
1 Berørte personer (antal);450 Nyborg;2007 2007;828
1 Berørte personer (antal);450 Nyborg;2008 2008;868
1 Berørte personer (antal);450 Nyborg;2009 2009;894
1 Berørte personer (antal);450 Nyborg;2010 2010;889
1 Berørte personer (antal);450 Nyborg;2011 2011;1022
1 Berørte personer (antal);450 Nyborg;2012 2012;1058
1 Berørte personer (antal);450 Nyborg;2013 2013;1230
1 Berørte personer (antal);450 Nyborg;2014 2014;1332
1 Berørte personer (antal);450 Nyborg;2015 2015;1408
1 Berørte personer (antal);450 Nyborg;2016 2016;1310
1 Berørte personer (antal);450 Nyborg;2017 2017;1133
1 Berørte personer (antal);450 Nyborg;2018 2018;1006
1 Berørte personer (antal);450 Nyborg;2019 2019;930
1 Berørte personer (antal);450 Nyborg;2020 2020;901
1 Berørte personer (antal);450 Nyborg;2021 2021;785
1 Berørte personer (antal);450 Nyborg;2022 2022;777
1 Berørte personer (antal);461 Odense;2007 2007;8942
1 Berørte personer (antal);461 Odense;2008 2008;8436
1 Berørte personer (antal);461 Odense;2009 2009;8659
1 Berørte personer (antal);461 Odense;2010 2010;8589
1 Berørte personer (antal);461 Odense;2011 2011;8974
1 Berørte personer (antal);461 Odense;2012 2012;9391
1 Berørte personer (antal);461 Odense;2013 2013;10914
1 Berørte personer (antal);461 Odense;2014 2014;11342
1 Berørte personer (antal);461 Odense;2015 2015;11617
1 Berørte personer (antal);461 Odense;2016 2016;10818
1 Berørte personer (antal);461 Odense;2017 2017;9909
1 Berørte personer (antal);461 Odense;2018 2018;9020
1 Berørte personer (antal);461 Odense;2019 2019;8450
1 Berørte personer (antal);461 Odense;2020 2020;8210
1 Berørte personer (antal);461 Odense;2021 2021;7085
1 Berørte personer (antal);461 Odense;2022 2022;6682
1 Berørte personer (antal);479 Svendborg;2007 2007;1922
1 Berørte personer (antal);479 Svendborg;2008 2008;1947
1 Berørte personer (antal);479 Svendborg;2009 2009;1896
1 Berørte personer (antal);479 Svendborg;2010 2010;1959
1 Berørte personer (antal);479 Svendborg;2011 2011;2123
1 Berørte personer (antal);479 Svendborg;2012 2012;2332
1 Berørte personer (antal);479 Svendborg;2013 2013;2647
1 Berørte personer (antal);479 Svendborg;2014 2014;2773
1 Berørte personer (antal);479 Svendborg;2015 2015;2888
1 Berørte personer (antal);479 Svendborg;2016 2016;2789
1 Berørte personer (antal);479 Svendborg;2017 2017;2479
1 Berørte personer (antal);479 Svendborg;2018 2018;2068
1 Berørte personer (antal);479 Svendborg;2019 2019;1872
1 Berørte personer (antal);479 Svendborg;2020 2020;1928
1 Berørte personer (antal);479 Svendborg;2021 2021;1810
1 Berørte personer (antal);479 Svendborg;2022 2022;1779
1 Berørte personer (antal);492 Ærø;2007 2007;140
1 Berørte personer (antal);492 Ærø;2008 2008;133
1 Berørte personer (antal);492 Ærø;2009 2009;138
1 Berørte personer (antal);492 Ærø;2010 2010;145
1 Berørte personer (antal);492 Ærø;2011 2011;166
1 Berørte personer (antal);492 Ærø;2012 2012;146
1 Berørte personer (antal);492 Ærø;2013 2013;194
1 Berørte personer (antal);492 Ærø;2014 2014;190
1 Berørte personer (antal);492 Ærø;2015 2015;193
1 Berørte personer (antal);492 Ærø;2016 2016;186
1 Berørte personer (antal);492 Ærø;2017 2017;186
1 Berørte personer (antal);492 Ærø;2018 2018;159
1 Berørte personer (antal);492 Ærø;2019 2019;155
1 Berørte personer (antal);492 Ærø;2020 2020;131
1 Berørte personer (antal);492 Ærø;2021 2021;127
1 Berørte personer (antal);492 Ærø;2022 2022;101
1 Berørte personer (antal);08 Landsdel Sydjylland;2007 2007;22006
1 Berørte personer (antal);08 Landsdel Sydjylland;2008 2008;21747
1 Berørte personer (antal);08 Landsdel Sydjylland;2009 2009;24426
1 Berørte personer (antal);08 Landsdel Sydjylland;2010 2010;25513
1 Berørte personer (antal);08 Landsdel Sydjylland;2011 2011;25866
1 Berørte personer (antal);08 Landsdel Sydjylland;2012 2012;26776
1 Berørte personer (antal);08 Landsdel Sydjylland;2013 2013;29906
1 Berørte personer (antal);08 Landsdel Sydjylland;2014 2014;30986
1 Berørte personer (antal);08 Landsdel Sydjylland;2015 2015;31658
1 Berørte personer (antal);08 Landsdel Sydjylland;2016 2016;30254
1 Berørte personer (antal);08 Landsdel Sydjylland;2017 2017;27185
1 Berørte personer (antal);08 Landsdel Sydjylland;2018 2018;24025
1 Berørte personer (antal);08 Landsdel Sydjylland;2019 2019;22070
1 Berørte personer (antal);08 Landsdel Sydjylland;2020 2020;20957
1 Berørte personer (antal);08 Landsdel Sydjylland;2021 2021;18585
1 Berørte personer (antal);08 Landsdel Sydjylland;2022 2022;18216
1 Berørte personer (antal);530 Billund;2007 2007;602
1 Berørte personer (antal);530 Billund;2008 2008;608
1 Berørte personer (antal);530 Billund;2009 2009;673
1 Berørte personer (antal);530 Billund;2010 2010;688
1 Berørte personer (antal);530 Billund;2011 2011;657
1 Berørte personer (antal);530 Billund;2012 2012;706
1 Berørte personer (antal);530 Billund;2013 2013;759
1 Berørte personer (antal);530 Billund;2014 2014;766
1 Berørte personer (antal);530 Billund;2015 2015;854
1 Berørte personer (antal);530 Billund;2016 2016;821
1 Berørte personer (antal);530 Billund;2017 2017;752
1 Berørte personer (antal);530 Billund;2018 2018;671
1 Berørte personer (antal);530 Billund;2019 2019;607
1 Berørte personer (antal);530 Billund;2020 2020;559
1 Berørte personer (antal);530 Billund;2021 2021;507
1 Berørte personer (antal);530 Billund;2022 2022;490
1 Berørte personer (antal);561 Esbjerg;2007 2007;4620
1 Berørte personer (antal);561 Esbjerg;2008 2008;4488
1 Berørte personer (antal);561 Esbjerg;2009 2009;4757
1 Berørte personer (antal);561 Esbjerg;2010 2010;4896
1 Berørte personer (antal);561 Esbjerg;2011 2011;4959
1 Berørte personer (antal);561 Esbjerg;2012 2012;5081
1 Berørte personer (antal);561 Esbjerg;2013 2013;5355
1 Berørte personer (antal);561 Esbjerg;2014 2014;5573
1 Berørte personer (antal);561 Esbjerg;2015 2015;5551
1 Berørte personer (antal);561 Esbjerg;2016 2016;5298
1 Berørte personer (antal);561 Esbjerg;2017 2017;4929
1 Berørte personer (antal);561 Esbjerg;2018 2018;4536
1 Berørte personer (antal);561 Esbjerg;2019 2019;4130
1 Berørte personer (antal);561 Esbjerg;2020 2020;3983
1 Berørte personer (antal);561 Esbjerg;2021 2021;3494
1 Berørte personer (antal);561 Esbjerg;2022 2022;3408
1 Berørte personer (antal);563 Fanø;2007 2007;61
1 Berørte personer (antal);563 Fanø;2008 2008;60
1 Berørte personer (antal);563 Fanø;2009 2009;63
1 Berørte personer (antal);563 Fanø;2010 2010;59
1 Berørte personer (antal);563 Fanø;2011 2011;74
1 Berørte personer (antal);563 Fanø;2012 2012;76
1 Berørte personer (antal);563 Fanø;2013 2013;80
1 Berørte personer (antal);563 Fanø;2014 2014;102
1 Berørte personer (antal);563 Fanø;2015 2015;111
1 Berørte personer (antal);563 Fanø;2016 2016;107
1 Berørte personer (antal);563 Fanø;2017 2017;93
1 Berørte personer (antal);563 Fanø;2018 2018;76
1 Berørte personer (antal);563 Fanø;2019 2019;77
1 Berørte personer (antal);563 Fanø;2020 2020;61
1 Berørte personer (antal);563 Fanø;2021 2021;42
1 Berørte personer (antal);563 Fanø;2022 2022;38
1 Berørte personer (antal);607 Fredericia;2007 2007;2302
1 Berørte personer (antal);607 Fredericia;2008 2008;2266
1 Berørte personer (antal);607 Fredericia;2009 2009;2391
1 Berørte personer (antal);607 Fredericia;2010 2010;2488
1 Berørte personer (antal);607 Fredericia;2011 2011;2578
1 Berørte personer (antal);607 Fredericia;2012 2012;2664
1 Berørte personer (antal);607 Fredericia;2013 2013;2839
1 Berørte personer (antal);607 Fredericia;2014 2014;2892
1 Berørte personer (antal);607 Fredericia;2015 2015;2945
1 Berørte personer (antal);607 Fredericia;2016 2016;2822
1 Berørte personer (antal);607 Fredericia;2017 2017;2583
1 Berørte personer (antal);607 Fredericia;2018 2018;2248
1 Berørte personer (antal);607 Fredericia;2019 2019;2000
1 Berørte personer (antal);607 Fredericia;2020 2020;2020
1 Berørte personer (antal);607 Fredericia;2021 2021;1820
1 Berørte personer (antal);607 Fredericia;2022 2022;1723
1 Berørte personer (antal);510 Haderslev;2007 2007;1869
1 Berørte personer (antal);510 Haderslev;2008 2008;1710
1 Berørte personer (antal);510 Haderslev;2009 2009;1995
1 Berørte personer (antal);510 Haderslev;2010 2010;2062
1 Berørte personer (antal);510 Haderslev;2011 2011;2076
1 Berørte personer (antal);510 Haderslev;2012 2012;2212
1 Berørte personer (antal);510 Haderslev;2013 2013;2598
1 Berørte personer (antal);510 Haderslev;2014 2014;2725
1 Berørte personer (antal);510 Haderslev;2015 2015;2779
1 Berørte personer (antal);510 Haderslev;2016 2016;2695
1 Berørte personer (antal);510 Haderslev;2017 2017;2471
1 Berørte personer (antal);510 Haderslev;2018 2018;2288
1 Berørte personer (antal);510 Haderslev;2019 2019;2060
1 Berørte personer (antal);510 Haderslev;2020 2020;1878
1 Berørte personer (antal);510 Haderslev;2021 2021;1676
1 Berørte personer (antal);510 Haderslev;2022 2022;1710
1 Berørte personer (antal);621 Kolding;2007 2007;2606
1 Berørte personer (antal);621 Kolding;2008 2008;2596
1 Berørte personer (antal);621 Kolding;2009 2009;2958
1 Berørte personer (antal);621 Kolding;2010 2010;3048
1 Berørte personer (antal);621 Kolding;2011 2011;3028
1 Berørte personer (antal);621 Kolding;2012 2012;3156
1 Berørte personer (antal);621 Kolding;2013 2013;3580
1 Berørte personer (antal);621 Kolding;2014 2014;3635
1 Berørte personer (antal);621 Kolding;2015 2015;3804
1 Berørte personer (antal);621 Kolding;2016 2016;3667
1 Berørte personer (antal);621 Kolding;2017 2017;3277
1 Berørte personer (antal);621 Kolding;2018 2018;2884
1 Berørte personer (antal);621 Kolding;2019 2019;2694
1 Berørte personer (antal);621 Kolding;2020 2020;2486
1 Berørte personer (antal);621 Kolding;2021 2021;2216
1 Berørte personer (antal);621 Kolding;2022 2022;2197
1 Berørte personer (antal);540 Sønderborg;2007 2007;2277
1 Berørte personer (antal);540 Sønderborg;2008 2008;2145
1 Berørte personer (antal);540 Sønderborg;2009 2009;2470
1 Berørte personer (antal);540 Sønderborg;2010 2010;2571
1 Berørte personer (antal);540 Sønderborg;2011 2011;2711
1 Berørte personer (antal);540 Sønderborg;2012 2012;2853
1 Berørte personer (antal);540 Sønderborg;2013 2013;3296
1 Berørte personer (antal);540 Sønderborg;2014 2014;3359
1 Berørte personer (antal);540 Sønderborg;2015 2015;3269
1 Berørte personer (antal);540 Sønderborg;2016 2016;3240
1 Berørte personer (antal);540 Sønderborg;2017 2017;2925
1 Berørte personer (antal);540 Sønderborg;2018 2018;2549
1 Berørte personer (antal);540 Sønderborg;2019 2019;2427
1 Berørte personer (antal);540 Sønderborg;2020 2020;2313
1 Berørte personer (antal);540 Sønderborg;2021 2021;2003
1 Berørte personer (antal);540 Sønderborg;2022 2022;1979
1 Berørte personer (antal);550 Tønder;2007 2007;1306
1 Berørte personer (antal);550 Tønder;2008 2008;1312
1 Berørte personer (antal);550 Tønder;2009 2009;1358
1 Berørte personer (antal);550 Tønder;2010 2010;1385
1 Berørte personer (antal);550 Tønder;2011 2011;1339
1 Berørte personer (antal);550 Tønder;2012 2012;1396
1 Berørte personer (antal);550 Tønder;2013 2013;1627
1 Berørte personer (antal);550 Tønder;2014 2014;1616
1 Berørte personer (antal);550 Tønder;2015 2015;1685
1 Berørte personer (antal);550 Tønder;2016 2016;1619
1 Berørte personer (antal);550 Tønder;2017 2017;1424
1 Berørte personer (antal);550 Tønder;2018 2018;1229
1 Berørte personer (antal);550 Tønder;2019 2019;1153
1 Berørte personer (antal);550 Tønder;2020 2020;1137
1 Berørte personer (antal);550 Tønder;2021 2021;994
1 Berørte personer (antal);550 Tønder;2022 2022;879
1 Berørte personer (antal);573 Varde;2007 2007;1103
1 Berørte personer (antal);573 Varde;2008 2008;1137
1 Berørte personer (antal);573 Varde;2009 2009;1339
1 Berørte personer (antal);573 Varde;2010 2010;1455
1 Berørte personer (antal);573 Varde;2011 2011;1533
1 Berørte personer (antal);573 Varde;2012 2012;1579
1 Berørte personer (antal);573 Varde;2013 2013;1691
1 Berørte personer (antal);573 Varde;2014 2014;1823
1 Berørte personer (antal);573 Varde;2015 2015;1947
1 Berørte personer (antal);573 Varde;2016 2016;1865
1 Berørte personer (antal);573 Varde;2017 2017;1621
1 Berørte personer (antal);573 Varde;2018 2018;1446
1 Berørte personer (antal);573 Varde;2019 2019;1306
1 Berørte personer (antal);573 Varde;2020 2020;1189
1 Berørte personer (antal);573 Varde;2021 2021;1012
1 Berørte personer (antal);573 Varde;2022 2022;1043
1 Berørte personer (antal);575 Vejen;2007 2007;889
1 Berørte personer (antal);575 Vejen;2008 2008;861
1 Berørte personer (antal);575 Vejen;2009 2009;1107
1 Berørte personer (antal);575 Vejen;2010 2010;1204
1 Berørte personer (antal);575 Vejen;2011 2011;1205
1 Berørte personer (antal);575 Vejen;2012 2012;1315
1 Berørte personer (antal);575 Vejen;2013 2013;1552
1 Berørte personer (antal);575 Vejen;2014 2014;1621
1 Berørte personer (antal);575 Vejen;2015 2015;1686
1 Berørte personer (antal);575 Vejen;2016 2016;1625
1 Berørte personer (antal);575 Vejen;2017 2017;1454
1 Berørte personer (antal);575 Vejen;2018 2018;1283
1 Berørte personer (antal);575 Vejen;2019 2019;1197
1 Berørte personer (antal);575 Vejen;2020 2020;1162
1 Berørte personer (antal);575 Vejen;2021 2021;966
1 Berørte personer (antal);575 Vejen;2022 2022;982
1 Berørte personer (antal);630 Vejle;2007 2007;2781
1 Berørte personer (antal);630 Vejle;2008 2008;2888
1 Berørte personer (antal);630 Vejle;2009 2009;3377
1 Berørte personer (antal);630 Vejle;2010 2010;3530
1 Berørte personer (antal);630 Vejle;2011 2011;3706
1 Berørte personer (antal);630 Vejle;2012 2012;3713
1 Berørte personer (antal);630 Vejle;2013 2013;4175
1 Berørte personer (antal);630 Vejle;2014 2014;4395
1 Berørte personer (antal);630 Vejle;2015 2015;4531
1 Berørte personer (antal);630 Vejle;2016 2016;4230
1 Berørte personer (antal);630 Vejle;2017 2017;3698
1 Berørte personer (antal);630 Vejle;2018 2018;3147
1 Berørte personer (antal);630 Vejle;2019 2019;2913
1 Berørte personer (antal);630 Vejle;2020 2020;2837
1 Berørte personer (antal);630 Vejle;2021 2021;2752
1 Berørte personer (antal);630 Vejle;2022 2022;2729
1 Berørte personer (antal);580 Aabenraa;2007 2007;1590
1 Berørte personer (antal);580 Aabenraa;2008 2008;1676
1 Berørte personer (antal);580 Aabenraa;2009 2009;1938
1 Berørte personer (antal);580 Aabenraa;2010 2010;2127
1 Berørte personer (antal);580 Aabenraa;2011 2011;2000
1 Berørte personer (antal);580 Aabenraa;2012 2012;2025
1 Berørte personer (antal);580 Aabenraa;2013 2013;2354
1 Berørte personer (antal);580 Aabenraa;2014 2014;2479
1 Berørte personer (antal);580 Aabenraa;2015 2015;2496
1 Berørte personer (antal);580 Aabenraa;2016 2016;2265
1 Berørte personer (antal);580 Aabenraa;2017 2017;1958
1 Berørte personer (antal);580 Aabenraa;2018 2018;1668
1 Berørte personer (antal);580 Aabenraa;2019 2019;1506
1 Berørte personer (antal);580 Aabenraa;2020 2020;1332
1 Berørte personer (antal);580 Aabenraa;2021 2021;1103
1 Berørte personer (antal);580 Aabenraa;2022 2022;1038
1 Berørte personer (antal);082 Region Midtjylland;2007 2007;35443
1 Berørte personer (antal);082 Region Midtjylland;2008 2008;34630
1 Berørte personer (antal);082 Region Midtjylland;2009 2009;39271
1 Berørte personer (antal);082 Region Midtjylland;2010 2010;40272
1 Berørte personer (antal);082 Region Midtjylland;2011 2011;40670
1 Berørte personer (antal);082 Region Midtjylland;2012 2012;42619
1 Berørte personer (antal);082 Region Midtjylland;2013 2013;48625
