,muni_code,year,pop_dens
1132,575,2020,0.5252795870714022
1133,575,2021,0.525869485068207
1134,575,2022,0.5234853139977879
1135,575,2023,0.5275162836426202
1136,630,2008,0.9914304610733182
1137,630,2009,1.0004157218442933
1138,630,2010,1.0051303854875284
1139,630,2011,1.0130196523053665
1140,630,2012,1.0206065759637188
1141,630,2013,1.0282123960695388
1142,630,2014,1.0360166288737718
1143,630,2015,1.043754724111867
1144,630,2016,1.0557728647014362
1145,630,2017,1.069945200302343
1146,630,2018,1.0784202569916856
1147,630,2019,1.0849395313681027
1148,630,2020,1.093613000755858
1149,630,2021,1.1053665910808768
1150,630,2022,1.1249055177626606
1151,630,2023,1.1427532123960695
1152,580,2008,0.639832039970235
1153,580,2009,0.6419900074412671
1154,580,2010,0.6375890294461571
1155,580,2011,0.6356436696077389
1156,580,2012,0.6335707451897523
1157,580,2013,0.6294036355905177
1158,580,2014,0.6268736047624109
1159,580,2015,0.6261719995747848
1160,580,2016,0.6257999362177102
1161,580,2017,0.6272244073562241
1162,580,2018,0.6281386201764644
1163,580,2019,0.6275645795684065
1164,580,2020,0.6246518550015946
1165,580,2021,0.6221537153183799
1166,580,2022,0.6239289890507069
1167,580,2023,0.6272137769745934
1184,710,2008,0.8440496020729225
1185,710,2009,0.8559689061632426
1186,710,2010,0.8611697205256339
1187,710,2011,0.867925226725893
1188,710,2012,0.8720525633907089
1189,710,2013,0.8727743846011475
1190,710,2014,0.8729039422543031
1191,710,2015,0.8795669072737368
1192,710,2016,0.8820099944475291
1193,710,2017,0.8868221358504534
1194,710,2018,0.8934110679252267
1195,710,2019,0.8953174162502313
1196,710,2020,0.8957431056820285
1197,710,2021,0.895446973903387
1198,710,2022,0.9046825837497686
1199,710,2023,0.914454932444938
1200,766,2008,0.8268784029038112
1201,766,2009,0.834010889292196
1202,766,2010,0.834519056261343
1203,766,2011,0.8344827586206897
1204,766,2012,0.835372050816697
1205,766,2013,0.8324500907441016
1206,766,2014,0.8296733212341197
1207,766,2015,0.836497277676951
1208,766,2016,0.8385843920145191
1209,766,2017,0.8443557168784029
1210,766,2018,0.8460254083484573
1211,766,2019,0.8484029038112523
1212,766,2020,0.8479491833030853
1213,766,2021,0.8488747731397459
1214,766,2022,0.8547912885662432
1215,766,2023,0.8640471869328493
1216,615,2008,1.542202541393916
1217,615,2009,1.570369657296881
1218,615,2010,1.5779168271082018
1219,615,2011,1.5948209472468233
1220,615,2012,1.6095109742010012
1221,615,2013,1.634020023103581
1222,615,2014,1.6492491336157105
1223,615,2015,1.662706969580285
1224,615,2016,1.6891798228725452
1225,615,2017,1.7140931844435887
1226,615,2018,1.7250288794763189
1227,615,2019,1.7398921832884098
1228,615,2020,1.7513669618790912
1229,615,2021,1.7756834809395456
1230,615,2022,1.818309587986138
1231,615,2023,1.8575279168271082
1232,707,2008,0.5351040221914009
1233,707,2009,0.5324549237170596
1234,707,2010,0.5290984743411928
1235,707,2011,0.5274479889042996
1236,707,2012,0.5253259361997226
1237,707,2013,0.5275312066574203
1238,707,2014,0.526005547850208
1239,707,2015,0.5256310679611651
1240,707,2016,0.5290429958391123
1241,707,2017,0.5284188626907074
1242,707,2018,0.5297780859916782
1243,707,2019,0.5226074895977808
1244,707,2020,0.5144105409153953
1245,707,2021,0.5123855755894591
1246,707,2022,0.5120804438280167
1247,707,2023,0.512871012482663
1248,727,2008,0.9226358579375268
1249,727,2009,0.9239623448866068
1250,727,2010,0.9294394522892597
1251,727,2011,0.9350449293966624
1252,727,2012,0.9306375695335901
1253,727,2013,0.9328198545143346
1254,727,2014,0.9316645271715875
1255,727,2015,0.9382969619169876
1256,727,2016,0.9469833119383826
1257,727,2017,0.9555412922550278
1258,727,2018,0.9681643132220796
1259,727,2019,0.9702610183996577
1260,727,2020,0.977492511767223
1261,727,2021,0.9832691484809585
1262,727,2022,0.997175866495507
1263,727,2023,1.010954214805306
1264,730,2008,1.2522599625568334
1265,730,2009,1.2599759293928858
1266,730,2010,1.2670500133725595
1267,730,2011,1.2746456271730409
1268,730,2012,1.2805028082374967
1269,730,2013,1.283859320673977
1270,730,2014,1.288352500668628
1271,730,2015,1.2944637603637337
1272,730,2016,1.3040920032094143
1273,730,2017,1.3120887937951324
1274,730,2018,1.3140545600427922
1275,730,2019,1.3092939288579835
1276,730,2020,1.307903182669163
1277,730,2021,1.3130516180797005
1278,730,2022,1.3237229205669965
1279,730,2023,1.3363332441829365
1280,741,2008,0.3595950704225352
1281,741,2009,0.3523767605633803
1282,741,2010,0.3529929577464789
1283,741,2011,0.3419894366197183
1284,741,2012,0.34234154929577465
1285,741,2013,0.33503521126760566
1286,741,2014,0.3316021126760563
1287,741,2015,0.3286091549295775
1288,741,2016,0.3265845070422535
1289,741,2017,0.3278169014084507
1290,741,2018,0.3274647887323944
1291,741,2019,0.32429577464788734
1292,741,2020,0.321919014084507
1293,741,2021,0.32411971830985914
1294,741,2022,0.32711267605633804
1295,741,2023,0.332306338028169
1296,740,2008,1.0275314594848877
1297,740,2009,1.0351170175232272
1298,740,2010,1.0405856756438905
1299,740,2011,1.045666235446313
1300,740,2012,1.0505468658120662
1301,740,2013,1.050758555803834
1302,740,2014,1.0541338351170175
1303,740,2015,1.0586381277196284
1304,740,2016,1.0669057979536634
1305,740,2017,1.0729977654945313
1306,740,2018,1.0822533223568152
1307,740,2019,1.094366694107962
1308,740,2020,1.1057979536634128
1309,740,2021,1.1229918852169822
1310,740,2022,1.1449841232506175
1311,740,2023,1.1689991767611432
1312,746,2008,1.3443031902134805
1313,746,2009,1.3585032381866156
1314,746,2010,1.3745022787239145
1315,746,2011,1.3844327176781002
1316,746,2012,1.3914128088270568
1317,746,2013,1.393475653633965
1318,746,2014,1.3954425521707843
1319,746,2015,1.40997841208923
1320,746,2016,1.4267450227872391
1321,746,2017,1.4488126649076518
1322,746,2018,1.4669704965219477
1323,746,2019,1.4865435356200527
1324,746,2020,1.5034300791556727
1325,746,2021,1.5205085152314703
1326,746,2022,1.5427680498920604
1327,746,2023,1.5624370352602543
1328,706,2008,0.5984488257465932
1329,706,2009,0.5989272252826906
1330,706,2010,0.6000579878225573
1331,706,2011,0.6050159466512033
1332,706,2012,0.6061902000579878
1333,706,2013,0.6073354595534938
1334,706,2014,0.6047984923166135
1335,706,2015,0.6038271962887793
1336,706,2016,0.6072629747752972
1337,706,2017,0.6091765729196869
1338,706,2018,0.615656712090461
1339,706,2019,0.6200057987822557
1340,706,2020,0.622818208176283
1341,706,2021,0.625804581037982
1342,706,2022,0.6320092780516091
1343,706,2023,0.640866917947231
1344,751,2008,6.3803804231673436
1345,751,2009,6.4675785424235945
1346,751,2010,6.553750801453302
1347,751,2011,6.645779012609532
1348,751,2012,6.722483436631759
1349,751,2013,6.819705065184869
1350,751,2014,6.922269715751229
1351,751,2015,6.9725582389399445
1352,751,2016,7.066445821756786
1353,751,2017,7.174268005984184
1354,751,2018,7.275507587091258
1355,751,2019,7.380465911519556
1356,751,2020,7.479867493054071
1357,751,2021,7.539025432784783
1358,751,2022,7.592177815772601
1359,751,2023,7.7269502030348365
1360,657,2008,0.6374082204223753
1361,657,2009,0.645045795170691
1362,657,2010,0.6475512830217243
1363,657,2011,0.6498523957308304
1364,657,2012,0.6536068427825297
1365,657,2013,0.6554764968586784
1366,657,2014,0.6573461509348271
1367,657,2015,0.6575126788282492
1368,657,2016,0.6630308076602831
1369,657,2017,0.6690333812731815
1370,657,2018,0.6716599803194307
1371,657,2019,0.673052759064416
1372,657,2020,0.6746423435016274
1373,657,2021,0.6754825524184391
1374,657,2022,0.6754219968208311
1375,657,2023,0.6808871395049579
1376,661,2008,0.7190416141235814
1377,661,2009,0.722156368221942
1378,661,2010,0.7194955863808323
1379,661,2011,0.7208196721311475
1380,661,2012,0.720718789407314
1381,661,2013,0.7219924337957124
1382,661,2014,0.7230517023959647
1383,661,2015,0.7250189155107188
1384,661,2016,0.727124842370744
1385,661,2017,0.7329760403530895
1386,661,2018,0.7366708701134931
1387,661,2019,0.7377553593947036
1388,661,2020,0.7388524590163934
1389,661,2021,0.7397477931904162
1390,661,2022,0.7383732660781841
1391,661,2023,0.7437326607818411
1392,756,2008,0.5438718473074301
1393,756,2009,0.5477300613496933
1394,756,2010,0.5495841854124063
1395,756,2011,0.5531152010906613
1396,756,2012,0.5543012951601909
1397,756,2013,0.5517109747784594
1398,756,2014,0.5535378323108384
1399,756,2015,0.5534832992501704
1400,756,2016,0.556209952283572
1401,756,2017,0.5587048398091343
1402,756,2018,0.5615678254942058
1403,756,2019,0.5628084526244036
1404,756,2020,0.5639945466939332
1405,756,2021,0.565412406271302
1406,756,2022,0.571029311520109
1407,756,2023,0.5799591002044989
1408,665,2008,0.4337067610062893
1409,665,2009,0.43132861635220127
1410,665,2010,0.4282625786163522
1411,665,2011,0.42362421383647797
1412,665,2012,0.4202830188679245
1413,665,2013,0.4171187106918239
1414,665,2014,0.4114190251572327
1415,665,2015,0.4059944968553459
1416,665,2016,0.4009237421383648
1417,665,2017,0.3988011006289308
1418,665,2018,0.39569575471698115
1419,665,2019,0.3930424528301887
1420,665,2020,0.3876179245283019
1421,665,2021,0.3853577044025157
1422,665,2022,0.38125
1423,665,2023,0.3807193396226415
1424,760,2008,0.3969262155729344
1425,760,2009,0.3998843930635838
1426,760,2010,0.39740904454267256
1427,760,2011,0.3948860931655899
1428,760,2012,0.3936892213532812
1429,760,2013,0.39122067324039445
1430,760,2014,0.3882556953417205
1431,760,2015,0.38790887453247197
1432,760,2016,0.38856851411084664
1433,760,2017,0.3877728663719823
1434,760,2018,0.3876572594355661
1435,760,2019,0.38714722883373004
1436,760,2020,0.38486229173750425
1437,760,2021,0.3820605236314179
1438,760,2022,0.382203332199932
1439,760,2023,0.3831893913634818
1440,779,2008,0.7075797483172374
1441,779,2009,0.7067603160667252
1442,779,2010,0.7043751829089845
1443,779,2011,0.7021656423763535
1444,779,2012,0.6968100673105063
1445,779,2013,0.6919959028387475
1446,779,2014,0.6868890839918057
1447,779,2015,0.6824846356453029
1448,779,2016,0.6824553702077846
1449,779,2017,0.6810067310506293
1450,779,2018,0.6818700614574188
1451,779,2019,0.6763827919227392
1452,779,2020,0.670924787825578
1453,779,2021,0.664691249634182
1454,779,2022,0.6596136962247585
1455,779,2023,0.6594820017559263
1456,671,2008,0.9208773354995938
1457,671,2009,0.9196588139723801
1458,671,2010,0.9132006498781479
1459,671,2011,0.9012997562956946
1460,671,2012,0.8975629569455728
1461,671,2013,0.8873273761169781
1462,671,2014,0.8746141348497157
1463,671,2015,0.8707961007311129
1464,671,2016,0.8722177091795288
1465,671,2017,0.8670593013809911
1466,671,2018,0.863931762794476
1467,671,2019,0.8587733549959382
1468,671,2020,0.8544272948822096
1469,671,2021,0.8451665312753859
1470,671,2022,0.8449228269699431
1471,671,2023,0.8445978878960195
1472,791,2008,0.6535879054581588
1473,791,2009,0.6588331322308184
1474,791,2010,0.6622897295762652
1475,791,2011,0.6636241039108525
1476,791,2012,0.665902477109802
1477,791,2013,0.6695507133224501
1478,791,2014,0.6706366669032578
1479,791,2015,0.674178437078572
1480,791,2016,0.6797927461139897
1481,791,2017,0.6847682589254028
1482,791,2018,0.6876499396692455
1483,791,2019,0.6892824189083683
1484,791,2020,0.6879196536304919
1485,791,2021,0.6862020015615019
1486,791,2022,0.6873944211796437
1487,791,2023,0.6936688196465327
1504,810,2008,0.5611277839203918
1505,810,2009,0.5648712683620282
1506,810,2010,0.5655346706681409
1507,810,2011,0.5652977412731006
1508,810,2012,0.5647449060180066
1509,810,2013,0.5623124308955931
1510,810,2014,0.5627389038066656
1511,810,2015,0.5651713789290791
1512,810,2016,0.5693729268677934
1513,810,2017,0.5706523456010109
1514,810,2018,0.5731953877744432
1515,810,2019,0.5744748065076607
1516,810,2020,0.5734323171694835
1517,810,2021,0.5714263149581424
1518,810,2022,0.5716948349391882
1519,810,2023,0.5771600063181171
1520,813,2008,0.9633251458397298
1521,813,2009,0.959855695425238
1522,813,2010,0.9519035922628185
1523,813,2011,0.9452870739944734
1524,813,2012,0.9388701258827141
1525,813,2013,0.932990482038686
1526,813,2014,0.9281240405280934
1527,813,2015,0.9268805649370586
1528,813,2016,0.9248695118206939
1529,813,2017,0.9265581823764201
1530,813,2018,0.9232422474669941
1531,813,2019,0.9208934602394842
1532,813,2020,0.915781393920786
1533,813,2021,0.9063401903592263
1534,813,2022,0.9038685907276635
1535,813,2023,0.9036536690205711
1536,860,2008,0.7242231333621062
1537,860,2009,0.7240181268882175
1538,860,2010,0.7207919723780751
1539,860,2011,0.7172313336210617
1540,860,2012,0.7140483383685801
1541,860,2013,0.7096137246439361
1542,860,2014,0.7057078118256366
1543,860,2015,0.7045209322399655
1544,860,2016,0.7057725507121277
1545,860,2017,0.7046504100129478
1546,860,2018,0.7041109192921882
1547,860,2019,0.6977233491583945
1548,860,2020,0.6957596029348295
1549,860,2021,0.6922205438066465
1550,860,2022,0.6888109624514458
1551,860,2023,0.6905265429434614
1552,849,2008,0.4508390232611966
1553,849,2009,0.45122092350422405
1554,849,2010,0.4504918412220808
1555,849,2011,0.448246730702465
1556,849,2012,0.4468348570767272
1557,849,2013,0.4466728387918065
1558,849,2014,0.4438259460710566
1559,849,2015,0.4431547274620993
1560,849,2016,0.445156810554334
1561,849,2017,0.4464876750376114
1562,849,2018,0.4471473209119315
1563,849,2019,0.44508737414651084
1564,849,2020,0.44351348223585235
1565,849,2021,0.4417891447749103
1566,849,2022,0.44192801759055667
1567,849,2023,0.4439763916213401
1568,825,2008,0.1662240663900415
1569,825,2009,0.1653941908713693
1570,825,2010,0.163402489626556
1571,825,2011,0.16174273858921162
1572,825,2012,0.1574273858921162
1573,825,2013,0.15261410788381743
1574,825,2014,0.15004149377593362
1575,825,2015,0.14896265560165975
1576,825,2016,0.1507883817427386
1577,825,2017,0.1487966804979253
1578,825,2018,0.1499585062240664
1579,825,2019,0.14987551867219917
1580,825,2020,0.14821576763485478
1581,825,2021,0.14639004149377594
1582,825,2022,0.14680497925311203
1583,825,2023,0.14846473029045643
1584,846,2008,0.5939997215648057
1585,846,2009,0.5953222887372964
1586,846,2010,0.5931226507030488
1587,846,2011,0.5926771543923152
1588,846,2012,0.5906863427537241
1589,846,2013,0.5862592231658081
1590,846,2014,0.5860086314910204
1591,846,2015,0.586579423639148
1592,846,2016,0.5865376583600167
1593,846,2017,0.5856327439788389
1594,846,2018,0.5864541278017541
1595,846,2019,0.5854796046220242
1596,846,2020,0.5819295558958653
1597,846,2021,0.5782542113323124
1598,846,2022,0.5800083530558262
1599,846,2023,0.5827509397187804
1600,773,2008,0.602920305676856
1601,773,2009,0.6031113537117904
1602,773,2010,0.5958788209606987
1603,773,2011,0.5895196506550219
1604,773,2012,0.5860807860262008
1605,773,2013,0.5783024017467249
1606,773,2014,0.5732259825327511
1607,773,2015,0.5681222707423581
1608,773,2016,0.5630185589519651
1609,773,2017,0.5640010917030568
1610,773,2018,0.5598799126637555
1611,773,2019,0.5568504366812227
1612,773,2020,0.5525927947598254
1613,773,2021,0.5476528384279477
1614,773,2022,0.5477074235807861
1615,773,2023,0.5438591703056769
1616,840,2008,0.46278770320296153
1617,840,2009,0.46515370996298083
1618,840,2010,0.4643811363270562
1619,840,2011,0.4657975213262514
1620,840,2012,0.46533075808788027
1621,840,2013,0.4646064703042009
1622,840,2014,0.46344760985031386
1623,840,2015,0.4644938033156285
1624,840,2016,0.4691614356993401
1625,840,2017,0.473056494447127
1626,840,2018,0.48007403830677614
1627,840,2019,0.4815065185900531
1628,840,2020,0.4846772895541606
1629,840,2021,0.49119587960727507
1630,840,2022,0.49325607596974086
1631,840,2023,0.49747304039916307
1632,787,2008,0.42414563739640565
1633,787,2009,0.4245832945339417
1634,787,2010,0.42179905019089303
1635,787,2011,0.42038364838439335
1636,787,2012,0.41817673898873264
1637,787,2013,0.41432163143681905
1638,787,2014,0.4118633019834249
1639,787,2015,0.41044790017692523
1640,787,2016,0.409637768879784
1641,787,2017,0.4081013129714126
1642,787,2018,0.4070770090324984
1643,787,2019,0.40655554520905113
1644,787,2020,0.4043486358133904
1645,787,2021,0.4018996182139864
1646,787,2022,0.40123847658068723
1647,787,2023,0.40397616165378525
1664,851,2008,1.7157112713205556
1665,851,2009,1.7257956743449974
1666,851,2010,1.7357657816071743
1667,851,2011,1.751257253384913
1668,851,2012,1.7684367856514858
1669,851,2013,1.7887110954809213
1670,851,2014,1.8094689643045543
1671,851,2015,1.8270177598030597
1672,851,2016,1.8490944258835942
1673,851,2017,1.8633462282398452
1674,851,2018,1.8775980305960964
1675,851,2019,1.8930191665201337
1676,851,2020,1.908519430279585
1677,851,2021,1.9297256901705644
1678,851,2022,1.943748901002286
1679,851,2023,1.9568401617724636
1686,101,2005,58.0094688221709
1687,101,2006,57.87043879907621
1688,101,2007,58.16385681293303
1689,147,2005,105.61609195402299
1690,147,2006,105.58045977011494
1691,147,2007,106.01609195402298
1692,155,2005,7.189071038251366
1693,155,2006,7.187978142076503
1694,155,2007,7.204371584699453
1695,185,2005,5.988199697428139
1696,185,2006,6.007261724659607
1697,185,2007,6.016944024205749
1698,165,2005,12.131896551724138
1699,165,2006,12.005603448275862
1700,165,2007,11.9
1701,151,2005,13.752647058823529
1702,151,2006,13.721764705882354
1703,151,2007,13.798235294117648
1704,153,2005,16.434761904761906
1705,153,2006,16.308095238095238
1706,153,2007,16.165238095238095
1707,157,2005,26.949609375
1708,157,2006,26.805859375
1709,157,2007,26.825
1710,159,2005,24.902409638554218
1711,159,2006,24.79317269076305
1712,159,2007,24.877510040160644
1713,161,2005,15.62781954887218
1714,161,2006,15.563157894736841
1715,161,2007,15.502255639097744
1716,163,2005,22.451239669421486
1717,163,2006,22.33305785123967
1718,163,2007,22.101652892561983
1719,167,2005,21.77423580786026
1720,167,2006,21.73013100436681
1721,167,2007,21.581659388646287
1722,169,2005,5.817752234993614
1723,169,2006,5.907662835249043
1724,169,2007,5.962068965517242
1725,183,2005,7.799245283018868
1726,183,2006,7.856603773584905
1727,183,2007,7.816981132075472
1728,173,2005,13.30180412371134
1729,173,2006,13.378350515463918
1730,173,2007,13.337886597938144
1731,175,2005,29.763934426229508
1732,175,2006,29.92295081967213
1733,175,2007,29.708196721311474
1734,187,2005,12.905263157894737
1735,187,2006,12.873684210526315
1736,187,2007,12.784210526315789
1737,201,2005,3.4804154302670622
1738,201,2006,3.4863501483679524
1739,201,2007,3.502818991097923
1740,240,2005,3.11890389197776
1741,240,2006,3.172994440031771
1742,240,2007,3.181652104845115
1743,210,2005,3.4957181088314004
1744,210,2006,3.490722569134701
1745,210,2007,3.506066012488849
1746,250,2005,1.7274044265593562
1747,250,2006,1.7586317907444668
1748,250,2007,1.7670020120724346
1749,190,2005,6.568838028169014
1750,190,2006,6.579225352112676
1751,190,2007,6.623943661971831
1752,270,2005,1.4457602862254024
1753,270,2006,1.4440071556350627
1754,270,2007,1.4457602862254024
1755,260,2005,2.481788351107465
1756,260,2006,2.5031173092698933
1757,260,2007,2.5264971287940936
1758,217,2005,5.155172413793103
1759,217,2006,5.158957106812448
1760,217,2007,5.131370899915896
1761,219,2005,2.086697892271663
1762,219,2006,2.1365807962529275
1763,219,2007,2.1711475409836067
1764,223,2005,7.7610223642172524
1765,223,2006,7.769009584664537
1766,223,2007,7.773801916932907
1767,230,2005,7.315279672578445
1768,230,2006,7.399863574351978
1769,230,2007,7.354706684856753
1770,400,2005,0.7366927260367098
1771,400,2006,0.7349592114208022
1772,400,2007,0.7314751869476547
1779,253,2005,7.892549668874172
1780,253,2006,7.941721854304636
1781,253,2007,7.892715231788079
1782,259,2005,2.1355365474339036
1783,259,2006,2.1663297045101086
1784,259,2007,2.1888802488335926
1785,350,2005,1.0871075763917957
1786,350,2006,1.093846797823357
1787,350,2007,1.1034323984930934
1788,265,2005,3.7507554296506136
1789,265,2006,3.7986307837582625
1790,265,2007,3.8251652502360716
1791,269,2005,5.162842892768079
1792,269,2006,5.206234413965087
1793,269,2007,5.2
1794,320,2005,0.8474438132872314
1795,320,2006,0.8560385280316127
1796,320,2007,0.8673005680414917
1797,376,2005,0.7054519209415945
1798,376,2006,0.7045414168332222
1799,376,2007,0.7055296469020653
1800,316,2005,1.154036729036729
1801,316,2006,1.1715349965349966
1802,316,2007,1.185914760914761
1803,326,2005,0.8464627151051626
1804,326,2006,0.8507561272379628
1805,326,2007,0.8582826351468799
1806,360,2005,0.5582778467441598
1807,360,2006,0.5526125719444758
1808,360,2007,0.548854531091299
1809,370,2005,1.1590721040189125
1810,370,2006,1.17145390070922
1811,370,2007,1.1839982269503546
1812,306,2005,0.9245693306975431
1813,306,2006,0.9288336628071167
1814,306,2007,0.9313753177068624
1815,329,2005,1.0461486257210724
1816,329,2006,1.055106888361045
1817,329,2007,1.06779776043434
1818,330,2005,1.3412852112676057
1819,330,2006,1.3471654929577466
1820,330,2007,1.3547359154929577
1821,340,2005,0.9185089141004862
1822,340,2006,0.9298541329011345
1823,340,2007,0.9386061588330632
1824,336,2005,0.8706917233106757
1825,336,2006,0.8730107956817273
1826,336,2007,0.8727708916433427
1827,390,2005,0.7474899112187248
1828,390,2006,0.7491525423728813
1829,390,2007,0.750363196125908
1833,420,2005,0.8054936461388075
1834,420,2006,0.8087781036168133
1835,420,2007,0.8175171065493646
1836,430,2005,0.8068149550402272
1837,430,2006,0.8068149550402272
1838,430,2007,0.8141978230004733
1839,440,2005,1.120495386109762
1840,440,2006,1.1286546867411364
1841,440,2007,1.1424963574550753
1842,482,2005,0.491804979253112
1843,482,2006,0.48824343015214383
1844,482,2007,0.48191562932226834
1845,410,2005,1.2081967213114755
1846,410,2006,1.2183673469387755
1847,410,2007,1.2302107728337237
1851,450,2005,1.1202673410404624
1852,450,2006,1.1274566473988439
1853,450,2007,1.1382947976878612
1854,461,2005,6.082166230366492
1855,461,2006,6.105857329842932
1856,461,2007,6.110765706806283
1857,479,2005,1.4047664901299952
1858,479,2006,1.408425613866153
1859,479,2007,1.4134328358208956
1860,492,2005,0.7701442841287458
1861,492,2006,0.7628190899001109
1862,492,2007,0.7540510543840178
1863,530,2005,0.48271010736764164
1864,530,2006,0.4837652721214365
1865,530,2007,0.4837652721214365
1866,561,2005,1.4424977990189913
1867,561,2006,1.4384731480316941
1868,561,2007,1.4356433153062509
1869,563,2005,0.5470486111111111
1870,563,2006,0.5456597222222223
1871,563,2007,0.5503472222222222
1872,607,2005,3.678667664670659
1873,607,2006,3.6865269461077843
1874,607,2007,3.687125748502994
1875,510,2005,0.6905117531831537
1876,510,2006,0.6884059745347698
1877,510,2007,0.6889691478942214
1878,621,2005,1.42367637326274
1879,621,2006,1.4306088682991396
