,erhvervsindkomst,formueindkomst,anden_personlig_indkomst,muni_code,year
1072,268660,13413,7308,201,2009
1073,282455,17163,4872,201,2010
1074,283626,13871,10958,201,2011
1075,283146,16514,9423,201,2012
1076,285257,17315,1537,201,2013
1077,290232,18189,1524,201,2014
1078,295193,23895,1510,201,2015
1079,299851,20877,1605,201,2016
1080,303940,24256,1623,201,2017
1081,313013,18585,1937,201,2018
1082,324701,25488,1882,201,2019
1083,333197,24158,2722,201,2020
1084,347315,30816,1938,201,2021
1085,127671,5343,8654,210,1987
1086,134611,5771,9283,210,1988
1087,136509,6297,10300,210,1989
1088,139755,6892,11779,210,1990
1089,141904,7014,6237,210,1991
1090,142711,7438,5567,210,1992
1091,141921,6612,5896,210,1993
1092,149541,6611,2850,210,1994
1093,155649,7217,2402,210,1995
1094,161880,9449,2273,210,1996
1095,168841,27883,2816,210,1997
1096,178418,11347,2940,210,1998
1097,185874,14354,2764,210,1999
1098,195530,18420,2347,210,2000
1099,204596,14354,2660,210,2001
1100,209049,14362,3465,210,2002
1101,209063,12824,3439,210,2003
1102,213653,12271,3541,210,2004
1103,222786,14563,3618,210,2005
1104,226855,20423,3071,210,2006
1105,236514,26842,3889,210,2007
1106,242377,16718,4136,210,2008
1107,236915,11944,3516,210,2009
1108,245335,17185,3012,210,2010
1109,244593,16247,4295,210,2011
1110,248498,17822,3315,210,2012
1111,247082,22263,4586,210,2013
1112,250837,23032,3341,210,2014
1113,256086,28823,9637,210,2015
1114,259130,30357,4335,210,2016
1115,258881,33366,1899,210,2017
1116,264348,33463,2240,210,2018
1117,271852,41914,2366,210,2019
1118,282155,37868,3005,210,2020
1119,299822,48600,3794,210,2021
1120,102845,5423,9176,217,1987
1121,107969,5601,10029,217,1988
1122,109758,5624,10930,217,1989
1123,111723,6179,11986,217,1990
1124,112882,6542,6102,217,1991
1125,113576,7221,5388,217,1992
1126,113348,6541,5712,217,1993
1127,119066,5701,2522,217,1994
1128,125334,5704,2450,217,1995
1129,130490,7049,2225,217,1996
1130,136709,6817,2857,217,1997
1131,145411,8330,3199,217,1998
1132,153769,9129,2830,217,1999
1133,161527,12060,3034,217,2000
1134,168115,9724,2878,217,2001
1135,172392,26829,3676,217,2002
1136,174420,9501,3913,217,2003
1137,179166,8465,3781,217,2004
1138,187478,11305,3190,217,2005
1139,192599,13915,3143,217,2006
1140,201078,24356,3353,217,2007
1141,206233,12821,3411,217,2008
1142,201780,9061,2876,217,2009
1143,207077,11395,2916,217,2010
1144,207490,10315,3110,217,2011
1145,209826,12290,1755,217,2012
1146,213910,16275,1590,217,2013
1147,216829,17073,1674,217,2014
1148,224659,17054,2002,217,2015
1149,225417,18106,2316,217,2016
1150,229924,19290,2092,217,2017
1151,236644,17730,2046,217,2018
1152,243058,22429,2272,217,2019
1153,254400,26216,3235,217,2020
1154,268450,30689,2726,217,2021
1155,117892,5394,7866,219,1987
1156,124606,5726,7661,219,1988
1157,127464,5955,8608,219,1989
1158,130424,6007,9392,219,1990
1159,132728,6200,4765,219,1991
1160,134322,6341,4270,219,1992
1161,135063,5869,4088,219,1993
1162,142604,6192,1501,219,1994
1163,147040,6175,1320,219,1995
1164,154142,5669,1452,219,1996
1165,161493,7679,2289,219,1997
1166,170372,7420,2515,219,1998
1167,178665,8205,2219,219,1999
1168,186824,9889,1996,219,2000
1169,195923,8777,2552,219,2001
1170,202395,8095,2443,219,2002
1171,201791,7697,2325,219,2003
1172,207754,8173,2491,219,2004
1173,216445,10703,2359,219,2005
1174,221399,12875,2185,219,2006
1175,231088,14604,2122,219,2007
1176,235237,11592,2456,219,2008
1177,231285,9075,1985,219,2009
1178,239172,10296,2293,219,2010
1179,238871,8882,2277,219,2011
1180,242784,10562,1536,219,2012
1181,244149,10943,1381,219,2013
1182,244894,13832,1407,219,2014
1183,254499,21187,1443,219,2015
1184,257740,16116,1607,219,2016
1185,261436,15849,1723,219,2017
1186,267265,13931,1622,219,2018
1187,274828,15722,1700,219,2019
1188,287495,16917,2951,219,2020
1189,298909,22076,2400,219,2021
1190,151204,15467,22119,223,1987
1191,156117,14917,23873,223,1988
1192,156235,14688,23198,223,1989
1193,160725,17228,33307,223,1990
1194,164841,18525,13485,223,1991
1195,164386,21105,13151,223,1992
1196,179279,19673,13687,223,1993
1197,183593,15104,5571,223,1994
1198,201412,21994,5551,223,1995
1199,202818,20471,4562,223,1996
1200,210845,30974,6374,223,1997
1201,224237,30918,5855,223,1998
1202,238239,30720,6270,223,1999
1203,252209,42435,5626,223,2000
1204,258041,35898,6531,223,2001
1205,259189,33051,6825,223,2002
1206,258110,27572,6091,223,2003
1207,264794,32408,5616,223,2004
1208,280062,36409,4789,223,2005
1209,293192,48162,5696,223,2006
1210,297521,72269,7515,223,2007
1211,294779,36611,5886,223,2008
1212,282029,28346,5909,223,2009
1213,311208,51134,9151,223,2010
1214,311987,43779,5215,223,2011
1215,314508,49133,3456,223,2012
1216,319499,55052,2944,223,2013
1217,326930,51532,3001,223,2014
1218,336587,58290,5958,223,2015
1219,341867,58756,2652,223,2016
1220,349548,73963,5003,223,2017
1221,352061,57135,3209,223,2018
1222,358764,78598,3197,223,2019
1223,379248,95829,3974,223,2020
1224,393716,87153,4162,223,2021
1225,142871,13517,21592,230,1987
1226,150026,15746,23284,230,1988
1227,154178,16046,24825,230,1989
1228,158200,18297,28884,230,1990
1229,159095,19022,15686,230,1991
1230,162025,22290,14933,230,1992
1231,163235,18573,15153,230,1993
1232,175653,6649,5460,230,1994
1233,181788,20629,4672,230,1995
1234,190551,24156,4213,230,1996
1235,198194,28968,6120,230,1997
1236,209923,33663,6336,230,1998
1237,221365,34827,5331,230,1999
1238,236383,51931,5124,230,2000
1239,242936,46043,5225,230,2001
1240,246835,46210,6034,230,2002
1241,249317,40589,5105,230,2003
1242,258737,45921,4690,230,2004
1243,271735,52162,4652,230,2005
1244,281235,69163,4396,230,2006
1245,288139,70354,4654,230,2007
1246,292781,42243,5534,230,2008
1247,280175,31057,3701,230,2009
1248,310551,51922,5900,230,2010
1249,311202,47442,4641,230,2011
1250,320277,59902,3553,230,2012
1251,331512,68702,2365,230,2013
1252,345470,73756,2897,230,2014
1253,354529,80933,3002,230,2015
1254,363296,89619,2722,230,2016
1255,369945,86915,2651,230,2017
1256,372549,86867,3068,230,2018
1257,383902,128778,3586,230,2019
1258,408158,110477,3841,230,2020
1259,430050,135389,3865,230,2021
1260,140827,2826,4290,240,1987
1261,148079,2980,5019,240,1988
1262,151342,3054,5213,240,1989
1263,155356,3320,6643,240,1990
1264,159341,3272,4052,240,1991
1265,161314,3785,3275,240,1992
1266,161292,3474,3600,240,1993
1267,168842,3280,1557,240,1994
1268,176357,4015,1584,240,1995
1269,183016,4366,887,240,1996
1270,190565,5839,1491,240,1997
1271,199801,6199,1734,240,1998
1272,208914,6673,1468,240,1999
1273,217820,7802,1092,240,2000
1274,227648,9912,1666,240,2001
1275,230659,6618,2025,240,2002
1276,229975,6649,2329,240,2003
1277,233513,7230,2127,240,2004
1278,240862,8963,1765,240,2005
1279,246265,12078,1713,240,2006
1280,253545,14122,1786,240,2007
1281,259314,10443,2051,240,2008
1282,253929,6696,1688,240,2009
1283,261129,8783,1824,240,2010
1284,259323,7198,1725,240,2011
1285,261460,7900,1358,240,2012
1286,264672,9680,1174,240,2013
1287,265009,9600,1229,240,2014
1288,271263,13960,1287,240,2015
1289,275490,11276,1456,240,2016
1290,279784,16513,1529,240,2017
1291,285246,18716,1592,240,2018
1292,292502,12561,1605,240,2019
1293,306436,14426,2189,240,2020
1294,316531,26338,1956,240,2021
1295,112199,4397,4980,250,1987
1296,116610,4575,5694,250,1988
1297,119863,4560,5617,250,1989
1298,122359,4364,6948,250,1990
1299,124577,4887,3268,250,1991
1300,125984,4472,3162,250,1992
1301,125346,4662,3443,250,1993
1302,131480,4134,1460,250,1994
1303,137613,4893,1425,250,1995
1304,143558,6410,728,250,1996
1305,149462,9358,1706,250,1997
1306,156389,5337,1854,250,1998
1307,165557,6103,1785,250,1999
1308,173150,6600,1122,250,2000
1309,181262,8174,1550,250,2001
1310,185298,6263,1848,250,2002
1311,185726,5974,2037,250,2003
1312,189853,6309,1813,250,2004
1313,196255,7814,2354,250,2005
1314,204143,10594,1852,250,2006
1315,210256,15564,1609,250,2007
1316,214888,9201,1863,250,2008
1317,209961,8300,1480,250,2009
1318,210862,7668,1711,250,2010
1319,211751,7584,1587,250,2011
1320,214123,7321,1329,250,2012
1321,215847,8193,1186,250,2013
1322,217492,8153,1247,250,2014
1323,221403,10431,1401,250,2015
1324,225806,10585,1272,250,2016
1325,229707,9826,1360,250,2017
1326,234633,10337,1575,250,2018
1327,240144,10236,1539,250,2019
1328,252310,12569,2921,250,2020
1329,261612,13899,2320,250,2021
1330,134726,3462,5676,253,1987
1331,140285,3646,6167,253,1988
1332,142923,3720,6447,253,1989
1333,146081,3914,7569,253,1990
1334,147907,4063,4459,253,1991
1335,149776,4310,4046,253,1992
1336,149464,4118,4858,253,1993
1337,155738,3800,1661,253,1994
1338,161984,4253,1557,253,1995
1339,168010,4977,972,253,1996
1340,175435,5977,1573,253,1997
1341,184216,6091,1903,253,1998
1342,191711,5841,1272,253,1999
1343,200584,7741,916,253,2000
1344,208086,7507,1470,253,2001
1345,210229,7104,2026,253,2002
1346,208761,7300,2027,253,2003
1347,212604,7630,1811,253,2004
1348,218848,8988,1640,253,2005
1349,223731,11577,1895,253,2006
1350,230170,22107,1779,253,2007
1351,234408,14005,1832,253,2008
1352,227235,8911,1752,253,2009
1353,230979,9271,1893,253,2010
1354,231798,8966,1908,253,2011
1355,233410,9109,1337,253,2012
1356,234556,10451,1284,253,2013
1357,235568,12801,1467,253,2014
1358,239687,12921,1539,253,2015
1359,244582,11942,1502,253,2016
1360,249607,13171,1596,253,2017
1361,255473,10966,1708,253,2018
1362,259470,12521,1847,253,2019
1363,270428,16596,2519,253,2020
1364,280916,18147,2177,253,2021
1365,107392,3314,4319,259,1987
1366,112230,3671,4398,259,1988
1367,116300,3735,5354,259,1989
1368,119527,3905,5631,259,1990
1369,121832,3961,3275,259,1991
1370,123379,3822,3128,259,1992
1371,123322,3739,3620,259,1993
1372,130740,3643,1185,259,1994
1373,136514,3677,1223,259,1995
1374,143225,3791,842,259,1996
1375,149666,4915,1359,259,1997
1376,157402,4801,1858,259,1998
1377,164870,5332,1244,259,1999
1378,172626,6592,915,259,2000
1379,179441,5805,1243,259,2001
1380,182823,5344,1768,259,2002
1381,184479,5167,1911,259,2003
1382,188642,5554,1837,259,2004
1383,194206,6146,1646,259,2005
1384,201658,7884,1898,259,2006
1385,209926,10468,1826,259,2007
1386,212010,8291,2205,259,2008
1387,205936,5916,1583,259,2009
1388,207302,6370,1835,259,2010
1389,209086,6152,1622,259,2011
1390,211142,7141,1530,259,2012
1391,212172,6720,1400,259,2013
1392,215976,8699,1599,259,2014
1393,221291,9033,1577,259,2015
1394,224107,9289,1836,259,2016
1395,230286,10275,1581,259,2017
1396,237179,9188,1698,259,2018
1397,243295,10027,1718,259,2019
1398,260678,11512,2597,259,2020
1399,268676,12901,1756,259,2021
1400,98483,3610,4979,260,1987
1401,101746,3798,5185,260,1988
1402,104342,3837,5230,260,1989
1403,105716,4158,6867,260,1990
1404,106335,4181,2948,260,1991
1405,107524,3789,2671,260,1992
1406,105950,3843,2368,260,1993
1407,110962,3342,1016,260,1994
1408,116334,3482,1607,260,1995
1409,121975,3826,985,260,1996
1410,127933,4260,1576,260,1997
1411,134890,4043,2108,260,1998
1412,142464,4370,1437,260,1999
1413,149778,4657,1236,260,2000
1414,155269,4596,1747,260,2001
1415,158985,4335,2177,260,2002
1416,157683,4339,2201,260,2003
1417,162512,4325,1966,260,2004
1418,169621,5946,1878,260,2005
1419,176698,7237,2033,260,2006
1420,183167,9341,1896,260,2007
1421,188466,6421,2480,260,2008
1422,182341,4922,1762,260,2009
1423,181400,5942,1928,260,2010
1424,183143,5136,2006,260,2011
1425,184803,6368,1608,260,2012
1426,187801,6531,1718,260,2013
1427,190629,6988,1643,260,2014
1428,194712,8354,2007,260,2015
1429,198135,7157,1845,260,2016
1430,202779,9204,1861,260,2017
1431,208749,6997,2063,260,2018
1432,210158,8052,2679,260,2019
1433,220875,9900,3079,260,2020
1434,227833,11097,2367,260,2021
1435,114750,4189,7272,265,1987
1436,119759,4616,7703,265,1988
1437,123113,4616,7651,265,1989
1438,126530,5271,8756,265,1990
1439,128886,5555,3983,265,1991
1440,131560,5897,3486,265,1992
1441,132696,5294,3620,265,1993
1442,140569,4047,1541,265,1994
1443,146515,5208,1478,265,1995
1444,152085,5553,1343,265,1996
1445,159546,6349,1807,265,1997
1446,167876,7023,2007,265,1998
1447,176258,7013,1680,265,1999
1448,183657,9110,1071,265,2000
1449,192696,8384,1628,265,2001
1450,195718,7897,2108,265,2002
1451,196219,7609,2164,265,2003
1452,201087,8098,1948,265,2004
1453,206353,11216,1880,265,2005
1454,215499,13151,1879,265,2006
1455,223690,17042,1918,265,2007
1456,228864,12202,2076,265,2008
1457,225105,10606,1777,265,2009
1458,230479,10565,1920,265,2010
1459,230721,10743,2077,265,2011
1460,234624,10920,1689,265,2012
1461,235767,10559,1320,265,2013
1462,239583,13746,1643,265,2014
1463,244582,13520,4370,265,2015
1464,251398,13823,1530,265,2016
1465,258635,13410,1641,265,2017
1466,264999,13865,1685,265,2018
1467,272365,18461,1928,265,2019
1468,285927,20638,2403,265,2020
1469,298472,23478,2335,265,2021
1470,134417,4006,6083,269,1987
1471,139727,4001,6324,269,1988
1472,145394,3802,7299,269,1989
1473,149500,4219,7039,269,1990
1474,151831,4799,6157,269,1991
1475,152875,5400,4201,269,1992
1476,154536,6100,10862,269,1993
1477,163353,4691,2460,269,1994
1478,171730,4765,1728,269,1995
1479,179398,5879,1130,269,1996
1480,184741,7001,1834,269,1997
1481,194712,7426,2277,269,1998
1482,203565,7222,1941,269,1999
1483,213543,9181,1477,269,2000
1484,222044,9876,1644,269,2001
1485,225846,8445,2180,269,2002
1486,225183,10249,2579,269,2003
1487,229718,8928,2501,269,2004
1488,236337,12233,2171,269,2005
1489,244714,13787,2106,269,2006
1490,253366,21264,5416,269,2007
1491,251429,18445,2023,269,2008
1492,242326,10155,1790,269,2009
1493,249735,11801,2085,269,2010
1494,249291,14270,1864,269,2011
1495,253043,15454,1377,269,2012
1496,253727,12595,1266,269,2013
1497,259814,18627,1735,269,2014
1498,267366,21162,1357,269,2015
1499,274362,20961,5045,269,2016
1500,279037,21911,1605,269,2017
1501,283793,21177,2422,269,2018
1502,292664,34737,2244,269,2019
1503,310099,28322,2524,269,2020
1504,325089,29006,1933,269,2021
1505,109742,5099,6299,270,1987
1506,113803,5569,7265,270,1988
1507,115886,5473,7257,270,1989
1508,118666,5500,8637,270,1990
1509,118321,5728,4305,270,1991
1510,119454,5844,4074,270,1992
1511,119477,5336,4176,270,1993
1512,127161,5240,3171,270,1994
1513,132966,5069,2767,270,1995
1514,138697,5178,2767,270,1996
1515,146061,5774,3114,270,1997
1516,154345,6621,2731,270,1998
1517,162215,6552,1785,270,1999
1518,168094,8172,1463,270,2000
1519,175693,8893,2033,270,2001
1520,178842,7484,2465,270,2002
1521,178179,7996,3146,270,2003
1522,183290,7824,2711,270,2004
1523,189665,10683,2628,270,2005
1524,197743,12327,2432,270,2006
1525,206882,16741,2526,270,2007
1526,206456,11979,2497,270,2008
1527,201108,7824,1906,270,2009
1528,204084,8764,2182,270,2010
1529,204974,8791,2393,270,2011
1530,210388,10956,1798,270,2012
1531,207766,10289,1674,270,2013
1532,211096,13325,1811,270,2014
1533,212378,14617,1965,270,2015
1534,215800,13024,1939,270,2016
1535,219768,13756,1925,270,2017
1536,224352,11478,2041,270,2018
1537,227639,14161,2272,270,2019
1538,241338,17112,3373,270,2020
1539,249598,20471,3038,270,2021
1540,82951,4380,5985,306,1987
1541,86174,4456,5813,306,1988
1542,87881,4509,6633,306,1989
1543,89802,4508,7313,306,1990
1544,92295,4670,2959,306,1991
1545,93692,4531,2899,306,1992
1546,92862,4646,3141,306,1993
1547,98770,4250,1519,306,1994
1548,102584,4082,1377,306,1995
1549,107231,4236,1025,306,1996
1550,112775,4926,1515,306,1997
1551,117316,4590,1804,306,1998
1552,122052,4650,1523,306,1999
1553,126940,5469,1061,306,2000
1554,130511,5397,1516,306,2001
1555,133727,4741,1936,306,2002
1556,135463,5676,2072,306,2003
1557,139764,5122,1823,306,2004
1558,144308,6540,1947,306,2005
1559,149600,9304,1995,306,2006
1560,158664,10898,2111,306,2007
1561,156552,7382,1853,306,2008
1562,150988,6256,1743,306,2009
1563,152487,6213,1767,306,2010
1564,153709,5048,1898,306,2011
1565,155712,5496,1594,306,2012
1566,156724,5934,1506,306,2013
1567,158904,6332,1479,306,2014
1568,160654,7614,1734,306,2015
1569,163219,6564,1755,306,2016
1570,166831,7186,1795,306,2017
1571,170183,6383,1857,306,2018
1572,175914,6699,1881,306,2019
1573,187008,6668,2933,306,2020
1574,193243,10034,2258,306,2021
1575,94119,3882,5148,316,1987
1576,98673,4248,5745,316,1988
1577,101277,4311,5990,316,1989
1578,103850,4324,6380,316,1990
1579,105880,4496,2752,316,1991
1580,107934,4318,2908,316,1992
1581,107907,4279,2722,316,1993
1582,114756,4032,1218,316,1994
1583,120626,3940,1586,316,1995
1584,126280,4118,980,316,1996
1585,132775,4317,1516,316,1997
1586,140134,4870,1785,316,1998
1587,147323,5140,1192,316,1999
1588,154643,5382,1010,316,2000
1589,161629,5480,1328,316,2001
1590,166220,4613,1834,316,2002
1591,167939,4935,2020,316,2003
1592,173459,5004,1822,316,2004
1593,180075,6513,1714,316,2005
1594,186518,9095,1885,316,2006
1595,194374,11363,1759,316,2007
1596,197161,7962,1918,316,2008
1597,193653,5359,1833,316,2009
1598,195609,6791,2022,316,2010
1599,196356,6804,1821,316,2011
1600,199905,6747,1546,316,2012
1601,201826,6936,1510,316,2013
1602,203302,7462,1606,316,2014
1603,207663,10208,1770,316,2015
1604,210391,8784,1757,316,2016
1605,216759,8354,1751,316,2017
1606,221602,8269,1653,316,2018
1607,228690,8947,1759,316,2019
1608,240879,10129,2494,316,2020
1609,253928,13189,2036,316,2021
1610,92022,4518,5757,320,1987
1611,96063,4726,5732,320,1988
1612,100012,4728,6167,320,1989
1613,102528,4895,8069,320,1990
1614,105044,4831,3004,320,1991
1615,107663,4519,2714,320,1992
1616,107495,4396,3085,320,1993
1617,113459,3861,1624,320,1994
1618,120392,3330,1611,320,1995
1619,126884,3650,957,320,1996
1620,132997,4628,1431,320,1997
1621,139577,5962,1998,320,1998
1622,146890,4462,1256,320,1999
1623,153778,4961,788,320,2000
1624,161413,5130,1347,320,2001
1625,165011,4490,1785,320,2002
1626,165377,5111,1934,320,2003
1627,170185,4398,1839,320,2004
1628,176907,5643,1619,320,2005
1629,185552,7171,1682,320,2006
1630,196493,8769,1656,320,2007
1631,196599,7550,1666,320,2008
1632,189769,4782,1602,320,2009
1633,190372,6531,1647,320,2010
1634,192055,4878,1576,320,2011
1635,192447,9092,1446,320,2012
1636,193501,6304,1494,320,2013
1637,196094,6616,1529,320,2014
1638,200006,7007,1599,320,2015
1639,202521,8214,1535,320,2016
1640,207700,8056,1695,320,2017
1641,214526,6006,1778,320,2018
1642,219067,8097,1938,320,2019
1643,231109,10409,2655,320,2020
1644,239506,9635,2171,320,2021
1645,86361,4227,5118,326,1987
1646,89953,4604,4875,326,1988
1647,92758,4605,5697,326,1989
1648,95922,4796,6363,326,1990
1649,98035,4990,2923,326,1991
1650,101613,4710,2906,326,1992
1651,102284,4869,2400,326,1993
1652,109316,4153,1233,326,1994
1653,114687,4170,1270,326,1995
1654,117290,4507,1065,326,1996
1655,123283,5215,1518,326,1997
1656,128827,5407,1971,326,1998
1657,134249,4753,1487,326,1999
1658,141841,5399,1237,326,2000
1659,148579,5859,1378,326,2001
1660,151530,5099,1832,326,2002
1661,151763,5133,1975,326,2003
1662,157243,5114,2124,326,2004
1663,163179,5874,2191,326,2005
1664,173104,7614,1866,326,2006
1665,180557,10569,2202,326,2007
1666,178411,6458,2327,326,2008
1667,175835,5614,2085,326,2009
1668,175613,6770,2268,326,2010
1669,176317,6338,2624,326,2011
1670,178476,7050,1412,326,2012
1671,181130,7142,1408,326,2013
1672,182438,8402,1479,326,2014
1673,186568,12470,1937,326,2015
1674,191832,9768,1982,326,2016
1675,194755,8961,1689,326,2017
1676,198880,7891,1883,326,2018
1677,203783,9653,1837,326,2019
1678,213456,8186,2747,326,2020
1679,224027,11181,2186,326,2021
1680,98071,4504,4544,329,1987
1681,102544,4805,5111,329,1988
1682,105296,4820,5546,329,1989
1683,107930,4885,6857,329,1990
1684,110332,4784,2518,329,1991
1685,110442,5175,2203,329,1992
1686,109975,4515,2612,329,1993
1687,117525,4715,1039,329,1994
1688,124453,5957,1331,329,1995
1689,131150,4122,841,329,1996
1690,137118,4946,1329,329,1997
1691,144559,5013,1796,329,1998
1692,152051,6952,1091,329,1999
1693,159813,6142,753,329,2000
1694,165034,7238,986,329,2001
1695,169093,5507,1467,329,2002
1696,171089,5559,1577,329,2003
1697,177514,5818,1499,329,2004
1698,184709,6202,1602,329,2005
1699,193946,8509,1560,329,2006
1700,201770,11440,1448,329,2007
1701,204830,9649,1535,329,2008
1702,198927,5995,1488,329,2009
1703,201332,7196,1884,329,2010
1704,203247,6627,1618,329,2011
1705,204088,8682,1232,329,2012
1706,205989,8187,1123,329,2013
1707,209178,8083,1443,329,2014
1708,213152,8499,1424,329,2015
1709,218004,8282,1669,329,2016
1710,225048,9036,1579,329,2017
1711,230722,7097,1615,329,2018
1712,236799,9622,1723,329,2019
1713,251219,8872,2385,329,2020
1714,263270,10626,2011,329,2021
1715,86843,4286,5722,330,1987
1716,91044,4596,6123,330,1988
1717,94425,4193,7023,330,1989
1718,97800,4866,8332,330,1990
1719,100197,4614,2937,330,1991
1720,101863,4685,2454,330,1992
1721,102663,4409,3163,330,1993
1722,108086,3984,1069,330,1994
1723,112638,4037,848,330,1995
1724,114926,4174,820,330,1996
1725,119699,4250,1500,330,1997
1726,124432,4890,1639,330,1998
1727,128652,4713,1273,330,1999
1728,135029,5567,987,330,2000
1729,140935,5598,1307,330,2001
1730,145522,5051,1797,330,2002
1731,146381,4935,1882,330,2003
1732,151249,4979,1869,330,2004
1733,156300,5999,1731,330,2005
1734,164361,7370,1794,330,2006
1735,171673,13321,1665,330,2007
1736,175740,7602,1824,330,2008
1737,173561,4963,1804,330,2009
1738,173718,4907,1826,330,2010
1739,174028,4734,1843,330,2011
1740,175482,5085,1410,330,2012
1741,176607,5601,1326,330,2013
1742,178566,5704,1367,330,2014
1743,181060,6714,1505,330,2015
1744,185877,6962,1582,330,2016
1745,191357,6636,1468,330,2017
1746,195862,6828,1642,330,2018
1747,201523,6712,1606,330,2019
1748,210018,6957,2643,330,2020
1749,224705,8428,2127,330,2021
1750,96006,5452,5493,336,1987
1751,100586,5631,5813,336,1988
1752,103589,5596,5737,336,1989
1753,107031,5904,5783,336,1990
1754,109222,5787,3333,336,1991
1755,112399,5753,2774,336,1992
1756,112872,5475,3663,336,1993
1757,119718,4898,1039,336,1994
1758,126301,4808,1340,336,1995
1759,132557,4852,739,336,1996
1760,138413,5075,1402,336,1997
1761,146034,5060,1762,336,1998
1762,153940,5405,1265,336,1999
1763,161439,6964,933,336,2000
1764,166995,7274,1269,336,2001
1765,169557,6407,1733,336,2002
1766,169399,6918,1776,336,2003
1767,173870,6333,1847,336,2004
1768,181916,7679,1652,336,2005
1769,189256,8438,1790,336,2006
1770,194396,11808,1915,336,2007
1771,201333,9633,1775,336,2008
1772,189301,7359,1559,336,2009
1773,191854,7614,1705,336,2010
1774,194172,7828,1702,336,2011
1775,194148,8776,1313,336,2012
1776,197723,8441,1225,336,2013
1777,200630,9204,1370,336,2014
1778,203563,10232,1452,336,2015
1779,206234,10567,1554,336,2016
1780,211830,9288,1811,336,2017
1781,220126,9039,2460,336,2018
1782,227088,10437,1780,336,2019
1783,233519,11357,2985,336,2020
1784,247248,12139,2229,336,2021
1785,87687,4702,5207,340,1987
1786,93055,5146,5364,340,1988
1787,95799,5053,9615,340,1989
1788,98525,5259,6233,340,1990
1789,100213,5185,2606,340,1991
1790,101958,5039,2321,340,1992
1791,103081,4763,2547,340,1993
1792,109657,4460,1216,340,1994
1793,116432,4618,935,340,1995
1794,121038,5719,809,340,1996
1795,126700,4633,1352,340,1997
1796,134018,5333,1657,340,1998
1797,142220,5397,1159,340,1999
1798,151755,5707,782,340,2000
1799,159478,5960,1044,340,2001
1800,161242,5209,1530,340,2002
1801,162837,5543,1787,340,2003
1802,170136,5226,1762,340,2004
1803,176831,6478,1667,340,2005
1804,185474,7677,1781,340,2006
1805,192918,10116,1897,340,2007
1806,195380,3939,1975,340,2008
1807,192449,5946,1798,340,2009
1808,190580,7407,2034,340,2010
1809,194301,5957,1875,340,2011
1810,196465,7389,1536,340,2012
1811,199334,8028,1398,340,2013
1812,203146,7919,1423,340,2014
1813,208011,9430,1596,340,2015
1814,211277,8322,1551,340,2016
1815,218317,8211,1563,340,2017
1816,221089,8080,1700,340,2018
1817,228207,12306,1727,340,2019
1818,238090,10119,2516,340,2020
1819,250133,12814,2208,340,2021
1820,117737,4446,5646,350,1987
1821,124393,4908,6422,350,1988
1822,128553,5094,6008,350,1989
1823,133989,5247,5624,350,1990
1824,135303,4984,3935,350,1991
1825,138687,5619,4064,350,1992
1826,139110,5546,5223,350,1993
1827,147791,5059,1427,350,1994
1828,154782,5366,1319,350,1995
1829,160620,7480,1260,350,1996
1830,168584,6978,1398,350,1997
1831,177310,5990,1697,350,1998
1832,185805,5844,1384,350,1999
1833,194794,7798,1016,350,2000
1834,202398,7825,1592,350,2001
1835,205159,7284,1925,350,2002
1836,206393,7051,2339,350,2003
1837,210716,6373,2275,350,2004
1838,217830,9098,2105,350,2005
1839,224375,11958,1922,350,2006
1840,229265,14339,1992,350,2007
1841,232810,10865,1995,350,2008
1842,229249,7650,1797,350,2009
1843,236512,9415,1917,350,2010
1844,234867,10051,1809,350,2011
1845,238230,9418,1435,350,2012
1846,240280,9973,1357,350,2013
1847,239528,10675,1323,350,2014
1848,243624,13068,1566,350,2015
1849,246984,13542,1459,350,2016
1850,254071,12623,1670,350,2017
1851,260059,13696,1761,350,2018
1852,266268,12609,1759,350,2019
1853,275357,14247,2635,350,2020
1854,288398,16727,2105,350,2021
1855,69086,4327,4825,360,1987
1856,72396,4633,5373,360,1988
1857,76180,4696,5511,360,1989
1858,79038,4935,5775,360,1990
1859,80610,4799,2582,360,1991
1860,82013,4747,2158,360,1992
1861,81582,4221,2168,360,1993
1862,85407,3409,1283,360,1994
1863,88995,3148,1167,360,1995
1864,90991,3636,1051,360,1996
1865,95002,3773,1732,360,1997
1866,98201,4305,2059,360,1998
1867,100339,3792,1643,360,1999
1868,106531,4300,1185,360,2000
1869,112334,4678,1348,360,2001
1870,114964,4931,2063,360,2002
1871,116107,3982,2003,360,2003
1872,120432,3637,1614,360,2004
1873,124493,4867,1643,360,2005
1874,130732,5801,1775,360,2006
1875,133533,7030,1840,360,2007
1876,138666,5715,1830,360,2008
1877,136823,3948,1794,360,2009
1878,136862,4287,1595,360,2010
1879,136232,3906,1702,360,2011
1880,137189,4372,1339,360,2012
1881,140936,3873,1261,360,2013
1882,143615,5068,1371,360,2014
1883,142582,5958,1630,360,2015
1884,143833,5997,1600,360,2016
1885,147105,5306,1647,360,2017
1886,149780,4067,1657,360,2018
1887,156063,4865,1701,360,2019
1888,162661,5931,2754,360,2020
1889,175209,6809,2041,360,2021
1890,90637,4307,4707,370,1987
1891,94196,4483,6531,370,1988
1892,98630,4404,5974,370,1989
1893,101069,4537,5915,370,1990
