,muni_code,muni_name,rmse,r2,sum_sale
0,165,Albertslund,3370.2301272675863,-2.286111782304349,7307
1,201,Allerød,2771.5524511370736,-0.1809637727443711,11549
2,151,Ballerup,4833.264102821407,-2.7010506746382847,12212
3,400,Bornholm,2289.2947530827287,-2.041578135441196,22467
4,153,Brøndby,3687.5705754638057,-1.1772969990929925,7629
5,155,Dragør,6685.291429355577,-2.2142493223319204,7403
6,240,Egedal,5683.312393361071,-4.589236324654372,21481
7,210,Fredensborg,1672.7994562061656,0.7582933763658386,20743
8,147,Frederiksberg,15395.673796287714,-6.176754332403825,43887
9,250,Frederikssund,5561.967010074041,-3.1853839028028856,20084
10,190,Furesø,7477.418245983392,-8.321405220397478,17025
11,157,Gentofte,6976.118257816893,-0.3870853486312406,42498
12,159,Gladsaxe,4268.518529578696,-0.1255136560432961,25990
13,161,Glostrup,7084.469055917549,-4.080208005073745,7800
14,270,Gribskov,1565.2349747692654,0.5431343490752236,19334
15,260,Halsnæs,5175.8337969186405,-3.5659481801551323,14629
16,217,Helsingør,10197.03090203748,-23.64452522462427,30339
17,163,Herlev,12820.03496333645,-19.333918081051376,6832
18,219,Hillerød,3784.6816160892663,-1.2954563106711054,22629
19,167,Hvidovre,4883.654672397983,-2.030383301914402,17952
20,169,Høje-Taastrup,1517.9286558865583,0.6699996531752206,25541
21,223,Hørsholm,3015.17035903065,0.1181623635964707,13433
22,183,Ishøj,6440.028195305798,-10.541719304214634,8716
23,101,København,7697.458651597923,-2.705158322897919,221541
24,173,Lyngby-Taarbæk,6193.26443046022,-1.1073667590239844,24232
25,230,Rudersdal,4228.36955164763,-0.4030682668169671,29819
26,175,Rødovre,11567.523998139175,-11.085656751421515,15476
27,185,Tårnby,3796.577735037119,-0.1764190101941503,16855
28,187,Vallensbæk,3110.9339906206146,-0.3457372994164907,9311
29,320,Faxe,4715.187894550997,-2.8966446316850485,18273
30,253,Greve,2821.044007509244,0.1249186459741887,22110
31,376,Guldborgsund,1866.912343978564,-2.4092882680829373,33751
32,316,Holbæk,2698.579275823296,0.3871026863770738,31011
33,326,Kalundborg,4411.94567618254,-14.811973477939164,24120
34,259,Køge,3571.0459940238607,-0.3793112307958752,25533
35,350,Lejre,3941.161150376955,-0.658757686296189,12193
36,360,Lolland,1035.4879014372257,0.1260948874403544,25250
37,370,Næstved,2946.4176368511053,-1.1865787816654287,40568
38,306,Odsherred,1442.479581415041,0.2761117631880551,16127
39,329,Ringsted,14503.16322996552,-33.58746142633713,15423
40,265,Roskilde,5564.050825757997,-2.1610864899336137,39733
41,330,Slagelse,3137.6576767466263,-3.536124578815394,34626
42,269,Solrød,2393.3221241579868,0.3686475937107922,13063
43,340,Sorø,6844.806380148588,-11.448112981601438,14473
44,336,Stevns,3083.151024667572,-0.815179781790933,11740
