muni_code,housing_type,year,avg_sqm_price,count
621,Ejerlejlighed,01,10239.936363636363,110
621,Ejerlejlighed,02,10187.376543209877,162
621,Ejerlejlighed,03,9444.455284552845,123
621,Ejerlejlighed,04,10389.18699186992,123
621,Ejerlejlighed,05,9765.929824561403,114
621,Ejerlejlighed,06,10222.304347826086,115
621,Ejerlejlighed,07,10103.87969924812,133
621,Ejerlejlighed,08,10053.75892857143,112
621,Ejerlejlighed,09,10032.657342657343,143
621,Ejerlejlighed,10,10522.414634146342,123
621,Ejerlejlighed,11,9818.404761904761,126
621,Ejerlejlighed,12,9994.756521739131,115
621,Ejerlejlighed,13,10219.239669421488,121
621,Ejerlejlighed,14,9971.24060150376,133
621,Ejerlejlighed,15,9482.040322580646,124
621,Ejerlejlighed,16,9596.652892561984,121
621,Ejerlejlighed,17,10500.575221238938,113
621,Ejerlejlighed,18,9639.704545454546,132
621,Ejerlejlighed,19,9995.984251968504,127
621,Ejerlejlighed,20,9662.036764705883,136
621,Ejerlejlighed,21,10264.781512605043,119
621,Ejerlejlighed,22,9905.139344262296,122
621,Ejerlejlighed,23,9892.918032786885,122
621,Ejerlejlighed,24,9285.32380952381,105
621,Ejerlejlighed,25,9902.712962962964,108
621,Ejerlejlighed,26,9653.10294117647,136
621,Ejerlejlighed,27,9851.615942028986,138
621,Ejerlejlighed,28,9703.36551724138,145
621,Ejerlejlighed,29,9899.9009009009,111
621,Ejerlejlighed,30,9315.921875,128
621,Ejerlejlighed,31,11021.131578947368,76
621,Rækkehus,01,9758.492307692308,130
621,Rækkehus,02,10287.601063829787,188
621,Rækkehus,03,10861.47435897436,156
621,Rækkehus,04,9803.04,150
621,Rækkehus,05,10587.106666666667,150
621,Rækkehus,06,9896.043209876543,162
621,Rækkehus,07,10826.7578125,128
621,Rækkehus,08,10437.563953488372,172
621,Rækkehus,09,10397.377358490567,159
621,Rækkehus,10,10390.688405797102,138
621,Rækkehus,11,11150.802547770701,157
621,Rækkehus,12,9809.134615384615,156
621,Rækkehus,13,11128.993103448276,145
621,Rækkehus,14,10191.65243902439,164
621,Rækkehus,15,10538.593333333334,150
621,Rækkehus,16,10580.011695906433,171
621,Rækkehus,17,10644.068322981366,161
621,Rækkehus,18,9912.317919075145,173
621,Rækkehus,19,9982.057142857142,175
621,Rækkehus,20,10029.592105263158,152
621,Rækkehus,21,10440.146341463415,164
621,Rækkehus,22,10306.060439560439,182
621,Rækkehus,23,10041.875739644971,169
621,Rækkehus,24,10153.905660377359,159
621,Rækkehus,25,10575.972027972028,143
621,Rækkehus,26,10460.30357142857,168
621,Rækkehus,27,8767.528301886792,159
621,Rækkehus,28,9974.766467065869,167
621,Rækkehus,29,10219.522988505747,174
621,Rækkehus,30,10135.56725146199,171
621,Rækkehus,31,9486.739130434782,92
621,Villa,01,8199.586510263929,1023
621,Villa,02,7833.762711864407,1003
621,Villa,03,8157.732394366197,994
621,Villa,04,8385.859538784067,954
621,Villa,05,8322.57156862745,1020
621,Villa,06,8199.13192346425,993
621,Villa,07,8177.0839768339765,1036
621,Villa,08,8113.111665004985,1003
621,Villa,09,8051.810126582279,1027
621,Villa,10,8285.36909448819,1016
621,Villa,11,8037.621596244131,1065
621,Villa,12,7746.591563786008,972
621,Villa,13,8001.960513326752,1013
621,Villa,14,7711.325497287523,1106
621,Villa,15,8304.505572441743,987
621,Villa,16,8018.361139369278,983
621,Villa,17,8069.300902708124,997
621,Villa,18,8140.427402862986,978
621,Villa,19,7951.401005025125,995
621,Villa,20,8150.368755676657,1101
621,Villa,21,8043.13296398892,1083
621,Villa,22,8081.707142857143,980
621,Villa,23,7791.643162393162,936
621,Villa,24,7959.670794633643,969
621,Villa,25,8145.452241715399,1026
621,Villa,26,7994.158714703019,1027
621,Villa,27,7905.460111317254,1078
621,Villa,28,7916.03663003663,1092
621,Villa,29,7965.662198391421,1119
621,Villa,30,7822.942164179104,1072
621,Villa,31,7360.668789808918,628
