muni_code,housing_type,year,avg_sqm_price,count
420,Ejerlejlighed,01,7042.888888888889,9
420,Ejerlejlighed,02,8994.0,10
420,Ejerlejlighed,03,9203.75,8
420,Ejerlejlighed,04,6930.4,10
420,Ejerlejlighed,05,5156.0,9
420,Ejerlejlighed,06,6928.25,8
420,Ejerlejlighed,07,4063.818181818182,11
420,Ejerlejlighed,08,4291.25,12
420,Ejerlejlighed,09,6085.666666666667,9
420,Ejerlejlighed,10,5259.0,4
420,Ejerlejlighed,11,5858.666666666667,9
420,Ejerlejlighed,12,5894.363636363636,11
420,Ejerlejlighed,13,10125.5,4
420,Ejerlejlighed,14,9396.0,4
420,Ejerlejlighed,15,3763.25,4
420,Ejerlejlighed,16,8091.142857142857,7
420,Ejerlejlighed,17,5961.6,10
420,Ejerlejlighed,18,7439.538461538462,13
420,Ejerlejlighed,19,7561.8,10
420,Ejerlejlighed,20,7894.571428571428,7
420,Ejerlejlighed,21,6581.75,8
420,Ejerlejlighed,22,7976.0,13
420,Ejerlejlighed,23,5895.272727272727,11
420,Ejerlejlighed,24,6740.0,3
420,Ejerlejlighed,25,8499.857142857143,7
420,Ejerlejlighed,26,7767.666666666667,6
420,Ejerlejlighed,27,5301.818181818182,11
420,Ejerlejlighed,28,7530.285714285715,14
420,Ejerlejlighed,29,5563.15,20
420,Ejerlejlighed,30,6458.7,10
420,Ejerlejlighed,31,5337.625,8
420,Rækkehus,01,6150.9807692307695,52
420,Rækkehus,02,6217.28813559322,59
420,Rækkehus,03,7233.642857142857,56
420,Rækkehus,04,6517.588235294118,68
420,Rækkehus,05,6329.8,65
420,Rækkehus,06,6616.48,50
420,Rækkehus,07,6425.54,50
420,Rækkehus,08,5782.0392156862745,51
420,Rækkehus,09,6605.19696969697,66
420,Rækkehus,10,6572.193548387097,62
420,Rækkehus,11,6348.521739130435,69
420,Rækkehus,12,6208.518072289156,83
420,Rækkehus,13,6898.5,82
420,Rækkehus,14,6565.396825396825,63
420,Rækkehus,15,6045.6349206349205,63
420,Rækkehus,16,6071.138888888889,72
420,Rækkehus,17,6748.939393939394,66
420,Rækkehus,18,6153.205882352941,68
420,Rækkehus,19,7168.5875,80
420,Rækkehus,20,6615.548780487805,82
420,Rækkehus,21,6376.782051282052,78
420,Rækkehus,22,5937.3026315789475,76
420,Rækkehus,23,6781.177419354839,62
420,Rækkehus,24,6703.0298507462685,67
420,Rækkehus,25,6172.781818181818,55
420,Rækkehus,26,6269.662790697675,86
420,Rækkehus,27,6541.63768115942,69
420,Rækkehus,28,6368.096385542169,83
420,Rækkehus,29,6633.606060606061,66
420,Rækkehus,30,6891.1547619047615,84
420,Rækkehus,31,6585.3,40
420,Villa,01,5325.22138836773,533
420,Villa,02,5491.807308970099,602
420,Villa,03,5441.816925734024,579
420,Villa,04,5050.95652173913,483
420,Villa,05,5243.95026642984,563
420,Villa,06,5286.66722972973,592
420,Villa,07,5407.747628083492,527
420,Villa,08,5359.841296928327,586
420,Villa,09,5336.869494290375,613
420,Villa,10,5566.71144278607,603
420,Villa,11,5394.013445378151,595
420,Villa,12,5481.708117443869,579
420,Villa,13,5204.666121112929,611
420,Villa,14,5501.724812030076,665
420,Villa,15,5667.409893992933,566
420,Villa,16,5653.692173913044,575
420,Villa,17,5355.914429530201,596
420,Villa,18,5284.84705882353,595
420,Villa,19,5557.290679304897,633
420,Villa,20,5441.444444444444,621
420,Villa,21,5356.911620294599,611
420,Villa,22,5367.808849557522,565
420,Villa,23,5488.751689189189,592
420,Villa,24,5387.033457249071,538
420,Villa,25,5391.003590664272,557
420,Villa,26,5424.029032258065,620
420,Villa,27,5451.207317073171,656
420,Villa,28,5401.049535603715,646
420,Villa,29,5459.694488188977,635
420,Villa,30,5348.422370617696,599
420,Villa,31,5241.846385542169,332
