muni_code,housing_type,year,avg_sqm_price,count
165,Ejerlejlighed,01,14323.388888888889,36
165,Ejerlejlighed,02,13667.955555555556,45
165,Ejerlejlighed,03,15907.32142857143,56
165,Ejerlejlighed,04,13112.290909090909,55
165,Ejerlejlighed,05,12579.70588235294,51
165,Ejerlejlighed,06,15318.023255813954,43
165,Ejerlejlighed,07,12831.57142857143,49
165,Ejerlejlighed,08,15562.188679245282,53
165,Ejerlejlighed,09,15829.69642857143,56
165,Ejerlejlighed,10,14433.09375,64
165,Ejerlejlighed,11,13301.115384615385,52
165,Ejerlejlighed,12,15015.933333333332,60
165,Ejerlejlighed,13,14139.0,52
165,Ejerlejlighed,14,13641.796296296296,54
165,Ejerlejlighed,15,12641.76923076923,39
165,Ejerlejlighed,16,14424.296296296296,54
165,Ejerlejlighed,17,15308.52380952381,42
165,Ejerlejlighed,18,13447.557692307691,52
165,Ejerlejlighed,19,14868.984126984127,63
165,Ejerlejlighed,20,13942.25,44
165,Ejerlejlighed,21,14032.189655172413,58
165,Ejerlejlighed,22,15434.692307692309,65
165,Ejerlejlighed,23,13684.6,65
165,Ejerlejlighed,24,14399.372549019608,51
165,Ejerlejlighed,25,12909.12,50
165,Ejerlejlighed,26,14561.234567901234,81
165,Ejerlejlighed,27,14381.395833333334,48
165,Ejerlejlighed,28,13849.765625,64
165,Ejerlejlighed,29,12805.94642857143,56
165,Ejerlejlighed,30,13109.883333333333,60
165,Ejerlejlighed,31,14122.361111111111,36
165,Rækkehus,01,15749.581967213115,122
165,Rækkehus,02,15116.518867924528,106
165,Rækkehus,03,16223.872093023256,86
165,Rækkehus,04,16162.883495145632,103
165,Rækkehus,05,14927.653846153846,130
165,Rækkehus,06,16277.463414634147,123
165,Rækkehus,07,15869.698412698413,126
165,Rækkehus,08,15141.688524590163,122
165,Rækkehus,09,15173.477611940298,134
165,Rækkehus,10,15329.403361344537,119
165,Rækkehus,11,15508.54887218045,133
165,Rækkehus,12,15484.869918699187,123
165,Rækkehus,13,16127.165413533834,133
165,Rækkehus,14,15088.838028169013,142
165,Rækkehus,15,15227.038834951456,103
165,Rækkehus,16,14405.342105263158,114
165,Rækkehus,17,15953.274647887323,142
165,Rækkehus,18,16658.924242424244,132
165,Rækkehus,19,14508.217391304348,138
165,Rækkehus,20,15201.0546875,128
165,Rækkehus,21,13974.058333333332,120
165,Rækkehus,22,16536.921739130434,115
165,Rækkehus,23,15309.016129032258,124
165,Rækkehus,24,15438.043103448275,116
165,Rækkehus,25,15353.992857142857,140
165,Rækkehus,26,15433.783333333333,120
165,Rækkehus,27,15226.266666666666,120
165,Rækkehus,28,14613.944,125
165,Rækkehus,29,15628.765217391305,115
165,Rækkehus,30,14201.675213675213,117
165,Rækkehus,31,14757.761904761905,63
165,Villa,01,14195.40322580645,62
165,Villa,02,15871.0,71
165,Villa,03,17075.16393442623,61
165,Villa,04,14231.820895522387,67
165,Villa,05,13222.362068965518,58
165,Villa,06,15403.115384615385,52
165,Villa,07,15427.234042553191,47
165,Villa,08,14450.634615384615,52
165,Villa,09,15871.796875,64
165,Villa,10,16066.868852459016,61
165,Villa,11,14705.014084507042,71
165,Villa,12,16677.188679245282,53
165,Villa,13,15258.738461538462,65
165,Villa,14,14826.733333333334,90
165,Villa,15,14084.48076923077,52
165,Villa,16,13819.064935064935,77
165,Villa,17,15457.883116883117,77
165,Villa,18,16448.116883116883,77
165,Villa,19,14272.371428571429,70
165,Villa,20,15421.314814814816,54
165,Villa,21,16221.475409836066,61
165,Villa,22,13928.775862068966,58
165,Villa,23,14453.54,50
165,Villa,24,15199.075757575758,66
165,Villa,25,15758.957746478873,71
165,Villa,26,15158.786885245901,61
165,Villa,27,15987.0,59
165,Villa,28,15808.421052631578,57
165,Villa,29,16335.82142857143,56
165,Villa,30,15056.130434782608,69
165,Villa,31,13341.266666666666,30
