muni_code,housing_type,year,avg_sqm_price,count
259,Ejerlejlighed,1992,6650.866666666667,60
259,Ejerlejlighed,1993,6140.583333333333,72
259,Ejerlejlighed,1994,6569.15,80
259,Ejerlejlighed,1995,6357.846153846154,104
259,Ejerlejlighed,1996,6993.52027027027,148
259,Ejerlejlighed,1997,8375.47619047619,105
259,Ejerlejlighed,1998,9259.818181818182,121
259,Ejerlejlighed,1999,10010.9,110
259,Ejerlejlighed,2000,10995.457627118643,118
259,Ejerlejlighed,2001,13026.127272727274,110
259,Ejerlejlighed,2002,13445.686440677966,118
259,Ejerlejlighed,2003,14602.692307692309,117
259,Ejerlejlighed,2004,15289.576,125
259,Ejerlejlighed,2005,16838.324175824175,182
259,Ejerlejlighed,2006,18639.988505747126,174
259,Ejerlejlighed,2007,19907.154185022027,227
259,Ejerlejlighed,2008,18928.951923076922,104
259,Ejerlejlighed,2009,17213.04,75
259,Ejerlejlighed,2010,17454.466019417476,103
259,Ejerlejlighed,2011,15816.052631578947,76
259,Ejerlejlighed,2012,14786.688524590163,61
259,Ejerlejlighed,2013,16799.916666666668,84
259,Ejerlejlighed,2014,17022.327102803738,107
259,Ejerlejlighed,2015,19084.649681528663,157
259,Ejerlejlighed,2016,20379.95625,160
259,Ejerlejlighed,2017,22200.71573604061,197
259,Ejerlejlighed,2018,23006.568965517243,174
259,Ejerlejlighed,2019,24799.403726708075,161
259,Ejerlejlighed,2020,23434.573333333334,150
259,Ejerlejlighed,2021,24464.35606060606,132
259,Ejerlejlighed,2022,24602.11111111111,99
259,Rækkehus,1992,5889.186915887851,107
259,Rækkehus,1993,6132.672413793103,116
259,Rækkehus,1994,5603.433333333333,90
259,Rækkehus,1995,6127.0703125,128
259,Rækkehus,1996,6906.1509433962265,106
259,Rækkehus,1997,7609.0,132
259,Rækkehus,1998,8674.657142857142,140
259,Rækkehus,1999,9853.49,100
259,Rækkehus,2000,11485.374045801527,131
259,Rækkehus,2001,11515.532894736842,152
259,Rækkehus,2002,11605.75,128
259,Rækkehus,2003,11922.961904761905,105
259,Rækkehus,2004,12773.41489361702,94
259,Rækkehus,2005,15462.924242424242,132
259,Rækkehus,2006,18815.792307692307,130
259,Rækkehus,2007,19834.99065420561,107
259,Rækkehus,2008,18769.485294117647,68
259,Rækkehus,2009,15332.474576271186,59
259,Rækkehus,2010,16230.17543859649,57
259,Rækkehus,2011,13416.610169491525,59
259,Rækkehus,2012,13866.788461538461,52
259,Rækkehus,2013,15091.524590163934,61
259,Rækkehus,2014,14619.84375,64
259,Rækkehus,2015,15640.09090909091,88
259,Rækkehus,2016,18262.58035714286,112
259,Rækkehus,2017,19977.734567901236,162
259,Rækkehus,2018,19542.8,140
259,Rækkehus,2019,21160.0,118
259,Rækkehus,2020,21321.006896551724,145
259,Rækkehus,2021,22546.2625,160
259,Rækkehus,2022,23701.42528735632,87
259,Villa,1992,4686.24512987013,616
259,Villa,1993,4500.035,600
259,Villa,1994,4781.0829346092505,627
259,Villa,1995,5233.014947683109,669
259,Villa,1996,5667.5477239353895,681
259,Villa,1997,6217.7018813314035,691
259,Villa,1998,7125.272863568216,667
259,Villa,1999,8001.953376205788,622
259,Villa,2000,8911.115264797509,642
259,Villa,2001,8672.314371257486,668
259,Villa,2002,9235.194277108434,664
259,Villa,2003,9591.502202643172,681
259,Villa,2004,10404.391035548686,647
259,Villa,2005,12473.478365384615,832
259,Villa,2006,13729.781206171108,713
259,Villa,2007,15957.191699604744,506
259,Villa,2008,15100.530769230769,390
259,Villa,2009,12988.757333333333,375
259,Villa,2010,12029.560636182903,503
259,Villa,2011,11707.112021857924,366
259,Villa,2012,11591.588235294117,425
259,Villa,2013,11992.809782608696,368
259,Villa,2014,12325.597849462365,465
259,Villa,2015,13190.813708260106,569
259,Villa,2016,14266.459595959595,594
259,Villa,2017,15281.805732484076,628
259,Villa,2018,16796.505747126437,609
259,Villa,2019,16635.552147239265,652
259,Villa,2020,17174.529972752043,734
259,Villa,2021,19590.879643387816,673
259,Villa,2022,19977.74368932039,515
