muni_code,housing_type,year,avg_sqm_price,count
860,Ejerlejlighed,1992,4134.909090909091,33
860,Ejerlejlighed,1993,3823.0,37
860,Ejerlejlighed,1994,4290.0,37
860,Ejerlejlighed,1995,4302.53125,32
860,Ejerlejlighed,1996,4403.789473684211,38
860,Ejerlejlighed,1997,4884.189189189189,37
860,Ejerlejlighed,1998,4653.166666666667,36
860,Ejerlejlighed,1999,4679.264705882353,34
860,Ejerlejlighed,2000,5408.975,40
860,Ejerlejlighed,2001,6340.470588235294,34
860,Ejerlejlighed,2002,7363.0526315789475,38
860,Ejerlejlighed,2003,6365.193548387097,31
860,Ejerlejlighed,2004,5044.833333333333,36
860,Ejerlejlighed,2005,6944.081081081081,37
860,Ejerlejlighed,2006,7900.450980392156,51
860,Ejerlejlighed,2007,7627.463414634146,41
860,Ejerlejlighed,2008,8064.333333333333,30
860,Ejerlejlighed,2009,8038.8,15
860,Ejerlejlighed,2010,8323.448275862069,29
860,Ejerlejlighed,2011,7746.424242424242,33
860,Ejerlejlighed,2012,6433.588235294118,17
860,Ejerlejlighed,2013,5253.428571428572,28
860,Ejerlejlighed,2014,5710.303571428572,56
860,Ejerlejlighed,2015,8474.029411764706,34
860,Ejerlejlighed,2016,9476.513513513513,37
860,Ejerlejlighed,2017,9353.806451612903,31
860,Ejerlejlighed,2018,8352.51282051282,39
860,Ejerlejlighed,2019,9042.0,22
860,Ejerlejlighed,2020,8712.358490566037,53
860,Ejerlejlighed,2021,8962.117647058823,34
860,Ejerlejlighed,2022,9443.766666666666,30
860,Rækkehus,1992,4702.892307692307,65
860,Rækkehus,1993,4353.12987012987,77
860,Rækkehus,1994,5003.145631067961,103
860,Rækkehus,1995,4860.9807692307695,104
860,Rækkehus,1996,5250.034090909091,88
860,Rækkehus,1997,5496.3,100
860,Rækkehus,1998,6116.894736842105,95
860,Rækkehus,1999,6233.77027027027,74
860,Rækkehus,2000,6212.4,85
860,Rækkehus,2001,6763.205882352941,68
860,Rækkehus,2002,7091.493333333333,75
860,Rækkehus,2003,6834.724637681159,69
860,Rækkehus,2004,7324.7,70
860,Rækkehus,2005,7939.6125,80
860,Rækkehus,2006,8495.824324324325,74
860,Rækkehus,2007,8731.703703703704,81
860,Rækkehus,2008,8756.277777777777,54
860,Rækkehus,2009,9110.081632653062,49
860,Rækkehus,2010,8691.734375,64
860,Rækkehus,2011,8967.0,51
860,Rækkehus,2012,8558.621621621622,37
860,Rækkehus,2013,7998.5,50
860,Rækkehus,2014,8003.734693877551,49
860,Rækkehus,2015,8687.122448979591,49
860,Rækkehus,2016,8785.156862745098,51
860,Rækkehus,2017,8727.484848484848,66
860,Rækkehus,2018,9501.150943396226,53
860,Rækkehus,2019,9857.21052631579,57
860,Rækkehus,2020,8789.966101694916,59
860,Rækkehus,2021,8637.84126984127,63
860,Rækkehus,2022,9066.77049180328,61
860,Villa,1992,3152.6881720430106,1023
860,Villa,1993,3218.948989412897,1039
860,Villa,1994,3384.4036697247707,1090
860,Villa,1995,3463.8926353149955,1127
860,Villa,1996,3588.3241317898487,1123
860,Villa,1997,3862.95802919708,1096
860,Villa,1998,3941.06884057971,1104
860,Villa,1999,4300.7137614678895,1090
860,Villa,2000,4405.171891891892,925
860,Villa,2001,4567.602768903088,939
860,Villa,2002,4663.767467248908,916
860,Villa,2003,4998.693028095734,961
860,Villa,2004,4892.173371647509,1044
860,Villa,2005,5314.494176372712,1202
860,Villa,2006,5915.4830053667265,1118
860,Villa,2007,6321.795844625113,1107
860,Villa,2008,6551.049469964664,849
860,Villa,2009,6105.288194444444,576
860,Villa,2010,6067.660477453581,754
860,Villa,2011,6129.180722891566,664
860,Villa,2012,6017.539634146341,656
860,Villa,2013,5711.446428571428,616
860,Villa,2014,5826.773391812865,684
860,Villa,2015,5969.5185676392575,754
860,Villa,2016,6079.807643312102,785
860,Villa,2017,6433.9774834437085,755
860,Villa,2018,6387.669565217391,805
860,Villa,2019,6396.777227722772,808
860,Villa,2020,6449.8380520951305,883
860,Villa,2021,6605.15164369035,943
860,Villa,2022,6407.656850192061,781
