,Parameter,Value,muni_code
139,preprocessor__num__poly__degree,1.0,575
140,classifier__alpha,0.01519911082952933,573
141,classifier__l1_ratio,1.0,573
142,classifier__max_iter,2000.0,573
143,preprocessor__num__poly__degree,2.0,573
144,classifier__alpha,0.08111308307896872,563
145,classifier__l1_ratio,0.1,563
146,classifier__max_iter,2000.0,563
147,preprocessor__num__poly__degree,1.0,563
148,classifier__alpha,0.01519911082952933,561
149,classifier__l1_ratio,0.7,561
150,classifier__max_iter,2000.0,561
151,preprocessor__num__poly__degree,1.0,561
152,classifier__alpha,0.08111308307896872,550
153,classifier__l1_ratio,1.0,550
154,classifier__max_iter,2000.0,550
155,preprocessor__num__poly__degree,2.0,550
156,classifier__alpha,0.01519911082952933,540
157,classifier__l1_ratio,1.0,540
158,classifier__max_iter,2000.0,540
159,preprocessor__num__poly__degree,1.0,540
160,classifier__alpha,0.01519911082952933,530
161,classifier__l1_ratio,0.9,530
162,classifier__max_iter,2000.0,530
163,preprocessor__num__poly__degree,1.0,530
164,classifier__alpha,0.01519911082952933,510
165,classifier__l1_ratio,1.0,510
166,classifier__max_iter,2000.0,510
167,preprocessor__num__poly__degree,2.0,510
168,classifier__alpha,0.08111308307896872,492
169,classifier__l1_ratio,0.2,492
170,classifier__max_iter,2000.0,492
171,preprocessor__num__poly__degree,1.0,492
172,classifier__alpha,0.08111308307896872,482
173,classifier__l1_ratio,0.2,482
174,classifier__max_iter,2000.0,482
175,preprocessor__num__poly__degree,1.0,482
176,classifier__alpha,0.01519911082952933,480
177,classifier__l1_ratio,0.8,480
178,classifier__max_iter,2000.0,480
179,preprocessor__num__poly__degree,1.0,480
180,classifier__alpha,0.002848035868435802,479
181,classifier__l1_ratio,0.0,479
182,classifier__max_iter,2000.0,479
183,preprocessor__num__poly__degree,1.0,479
184,classifier__alpha,0.01519911082952933,461
185,classifier__l1_ratio,1.0,461
186,classifier__max_iter,2000.0,461
187,preprocessor__num__poly__degree,1.0,461
188,classifier__alpha,0.08111308307896872,450
189,classifier__l1_ratio,0.2,450
190,classifier__max_iter,2000.0,450
191,preprocessor__num__poly__degree,2.0,450
192,classifier__alpha,0.01519911082952933,440
193,classifier__l1_ratio,0.1,440
194,classifier__max_iter,2000.0,440
195,preprocessor__num__poly__degree,1.0,440
196,classifier__alpha,0.01519911082952933,430
197,classifier__l1_ratio,0.4,430
198,classifier__max_iter,2000.0,430
199,preprocessor__num__poly__degree,2.0,430
200,classifier__alpha,0.01519911082952933,420
201,classifier__l1_ratio,1.0,420
202,classifier__max_iter,2000.0,420
203,preprocessor__num__poly__degree,2.0,420
204,classifier__alpha,0.01519911082952933,410
205,classifier__l1_ratio,0.2,410
206,classifier__max_iter,2000.0,410
207,preprocessor__num__poly__degree,2.0,410
208,classifier__alpha,0.01519911082952933,400
209,classifier__l1_ratio,0.8,400
210,classifier__max_iter,2000.0,400
211,preprocessor__num__poly__degree,2.0,400
212,classifier__alpha,0.01519911082952933,390
213,classifier__l1_ratio,0.6,390
214,classifier__max_iter,2000.0,390
215,preprocessor__num__poly__degree,2.0,390
216,classifier__alpha,0.01519911082952933,376
217,classifier__l1_ratio,0.0,376
218,classifier__max_iter,2000.0,376
219,preprocessor__num__poly__degree,2.0,376
220,classifier__alpha,0.01519911082952933,370
221,classifier__l1_ratio,0.2,370
222,classifier__max_iter,2000.0,370
223,preprocessor__num__poly__degree,2.0,370
224,classifier__alpha,0.01519911082952933,360
225,classifier__l1_ratio,0.4,360
226,classifier__max_iter,2000.0,360
227,preprocessor__num__poly__degree,2.0,360
228,classifier__alpha,0.01519911082952933,350
229,classifier__l1_ratio,0.1,350
230,classifier__max_iter,2000.0,350
231,preprocessor__num__poly__degree,3.0,350
232,classifier__alpha,0.01519911082952933,340
233,classifier__l1_ratio,0.7,340
234,classifier__max_iter,2000.0,340
235,preprocessor__num__poly__degree,1.0,340
236,classifier__alpha,0.01519911082952933,336
237,classifier__l1_ratio,0.1,336
238,classifier__max_iter,2000.0,336
239,preprocessor__num__poly__degree,1.0,336
240,classifier__alpha,0.01519911082952933,330
241,classifier__l1_ratio,0.0,330
242,classifier__max_iter,2000.0,330
243,preprocessor__num__poly__degree,2.0,330
244,classifier__alpha,0.01519911082952933,329
245,classifier__l1_ratio,1.0,329
246,classifier__max_iter,2000.0,329
247,preprocessor__num__poly__degree,3.0,329
248,classifier__alpha,0.08111308307896872,326
249,classifier__l1_ratio,0.0,326
250,classifier__max_iter,2000.0,326
251,preprocessor__num__poly__degree,3.0,326
252,classifier__alpha,0.0005336699231206312,320
253,classifier__l1_ratio,0.3,320
254,classifier__max_iter,2000.0,320
255,preprocessor__num__poly__degree,2.0,320
256,classifier__alpha,0.002848035868435802,316
257,classifier__l1_ratio,1.0,316
258,classifier__max_iter,2000.0,316
259,preprocessor__num__poly__degree,2.0,316
260,classifier__alpha,0.01519911082952933,306
261,classifier__l1_ratio,0.9,306
262,classifier__max_iter,2000.0,306
263,preprocessor__num__poly__degree,1.0,306
264,classifier__alpha,0.002848035868435802,270
265,classifier__l1_ratio,0.7,270
266,classifier__max_iter,2000.0,270
267,preprocessor__num__poly__degree,3.0,270
268,classifier__alpha,0.002848035868435802,269
269,classifier__l1_ratio,0.1,269
270,classifier__max_iter,2000.0,269
271,preprocessor__num__poly__degree,2.0,269
272,classifier__alpha,0.0001,265
273,classifier__l1_ratio,0.0,265
274,classifier__max_iter,2000.0,265
275,preprocessor__num__poly__degree,3.0,265
276,classifier__alpha,0.08111308307896872,260
277,classifier__l1_ratio,0.0,260
278,classifier__max_iter,2000.0,260
279,preprocessor__num__poly__degree,2.0,260
280,classifier__alpha,0.01519911082952933,259
281,classifier__l1_ratio,0.0,259
282,classifier__max_iter,2000.0,259
283,preprocessor__num__poly__degree,2.0,259
284,classifier__alpha,0.01519911082952933,253
285,classifier__l1_ratio,0.2,253
286,classifier__max_iter,2000.0,253
287,preprocessor__num__poly__degree,3.0,253
288,classifier__alpha,0.002848035868435802,250
289,classifier__l1_ratio,0.3,250
290,classifier__max_iter,2000.0,250
291,preprocessor__num__poly__degree,3.0,250
292,classifier__alpha,0.08111308307896872,240
293,classifier__l1_ratio,0.2,240
294,classifier__max_iter,2000.0,240
295,preprocessor__num__poly__degree,2.0,240
296,classifier__alpha,0.01519911082952933,230
297,classifier__l1_ratio,0.4,230
298,classifier__max_iter,2000.0,230
299,preprocessor__num__poly__degree,1.0,230
300,classifier__alpha,0.01519911082952933,223
301,classifier__l1_ratio,0.3,223
302,classifier__max_iter,2000.0,223
303,preprocessor__num__poly__degree,3.0,223
304,classifier__alpha,0.01519911082952933,219
305,classifier__l1_ratio,0.3,219
306,classifier__max_iter,2000.0,219
307,preprocessor__num__poly__degree,3.0,219
308,classifier__alpha,0.08111308307896872,217
309,classifier__l1_ratio,0.0,217
