,Train,Test,sample size,muni_code
0,8.076646885623909e-09,41.669525950762115,3,860
1,4.543542143315622e-06,1.6038389591167554,6,860
2,0.0017313886813852112,2.0513391884010463,9,860
3,0.001992303284137968,1.225025946735328,12,860
4,0.009466884022098526,0.5609785103465373,16,860
5,0.009242274354224918,0.40711409706261686,19,860
6,0.00935257250879653,0.37088982132844733,22,860
7,0.016393286714408088,0.2148033286924666,25,860
8,0.021527587081250972,0.2097994358876219,28,860
9,0.02941237253559368,0.18276026127809802,32,860
10,0.03448367805471126,0.1766400640010524,35,860
11,0.04476514709568715,0.1456154897419436,38,860
12,0.05655251458169099,0.15383210580781304,41,860
13,0.06182653403824797,0.15095704166604934,44,860
14,0.06426331781298608,0.1310248251827168,48,860
15,0.06808008235045693,0.12829933781537808,51,860
16,0.06714653454556743,0.12683410832785463,54,860
17,0.07528480969207571,0.12998878110926088,57,860
18,0.07642814961335984,0.1268854082480938,60,860
19,0.07621885998476145,0.12730438639064123,64,860
20,0.0006124156284680795,0.24877318453238892,3,851
21,0.008167862911914278,0.4377237768305271,6,851
22,0.015113863023403406,0.3131673396620813,9,851
23,0.018783884557546503,0.12900782435283475,12,851
24,0.023218784518171158,0.11638161817223232,16,851
25,0.026225482733018602,0.11514139853884856,19,851
26,0.026269236080173376,0.09628067573809776,22,851
27,0.029322534591642024,0.0631387197689707,25,851
28,0.030135653947362607,0.0655379732740517,28,851
29,0.02971683102163712,0.05714913956628542,32,851
30,0.031002629016436533,0.05978811687031198,35,851
31,0.03131064349243175,0.05145318492255259,38,851
32,0.03381493094156786,0.05208154404500365,41,851
33,0.033726920940170026,0.051722427775618564,44,851
34,0.035080059477637635,0.04555345550976768,48,851
35,0.03518662124795073,0.04541527189120351,51,851
36,0.03655816098140171,0.046626903527256444,54,851
37,0.03538827533989409,0.046190377176822964,57,851
38,0.035002008193331206,0.04499748956239391,60,851
39,0.0355111859610308,0.04546499371727664,64,851
40,0.006288438806170917,1.4847086171151869,3,849
41,0.030439931189258196,1.6707001832751112,6,849
42,0.15276551922227846,0.9752487681682714,9,849
43,0.1796575359261413,0.7079189258732164,12,849
44,0.23811982072303017,0.761116262873332,16,849
45,0.23549679788657385,0.614555013850569,19,849
46,0.24800553050970278,0.544719658699139,22,849
47,0.26931547206021167,0.38384197820055177,25,849
48,0.26069335715855974,0.3828796202718121,28,849
49,0.26240697072909985,0.32374442761174466,32,849
50,0.26199864247357585,0.31957004980981113,35,849
51,0.25810169004047945,0.28861965441600457,38,849
52,0.2594751689992019,0.28415540186167954,41,849
53,0.264855231300516,0.28503788202681013,44,849
54,0.25301155967577593,0.2746885453329797,48,849
55,0.24862978984091932,0.269977355027227,51,849
56,0.24006377372167428,0.2698811111086018,54,849
57,0.23237304320429106,0.26646734818346596,57,849
58,0.22597570157431268,0.26266218974955224,60,849
59,0.21543689257208953,0.2623364244087053,64,849
60,3.6716916865690213e-07,0.982933196278941,3,846
61,0.00023232186256994439,1.250430914363132,6,846
62,0.002697271586616077,1.7076512356687346,9,846
63,0.015240820267602314,0.6757032118553348,12,846
64,0.02082001553067992,0.2944330315638283,16,846
65,0.023550921421838785,0.2910754835477249,19,846
66,0.029196072520367773,0.25581332821431596,22,846
67,0.042492422476422126,0.21397751582438493,25,846
68,0.04969309015446662,0.2294492904608531,28,846
69,0.054008202515522664,0.23379643613142118,32,846
70,0.06132855117835029,0.23751449031745925,35,846
71,0.061067208377700924,0.2207925356728687,38,846
72,0.06943231402486151,0.1898350342775038,41,846
73,0.07895955761968154,0.19577767909975913,44,846
74,0.08023678474725204,0.17011790621996015,48,846
75,0.09859874424015695,0.17247662596576968,51,846
76,0.0981323076659572,0.1727638367496538,54,846
77,0.10051909954806386,0.16880496494840785,57,846
78,0.09960951428746144,0.16778973588144483,60,846
