,muni_code,rmse,r2
0,860,3752.7366604064855,-7.4974651242044885
1,851,1595.8263139746243,0.553580451302499
2,849,2799.3699681108287,-1.2112061132452485
3,846,1065.4164093417703,0.3017431247893453
4,840,1501.7628582698283,0.10902588400693003
5,825,2769.681587154317,-2.6496868564722673
6,820,1150.5643063369846,-0.3008123791464101
7,813,1210.0150854334609,0.14293717704239117
8,810,2202.9171145773244,-8.430265522680646
9,791,1655.2696057907801,-0.011647537985367551
10,787,1187.7440392784824,-0.5708129028831852
11,779,746.4312453570873,0.4668362508221766
12,773,1146.4640375201373,0.06603137996448738
13,766,1646.1253383456026,-0.1896602342948306
14,760,1164.8671305151302,-0.08937582576648628
15,756,1465.981885346193,-0.07781065577664714
16,751,3067.6733597480297,0.5353555628616244
17,746,2458.964972058518,0.05749866979639051
18,741,2722.6726615255207,-1.5646563157758324
19,740,1636.5424787303864,0.6567536395159025
20,730,1848.1741510582858,0.0979477676189775
21,727,3750.570876521211,-6.1090094058895374
22,710,3802.1755437202182,-2.120770719408199
23,707,1615.4746326184707,-0.915904780633173
24,706,2041.4635208020711,-0.10259242382001643
25,671,1529.1999149369533,-0.36457043178698245
26,665,1116.1558484827938,-0.13459230557612933
27,661,1388.709544825002,0.4001644325519419
28,657,1405.0664068681251,0.409447062046314
29,630,2083.429737433385,-0.06822080880322212
30,621,2393.1882366400514,-1.3117347843094884
31,615,9951.782541977298,-36.51019333764878
32,607,3992.4037561858445,-25.459398967300988
33,580,2633.968810500241,-7.611227504205766
34,575,1209.4790105926888,-0.29067683896983976
35,573,1135.0750373879207,-0.20683309394046345
36,563,2868.6440837837254,-0.047815169292939386
37,561,1061.943645795711,0.6610597789720505
38,550,1337.9348191909655,-0.271479769888342
39,540,730.6923055057948,0.7775259923746272
40,530,1787.0449671389854,-0.5214383999463401
41,510,977.4397388182559,0.47308632146488727
42,492,1455.4224621117085,0.14093363563220673
43,482,1548.407702291501,0.033619671352650315
44,480,1693.2610626541784,0.21625619204370816
45,479,1731.7429543235307,-0.2404075194878894
46,461,2283.6598179531034,-0.13993722165179157
47,450,2350.462145915771,-3.1440981624418596
48,440,3612.6764669599893,-0.6404959905764069
49,430,1487.7576768993986,-1.1642026093822446
50,420,1737.147017964234,-1.4767905385650781
51,410,3780.165803459043,-1.0436138480853785
52,400,2289.2947530827287,-2.041578135441196
53,390,1339.4749246486394,0.026736058631035453
54,376,1866.9511735430965,-2.409430087869954
55,370,2946.4176368511053,-1.1865787816654287
56,360,1035.4879014372257,0.12609488744035446
57,350,3941.161150376955,-0.658757686296189
58,340,6546.096622514166,-10.385340110862044
59,336,2869.2503346608332,-0.5720520821933415
60,330,3572.0222611602094,-4.878982503386878
61,329,14537.159479421229,-33.74980147188369
62,326,4411.9456761825395,-14.811973477939164
63,320,4715.187894550997,-2.8966446316850485
64,316,2698.579275823296,0.3871026863770738
65,306,1899.6464110059421,-0.255445064276679
66,270,1951.6848117173456,0.2896885998756884
67,269,2844.8733839776523,0.10793723261889077
68,265,3716.8152899109705,-0.4105749262565632
69,260,5186.567871632601,-3.5849063046285172
70,259,4203.857099393476,-0.9114690668445824
71,253,2246.9417065051266,0.4448474757574975
72,250,5870.6963299630315,-3.6629173257529404
73,240,5686.73985566534,-4.595979812256897
74,230,3615.4268283703877,-0.02577493179869217
75,223,2936.9824609755024,0.16330412815433581
76,219,6189.077417238806,-5.1384985893522765
77,217,11078.432971097664,-28.089057748381187
78,210,1600.65402967622,0.7786927002826292
79,201,2761.9193418453465,-0.17276866704295668
80,190,7513.810121720978,-8.41235878035131
81,187,3112.2315635038003,-0.34686014959712397
82,185,3796.5777350371186,-0.1764190101941503
83,183,6758.671233744231,-11.712109146787718
84,175,12710.172757498112,-13.591244819074788
85,173,3055.1601410300527,0.48717541451069557
86,169,1432.3889504496085,0.7061446505991485
87,167,4926.211967117156,-2.083428342568965
88,165,1977.18826424609,-0.13099130865569353
89,163,3425.2411709867797,-0.45152647481911545
90,161,7084.469055917549,-4.080208005073745
91,159,3827.1871695094123,0.09519325232303555
92,157,6976.118257816893,-0.38708534863124067
93,155,6685.291429355577,-2.2142493223319204
94,153,3739.449421351267,-1.2389908516874697
95,151,5317.801476227436,-3.48031158592193
96,147,7529.02600987115,-0.7163595613832905
97,101,7443.2227249984035,-2.464448184437553
