municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square_meters,square_meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
550,Villa,Degnebakken 1,6535, Branderup J,500000 ,29-12-2022,Alm. Salg,172 ,2907,6,2001,
550,Villa,Hjemstedvej 25,6780, Skærbæk,775000 ,27-12-2022,Alm. Salg,188 ,4122,3,1840,-3%
550,Rækkehus,Pilevænget 1,6270, Tønder,911000 ,22-12-2022,Alm. Salg,79 ,11532,4,1964,-4%
550,Villa,Østergade 32,6240, Løgumkloster,1600000 ,22-12-2022,Alm. Salg,224 ,7143,6,1974,
550,Ejerlejlighed,"Lillegade 2, st",6270, Tønder,1400000 ,21-12-2022,Alm. Salg,66 ,21212,2,1907,
550,Ejerlejlighed,"Lillegade 2, 1",6270, Tønder,1400000 ,21-12-2022,Alm. Salg,62 ,22581,3,1907,
550,Ejerlejlighed,"Lillegade 2, 2",6270, Tønder,1400000 ,21-12-2022,Alm. Salg,60 ,23333,1,1907,
550,Villa,Randerupvej 92,6780, Skærbæk,950000 ,21-12-2022,Alm. Salg,136 ,6985,4,1972,
550,Villa,Emmerskevej 17,6270, Tønder,500000 ,21-12-2022,Alm. Salg,111 ,4505,5,1937,
550,Villa,Vestervej 40,6792, Rømø,1150000 ,21-12-2022,Fam. Salg,163 ,7055,4,1770,
550,Villa,Ryttervej 32,6270, Tønder,760000 ,21-12-2022,Andet,100 ,7600,4,1948,
550,Villa,Over Jerstalvej 224A,6534, Agerskov,650000 ,21-12-2022,Alm. Salg,117 ,5556,4,1971,
550,Ejerlejlighed,Vestergade 1B,6520, Toftlund,406000 ,20-12-2022,Alm. Salg,110 ,3691,3,1900,
550,Villa,Gaden 33,6261, Bredebro,560000 ,20-12-2022,Alm. Salg,102 ,5490,4,1970,-6%
550,Villa,Mølletoften 7,6240, Løgumkloster,1250000 ,19-12-2022,Alm. Salg,146 ,8562,4,2002,-10%
550,Villa,Harres 22,6261, Bredebro,649000 ,19-12-2022,Alm. Salg,165 ,3933,5,1827,
550,Rækkehus,Svinget 7,6270, Tønder,250000 ,18-12-2022,Alm. Salg,60 ,4167,3,1942,-16%
550,Villa,Skast 16,6261, Bredebro,3647000 ,18-12-2022,Andet,32 ,113969,1,2022,
550,Villa,Skast 16,6261, Bredebro,3647000 ,18-12-2022,Andet,113 ,32274,2,2022,
550,Villa,Emmerskevej 1,6270, Tønder,880000 ,18-12-2022,Fam. Salg,118 ,7458,5,1927,
550,Villa,Sønderhedevej 44,6780, Skærbæk,1350000 ,18-12-2022,Alm. Salg,229 ,5895,3,2006,-3%
550,Villa,Klostergade 21,6240, Løgumkloster,600000 ,17-12-2022,Alm. Salg,112 ,5357,3,1820,
550,Villa,Stormstræde 12,6792, Rømø,1295000 ,16-12-2022,Alm. Salg,129 ,10039,4,1974,
550,Villa,Skibbrogade 13,6270, Tønder,1815000 ,15-12-2022,Alm. Salg,129 ,14070,5,1984,-4%
550,Villa,Plantagevej 23,6240, Løgumkloster,695000 ,15-12-2022,Alm. Salg,167 ,4162,7,1913,
550,Villa,Trælborgvej 3,6261, Bredebro,400000 ,15-12-2022,Alm. Salg,84 ,4762,3,1941,
550,Villa,Havevej 24,6780, Skærbæk,935000 ,14-12-2022,Fam. Salg,112 ,8348,3,1952,
550,Villa,Randerupvej 120,6780, Skærbæk,140000 ,14-12-2022,Auktion,122 ,1148,5,1950,
550,Villa,Rugfennen 9,6270, Tønder,699000 ,14-12-2022,Alm. Salg,111 ,6297,3,1976,
550,Villa,Bredgade 15,6240, Løgumkloster,600000 ,14-12-2022,Alm. Salg,187 ,3209,6,1931,
550,Rækkehus,"Storegade 5, st",6240, Løgumkloster,835000 ,13-12-2022,Alm. Salg,113 ,7389,3,1870,-7%
550,Rækkehus,"Storegade 5, 1",6240, Løgumkloster,835000 ,13-12-2022,Alm. Salg,184 ,4538,5,1870,-7%
550,Villa,Tved 264,6270, Tønder,1600000 ,13-12-2022,Alm. Salg,112 ,14286,3,2002,
550,Villa,Prilen 32,6280, Højer,550000 ,12-12-2022,Alm. Salg,145 ,3793,5,1970,
550,Ejerlejlighed,"Sønderlandevej 5, st",6270, Tønder,1750000 ,11-12-2022,Alm. Salg,96 ,18229,4,1935,-8%
550,Ejerlejlighed,"Sønderlandevej 5, 1",6270, Tønder,1750000 ,11-12-2022,Alm. Salg,96 ,18229,4,1935,-8%
550,Villa,Margrethevej 15,6520, Toftlund,300000 ,11-12-2022,Fam. Salg,128 ,2344,5,1958,
550,Villa,Egevænget 1,6270, Tønder,825000 ,11-12-2022,Alm. Salg,157 ,5255,5,1978,-2%
550,Villa,Danavej 1,6520, Toftlund,410000 ,11-12-2022,Alm. Salg,164 ,2500,5,1955,-17%
550,Villa,Skovroysvej 9,6270, Tønder,600000 ,11-12-2022,Andet,180 ,3333,6,1960,
550,Villa,Kilen 6,6520, Toftlund,600000 ,08-12-2022,Alm. Salg,115 ,5217,3,1942,-13%
550,Villa,Branderupvej 20,6534, Agerskov,225000 ,08-12-2022,Alm. Salg,72 ,3125,2,1947,-24%
550,Villa,Sivkrovej 12,6240, Løgumkloster,600000 ,07-12-2022,Alm. Salg,97 ,6186,3,1910,
550,Villa,Skast 65,6261, Bredebro,225000 ,07-12-2022,Alm. Salg,105 ,2143,3,1910,
550,Villa,Borgvej 5A,6261, Bredebro,1100000 ,07-12-2022,Alm. Salg,180 ,6111,6,1970,
550,Villa,Lindevej 10,6240, Løgumkloster,525000 ,06-12-2022,Alm. Salg,126 ,4167,4,1978,-5%
550,Villa,Horupsgade 1,6270, Tønder,1265000 ,06-12-2022,Alm. Salg,114 ,11096,5,1923,
550,Villa,Fasanvej 25,6240, Løgumkloster,1100000 ,05-12-2022,Alm. Salg,172 ,6395,5,1978,-8%
550,Villa,Høllevang 149,6520, Toftlund,575000 ,03-12-2022,Alm. Salg,116 ,4957,4,1977,-11%
550,Villa,Granvænget 1,6535, Branderup J,230000 ,03-12-2022,Alm. Salg,78 ,2949,3,1981,
550,Rækkehus,Skolegade 3,6780, Skærbæk,780000 ,01-12-2022,Alm. Salg,96 ,8125,3,1990,
550,Villa,Lergravene 13,6780, Skærbæk,1345000 ,01-12-2022,Alm. Salg,121 ,11116,4,1978,
550,Ejerlejlighed,"Hellevadvej 7, st",6240, Løgumkloster,550000 ,30-11-2022,Alm. Salg,142 ,3873,4,1912,-8%
550,Ejerlejlighed,"Hellevadvej 7, 1",6240, Løgumkloster,550000 ,30-11-2022,Alm. Salg,105 ,5238,4,1912,-8%
550,Villa,Mølleparken 125,6240, Løgumkloster,1495000 ,30-11-2022,Alm. Salg,146 ,10240,4,1981,-5%
550,Villa,Markedsgade 1,6240, Løgumkloster,300000 ,30-11-2022,Alm. Salg,99 ,3030,3,1800,
550,Villa,Frifeltvej 4,6780, Skærbæk,520000 ,28-11-2022,Alm. Salg,125 ,4160,3,1937,-5%
550,Villa,Slotsgade 10,6240, Løgumkloster,275000 ,28-11-2022,Alm. Salg,95 ,2895,3,1827,-30%
