municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square_meters,square_meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
185,Villa,Hesselvigvej 16,2770, Kastrup,3425000 ,29-12-2022,Alm. Salg,117 ,29274,3,1964,-7%
185,Ejerlejlighed,"Konvalvej 11, 2. th",2770, Kastrup,3100000 ,28-12-2022,Alm. Salg,99 ,31313,4,1966,-3%
185,Ejerlejlighed,"Kastruplundgade 68, 2. tv",2770, Kastrup,1678000 ,27-12-2022,Alm. Salg,59 ,28441,3,1952,
185,Villa,Capellas Alle 21,2770, Kastrup,3850000 ,26-12-2022,Alm. Salg,94 ,40957,4,1957,-10%
185,Villa,Nordstjerne Alle 12,2770, Kastrup,3500000 ,26-12-2022,Alm. Salg,142 ,24648,4,1923,-10%
185,Rækkehus,Børkop Alle 61,2770, Kastrup,3875000 ,24-12-2022,Alm. Salg,108 ,35880,4,1958,-3%
185,Villa,Malden Alle 3,2791, Dragør,3550000 ,24-12-2022,Alm. Salg,128 ,26296,5,1972,-6%
185,Villa,Nøragersmindevej 147,2791, Dragør,2600000 ,22-12-2022,Fam. Salg,155 ,16774,5,2001,
185,Ejerlejlighed,"Helmer Søgårds Alle 4, 2. tv",2770, Kastrup,2150000 ,21-12-2022,Alm. Salg,64 ,33594,3,1950,-12%
185,Villa,Kølkærvej 7,2770, Kastrup,3575000 ,21-12-2022,Alm. Salg,140 ,25536,6,1958,-11%
185,Rækkehus,Saltværksvej 95,2770, Kastrup,2900000 ,20-12-2022,Alm. Salg,123 ,23577,4,1944,-3%
185,Rækkehus,Torpebakken 7,2770, Kastrup,2500000 ,19-12-2022,Alm. Salg,111 ,22523,5,1950,
185,Villa,Rhodesiavej 30,2770, Kastrup,3200000 ,19-12-2022,Alm. Salg,144 ,22222,6,1969,-6%
185,Ejerlejlighed,"Søvang Alle 19, 1. tv",2770, Kastrup,1600000 ,18-12-2022,Alm. Salg,62 ,25806,2,1918,-20%
