municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square_meters,square_meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
260,Ejerlejlighed,Tscherningsgade 4A,3300, Frederiksværk,13135000 ,30-12-2022,Alm. Salg,80 ,164188,3,2008,
260,Villa,Nyvej 145,3300, Frederiksværk,2600000 ,30-12-2022,Alm. Salg,145 ,17931,3,1954,
260,Villa,Stangbakken 6,3390, Hundested,1550000 ,26-12-2022,Alm. Salg,85 ,18235,3,1942,-9%
260,Villa,Nørrevangen 20,3300, Frederiksværk,1600000 ,25-12-2022,Alm. Salg,125 ,12800,4,1976,-11%
260,Villa,Rosenvænget 4,3390, Hundested,895000 ,21-12-2022,Alm. Salg,96 ,9323,4,1956,-10%
260,Villa,Sportsvej 13,3390, Hundested,3015000 ,20-12-2022,Alm. Salg,108 ,27917,5,1936,12%
260,Rækkehus,Vibehus Have 26,3390, Hundested,1800000 ,19-12-2022,Alm. Salg,88 ,20455,3,2002,13%
260,Villa,Gl Kikhavnvej 26,3390, Hundested,697000 ,19-12-2022,Fam. Salg,102 ,6833,5,1956,
260,Villa,Møllekrogen 15,3370, Melby,2075000 ,19-12-2022,Alm. Salg,126 ,16468,4,1962,-5%
260,Rækkehus,Elverdamsvej 8B,3300, Frederiksværk,2195000 ,18-12-2022,Fam. Salg,138 ,15906,4,1980,
260,Ejerlejlighed,"Læssevejen 2, st. tv",3390, Hundested,2650000 ,18-12-2022,Alm. Salg,99 ,26768,4,2016,
260,Villa,Bakkebjerg 8,3390, Hundested,1350000 ,18-12-2022,Alm. Salg,101 ,13366,4,1960,-10%
260,Villa,Enghavevej 6,3300, Frederiksværk,1800000 ,17-12-2022,Alm. Salg,103 ,17476,6,1895,
260,Villa,Præsthøjvej 21,3300, Frederiksværk,3253000 ,15-12-2022,Alm. Salg,112 ,29045,5,1941,2%
260,Villa,Rypevej 11,3300, Frederiksværk,1600000 ,14-12-2022,Fam. Salg,151 ,10596,5,1977,
260,Ejerlejlighed,Tscherningsgade 4N,3300, Frederiksværk,1645000 ,12-12-2022,Alm. Salg,65 ,25308,3,2012,
260,Villa,Smallegade 32,3390, Hundested,4800000 ,12-12-2022,Alm. Salg,34 ,141176,2,1920,
260,Rækkehus,Bjørnebakken 33,3390, Hundested,1645000 ,11-12-2022,Alm. Salg,99 ,16616,3,1976,
260,Villa,Sømærkevej 5,3300, Frederiksværk,2750000 ,11-12-2022,Alm. Salg,134 ,20522,4,2001,-2%
260,Villa,Vinderød Skov 97,3300, Frederiksværk,1215000 ,08-12-2022,Alm. Salg,96 ,12656,4,1938,-6%
260,Ejerlejlighed,"Krudttårnsbakken 1, st. mf",3300, Frederiksværk,2250000 ,07-12-2022,Alm. Salg,91 ,24725,3,2003,-1%
260,Ejerlejlighed,"Bagerstræde 3B, 1. tv",3300, Frederiksværk,1180000 ,05-12-2022,Alm. Salg,71 ,16620,2,1999,
260,Villa,Gerdasvej 3,3360, Liseleje,1975000 ,05-12-2022,Alm. Salg,117 ,16880,4,1971,-1%
260,Villa,Brødemosevej 71,3300, Frederiksværk,2875000 ,05-12-2022,Alm. Salg,242 ,11880,7,1964,-10%
260,Villa,Femkløvervej 1,3310, Ølsted,1495000 ,05-12-2022,Alm. Salg,165 ,9061,5,1972,-17%
260,Villa,Møllevangsvej 55,3300, Frederiksværk,2350000 ,04-12-2022,Alm. Salg,106 ,22170,4,1956,
260,Villa,Anker Heegaardsgade 9,3300, Frederiksværk,850000 ,04-12-2022,Fam. Salg,108 ,7870,5,1890,
260,Rækkehus,Liselejevej 1B,3360, Liseleje,1350000 ,03-12-2022,Alm. Salg,59 ,22881,2,1984,
260,Villa,Karlsgavevej 21,3300, Frederiksværk,1050000 ,30-11-2022,Fam. Salg,88 ,11932,4,1948,
260,Villa,Hjortebjergvej 3A,3300, Frederiksværk,2165000 ,29-11-2022,Alm. Salg,120 ,18042,4,1989,-6%
260,Ejerlejlighed,"Liselejevej 2A, 1. tv",3360, Liseleje,650000 ,26-11-2022,Alm. Salg,45 ,14444,1,1950,
260,Villa,Torupvejen 107,3390, Hundested,3600000 ,24-11-2022,Alm. Salg,165 ,21818,5,1906,-5%
260,Villa,Narssakvej 1,3390, Hundested,3675000 ,23-11-2022,Alm. Salg,177 ,20763,7,1922,-8%
260,Villa,Lynghøjvej 6,3390, Hundested,2550000 ,23-11-2022,Alm. Salg,92 ,27717,3,1956,-2%
260,Villa,Åsebro 25,3300, Frederiksværk,1240000 ,22-11-2022,Alm. Salg,175 ,7086,6,1946,-17%
260,Villa,Dalen 1,3390, Hundested,1300000 ,21-11-2022,Alm. Salg,90 ,14444,4,1963,-4%
260,Villa,Antilopevej 1,3300, Frederiksværk,1050000 ,21-11-2022,Alm. Salg,93 ,11290,4,1974,
260,Villa,Tagetesvej 9,3390, Hundested,2250000 ,20-11-2022,Alm. Salg,113 ,19912,4,2000,-2%
260,Villa,Urnevænget 5,3300, Frederiksværk,2695000 ,20-11-2022,Alm. Salg,179 ,15056,5,1970,
