municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square_meters,square_meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
707,Villa,Skovstykket 10,8500, Grenaa,2350000 ,30-12-2022,Alm. Salg,152 ,15461,4,1964,-6%
707,Ejerlejlighed,Fuglevænget 76E,8500, Grenaa,340000 ,28-12-2022,Alm. Salg,53 ,6415,2,1967,-9%
707,Villa,Århusvej 104,8500, Grenaa,375026 ,28-12-2022,Fam. Salg,97 ,3866,3,1952,
707,Villa,Kirkegade 5,8963, Auning,550000 ,27-12-2022,Alm. Salg,188 ,2926,6,1885,
707,Villa,Reimersvej 104,8963, Auning,1895000 ,26-12-2022,Alm. Salg,118 ,16059,4,1975,
707,Rækkehus,Ålunden 55,8500, Grenaa,1075000 ,22-12-2022,Alm. Salg,100 ,10750,3,1988,-10%
707,Ejerlejlighed,"Fuglevænget 17, 2. th",8500, Grenaa,2775000 ,21-12-2022,Alm. Salg,76 ,36513,3,1968,
707,Villa,Lillegade 14,8950, Ørsted,320000 ,21-12-2022,Alm. Salg,126 ,2540,5,1927,-19%
707,Villa,Kirke Allé 5,8500, Grenaa,485625 ,21-12-2022,Alm. Salg,161 ,3016,4,1850,
707,Villa,Møgelbjerg 73,8500, Grenaa,3125000 ,21-12-2022,Alm. Salg,212 ,14741,6,2019,1%
707,Rækkehus,Svanegårdsvej 4,8586, Ørum Djurs,540000 ,19-12-2022,Andet,83 ,6506,4,1988,
707,Villa,Elkjærslundvej 6,8961, Allingåbro,2500000 ,19-12-2022,Alm. Salg,152 ,16447,3,1931,
707,Villa,Æblerosevej 47,8500, Grenaa,1400000 ,19-12-2022,Alm. Salg,120 ,11667,5,1987,-7%
707,Villa,Ndr Fælledvej 9,8963, Auning,850000 ,19-12-2022,Fam. Salg,122 ,6967,5,1959,
707,Rækkehus,Grønland 29,8500, Grenaa,852000 ,18-12-2022,Alm. Salg,92 ,9261,4,1900,-5%
707,Ejerlejlighed,"Storegade 3, 2",8500, Grenaa,4050000 ,18-12-2022,Alm. Salg,108 ,37500,2,1830,
707,Ejerlejlighed,"Storegade 3, 1",8500, Grenaa,4050000 ,18-12-2022,Alm. Salg,103 ,39320,3,1830,
707,Villa,Kløvhøjvej 20,8500, Grenaa,350000 ,18-12-2022,Alm. Salg,123 ,2846,5,1875,
707,Villa,Lystrupvej 32,8961, Allingåbro,330000 ,18-12-2022,Alm. Salg,129 ,2558,3,1906,-14%
707,Villa,Nordstrandvej 1,8592, Anholt,1100000 ,16-12-2022,Alm. Salg,141 ,7801,6,1960,
707,Villa,Mølletoften 31,8570, Trustrup,525000 ,16-12-2022,Alm. Salg,105 ,5000,4,1974,-9%
707,Villa,Svalevej 26,8500, Grenaa,1005000 ,16-12-2022,Alm. Salg,140 ,7179,4,1964,-8%
707,Villa,Præstevej 1,8585, Glesborg,55000000 ,15-12-2022,Andet,95 ,578947,4,1875,
707,Villa,Præstevej 6,8500, Grenaa,55000000 ,15-12-2022,Andet,195 ,282051,6,1936,
707,Villa,Præstevej 10,8500, Grenaa,55000000 ,15-12-2022,Andet,105 ,523810,4,1972,
707,Villa,Auningvej 11,8963, Auning,445000 ,15-12-2022,Alm. Salg,120 ,3708,5,1948,-11%
707,Villa,Havnevej 187,8500, Grenaa,1560000 ,14-12-2022,Alm. Salg,126 ,12381,4,1935,-2%
707,Villa,Rådmandsvej 4,8500, Grenaa,1460000 ,13-12-2022,Alm. Salg,164 ,8902,5,1974,-8%
707,Villa,Rådmandsvej 16,8500, Grenaa,1325000 ,13-12-2022,Alm. Salg,170 ,7794,5,1972,-4%
707,Villa,Fladstrupvej 25,8570, Trustrup,750000 ,13-12-2022,Alm. Salg,146 ,5137,5,1890,-16%
707,Villa,Grenaavej 34,8500, Grenaa,300000 ,13-12-2022,Alm. Salg,76 ,3947,3,1900,
707,Villa,Ørkenvej 10,8592, Anholt,300000 ,12-12-2022,Fam. Salg,195 ,1538,6,1911,
707,Ejerlejlighed,"Vestergade 2B, st",8961, Allingåbro,233750 ,11-12-2022,Fam. Salg,43 ,5436,3,1929,
707,Ejerlejlighed,"Vestergade 2B, 1",8961, Allingåbro,233750 ,11-12-2022,Fam. Salg,83 ,2816,3,1929,
707,Ejerlejlighed,"Vestergade 2B, 2",8961, Allingåbro,233750 ,11-12-2022,Fam. Salg,62 ,3770,2,1929,
707,Villa,Mortensensvej 26A,8963, Auning,1400000 ,11-12-2022,Alm. Salg,167 ,8383,5,1987,-12%
707,Villa,Pilevænget 46,8961, Allingåbro,960000 ,11-12-2022,Alm. Salg,135 ,7111,4,1984,-4%
707,Villa,Skolegade 1,8570, Trustrup,450000 ,11-12-2022,Alm. Salg,100 ,4500,2,1912,
707,Villa,Kalkværksvej 17,8500, Grenaa,430000 ,11-12-2022,Alm. Salg,113 ,3805,4,1949,
707,Villa,Dolmer Vænge 12,8500, Grenaa,1000000 ,10-12-2022,Alm. Salg,198 ,5051,9,1888,-9%
